Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffB_response,slider_diffB_rt,slider_diffC_response,slider_diffC_rt,slider_diffA_response,slider_diffA_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffC_started,question_diffC_stopped,question_diffA_started,question_diffA_stopped,question_diffB_started,question_diffB_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,29.475708699999814,None,1,[10.813483399999768],[10.813487200000054],29.475708699999814,None,92.80405729999984,None,93.81085649999977,None,99.8107141999999,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]",103.83738080000012,31.703756129998965,2.88822552999909,33.42074742999921,"[0.3398148148148148, 0.12314814814814815, 0.4046296296296296, -0.35462962962962963]","[0.2814814814814815, -0.3277777777777778, -0.024074074074074074, -0.13240740740740742]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[2.8863643999998203, 5.319631599999866, 31.70222879999983, 33.418617399999675]",0.0011283299991191598,33.41970452999931,['A1'],['B1'],['C2'],['yellow'],['salmon'],['blue'],137.7260379999998,None,10.0,5.7639116999998805,137.7260379999998,None,144.84252789999982,None,10.0,8.364151400000083,151.9589818999998,None,7.0,6.381620600000133,159.87574059999997,None,2.0,4.998530800000026,<function functionImportanceAt at 0x0000028B77B94D08>,<function functionImportanceCt at 0x0000028B069BAF28>,<function functionImportanceBt at 0x0000028B069BAE18>,175.72520649999979,None,0.0,6.513824300000124,-0.0,5.397695900000144,4.0,8.364151400000083,<function functiondiffBt at 0x0000028B09204B70>,<function functiondiffCt at 0x0000028B09204D08>,<function functiondiffAt at 0x0000028B09204840>,,,,,,,,,,,,1,001,2022_Jun_13_0901,2leo,2021.2.3,60.001428034001336,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,180.2252226999999,None,181.22500309999987,None,187.225054,None,"[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]",193.35251419999986,5.233095879999382,9.133387379999022,12.583810279998943,"[-0.3333333333333333, 0.3055555555555556, 0.4185185185185185]","[0.1175925925925926, -0.2953703703703704, -0.007407407407407408]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.222690900000089, 9.122801999999865, 12.573072000000138]",0.009816879999107186,12.5824604799991,['A3'],['B2'],['C1'],['blue'],['salmon'],['yellow'],206.39094579999983,None,5.0,2.7809872999996514,206.39094579999983,None,223.2574808999998,None,7.0,8.265320399999837,217.57437590000018,None,2.0,5.2148849000000155,210.94185470000002,None,10.0,6.881294299999809,<function functionImportanceBt at 0x0000028B069BAAE8>,<function functionImportanceCt at 0x0000028B753320D0>,<function functionImportanceAt at 0x0000028B069BA950>,239.6401089000001,None,5.0,5.864926000000196,2.0,5.814376299999822,8.0,8.265320399999837,<function functiondiffCt at 0x0000028B092040D0>,<function functiondiffAt at 0x0000028B09204268>,<function functiondiffBt at 0x0000028B09204048>,,,,,,,,,,,,1,001,2022_Jun_13_0901,2leo,2021.2.3,60.001428034001336,
3,38,Plan how you want to go for a run,Stimuli/38A1.jpg,Stimuli/38A2.jpg,Stimuli/38A3.jpg,Stimuli/38B1.jpg,Stimuli/38B2.jpg,Stimuli/38B3.jpg,Stimuli/38C1.jpg,Stimuli/38C2.jpg,Stimuli/38C3.jpg,,,,,0,0,0,38,,,,,,,,287.67075609999983,None,288.65565449999986,None,294.6555718999998,None,"[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,9.407751480000115,13.891098279999824,3.341508680000061,"[-0.33425925925925926, -0.34629629629629627, -0.1527777777777778]","[-0.09166666666666666, 0.14351851851851852, -0.3851851851851852]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.335501099999874, 9.40223990000004, 13.885423199999877]",0.005015279999952327,13.890275180000117,['A2'],['B1'],['C2'],['yellow'],['salmon'],['blue'],310.2546719000002,None,8.0,4.129205999999613,310.2546719000002,None,314.5109149,None,10.0,2.5977733999998236,322.7549174999999,None,10.0,4.214897999999721,317.1058422000001,None,6.0,5.548222800000076,<function functionImportanceA at 0x0000028B069BA8C8>,<function functionImportanceB at 0x0000028B08587840>,<function functionImportanceC at 0x0000028B085878C8>,,,2.0,5.831010399999741,3.0,2.5977733999998236,0.0,3.1311674000003222,<function functiondiffC at 0x0000028B09204950>,<function functiondiffA at 0x0000028B09204730>,<function functiondiffB at 0x0000028B09204AE8>,244.62337230000003,None,244.62337230000003,None,295.8860082000001,326.85451539999985,None,334.33788030000005,None,337.4877044,None,1,001,2022_Jun_13_0901,2leo,2021.2.3,60.001428034001336,
3,18,Plan your Saturday night ,Stimuli/18A1.jpg,Stimuli/18A2.jpg,Stimuli/18A3.jpg,Stimuli/18B1.jpg,Stimuli/18B2.jpg,Stimuli/18B3.jpg,Stimuli/18C1.jpg,Stimuli/18C2.jpg,Stimuli/18C3.jpg,,,,,0,1,1,18,,,,,,,,342.83754929999986,None,343.8390512000001,None,349.85413789999984,None,"[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]",,2.476755619999949,7.71028841999987,5.2269990199997665,"[-0.23796296296296296, 0.35555555555555557, 0.07407407407407407]","[-0.37777777777777777, 0.30462962962962964, 0.4527777777777778]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.4707587000002604, 5.220624800000223, 7.704149099999995]",0.005452219999824592,7.709329320000052,['A2'],['B1'],['C1'],['salmon'],['yellow'],['blue'],359.1369493000002,None,10.0,1.9637970999997378,359.1369493000002,None,361.1704998,None,10.0,2.880978299999697,368.1037035999998,None,2.0,4.598602200000187,364.03707889999987,None,10.0,4.015314900000249,<function functionImportanceA at 0x0000028B085876A8>,<function functionImportanceB at 0x0000028B08587EA0>,<function functionImportanceC at 0x0000028B08587950>,,,0.0,3.081276500000058,0.0,2.880978299999697,0.0,3.8978010000000722,<function functiondiffC at 0x0000028B085872F0>,<function functiondiffA at 0x0000028B08587D90>,<function functiondiffB at 0x0000028B085879D8>,,,,,350.94783019999977,372.68696850000015,None,376.97002759999987,None,380.8698737999998,None,1,001,2022_Jun_13_0901,2leo,2021.2.3,60.001428034001336,
3,31,Plan your order at a restaurant    ,Stimuli/31A1.jpg,Stimuli/31A2.jpg,Stimuli/31A3.jpg,Stimuli/31B1.jpg,Stimuli/31B2.jpg,Stimuli/31B3.jpg,Stimuli/31C1.jpg,Stimuli/31C2.jpg,Stimuli/31C3.jpg,,,,,0,2,2,31,,,,,,,,383.48645339999985,None,384.4863206,None,390.4863897,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",,8.88345468000034,5.350310280000031,14.367092180000327,"[0.4101851851851852, 0.03518518518518519, 0.05740740740740741]","[0.008333333333333333, -0.4083333333333333, 0.45555555555555555]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.3412319999997635, 8.874523899999986, 14.357789499999853]",0.008273280000139493,14.365867580000213,['A3'],['B2'],['C2'],['salmon'],['yellow'],['blue'],407.90241920000017,None,5.0,3.0809745999999905,407.90241920000017,None,423.9354073999998,None,5.0,9.981735699999717,411.0857851999999,None,3.0,7.446515999999974,418.5187762999999,None,7.0,3.998371799999859,<function functionImportanceC at 0x0000028B7B135158>,<function functionImportanceB at 0x0000028B08587F28>,<function functionImportanceA at 0x0000028B08587D08>,,,8.0,5.614489000000049,6.0,9.981735699999717,7.0,5.597968600000058,<function functiondiffA at 0x0000028B07A938C8>,<function functiondiffC at 0x0000028B061C2E18>,<function functiondiffB at 0x0000028B08587488>,,,,,393.0780285000001,438.1184016000002,None,432.85314419999986,None,442.6016159999999,None,1,001,2022_Jun_13_0901,2leo,2021.2.3,60.001428034001336,
3,36,Plan your shopping for new clothing,Stimuli/36A1.jpg,Stimuli/36A2.jpg,Stimuli/36A3.jpg,Stimuli/36B1.jpg,Stimuli/36B2.jpg,Stimuli/36B3.jpg,Stimuli/36C1.jpg,Stimuli/36C2.jpg,Stimuli/36C3.jpg,,,,,0,3,3,36,,,,,,,,447.7348265999999,None,448.7363111999998,None,454.75145440000006,None,"[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",,14.711114660000021,21.34431395999991,8.744842959999914,"[0.09537037037037037, 0.27870370370370373, -0.24074074074074073]","[-0.41944444444444445, -0.2101851851851852, -0.30277777777777776]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.729266400000142, 14.695932900000116, 21.328995400000167]",0.014576759999727074,21.343325959999675,['A2'],['B2'],['C2'],['yellow'],['blue'],['salmon'],477.68376420000004,None,3.0,3.0970869000002494,477.68376420000004,None,486.1837845,None,5.0,6.165119100000084,492.33365860000004,None,8.0,6.915098200000102,480.8336334999999,None,9.0,5.2810254999999415,<function functionImportanceB at 0x0000028B08587510>,<function functionImportanceA at 0x0000028B09204510>,<function functionImportanceC at 0x0000028B08587378>,,,9.0,3.3479498000001513,5.0,6.165119100000084,7.0,6.481096900000011,<function functiondiffA at 0x0000028B08587598>,<function functiondiffB at 0x0000028B08587A60>,<function functiondiffC at 0x0000028B07DB0730>,,,,,455.86963620000006,509.0831078000001,None,499.2335772000001,None,505.73322210000015,None,1,001,2022_Jun_13_0901,2leo,2021.2.3,60.001428034001336,
3,39,Plan what kind of watch you want to buy,Stimuli/39A1.jpg,Stimuli/39A2.jpg,Stimuli/39A3.jpg,Stimuli/39B1.jpg,Stimuli/39B2.jpg,Stimuli/39B3.jpg,Stimuli/39C1.jpg,Stimuli/39C2.jpg,Stimuli/39C3.jpg,,,,,0,4,4,39,,,,,,,,512.8161863999999,None,513.8163656000002,None,519.8164327999998,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]",,16.58527452999988,11.885655130000032,6.402599630000168,"[-0.14444444444444443, -0.3861111111111111, 0.32314814814814813]","[-0.3194444444444444, 0.17314814814814813, -0.21666666666666667]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.391529199999695, 11.874709999999595, 16.574781799999982]",0.010084529999858205,16.58454402999996,['A1'],['B2'],['C1'],['yellow'],['salmon'],['blue'],538.0155644000001,None,4.0,2.513263900000311,538.0155644000001,None,540.5990642000002,None,8.0,6.581009699999868,550.5987475000002,None,4.0,8.614669799999774,547.1822748999998,None,6.0,3.331897100000333,<function functionImportanceA at 0x0000028B08587B70>,<function functionImportanceB at 0x0000028B07DB0620>,<function functionImportanceC at 0x0000028B07DB0598>,,,7.0,4.63097259999995,8.0,6.581009699999868,2.0,6.314600700000028,<function functiondiffB at 0x0000028B09204EA0>,<function functiondiffA at 0x0000028B08587048>,<function functiondiffC at 0x0000028B092048C8>,,,,,520.9570266000001,570.1315579000002,None,563.7982222999999,None,559.1485794999999,None,1,001,2022_Jun_13_0901,2leo,2021.2.3,60.001428034001336,
3,4,Plan a game night at your place,Stimuli/4A1.jpg,Stimuli/4A2.jpg,Stimuli/4A3.jpg,Stimuli/4B1.jpg,Stimuli/4B2.jpg,Stimuli/4B3.jpg,Stimuli/4C1.jpg,Stimuli/4C2.jpg,Stimuli/4C3.jpg,,,,,0,5,5,4,,,,,,,,575.7645305000001,None,576.7645849,None,582.7646220000001,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",,4.5205928099999255,7.820561509999607,12.154151909999655,"[-0.17592592592592593, -0.3296296296296296, -0.32037037037037036]","[0.32222222222222224, 0.1388888888888889, -0.0962962962962963]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.505626900000152, 7.805389399999967, 12.138736700000209]",0.01434300999972038,12.152860009999586,['A3'],['B3'],['C3'],['salmon'],['yellow'],['blue'],598.7805926999999,None,8.0,3.013818099999753,598.7805926999999,None,615.3971926999998,None,3.0,5.181509099999857,603.1841507999998,None,9.0,6.597796200000175,608.4472034,None,10.0,5.9149899999997615,<function functionImportanceC at 0x0000028B07DB0950>,<function functionImportanceB at 0x0000028B07DB0510>,<function functionImportanceA at 0x0000028B07DB0158>,,,0.0,4.564570500000173,1.0,5.181509099999857,2.0,4.731045999999878,<function functiondiffA at 0x0000028B0697BD90>,<function functiondiffC at 0x0000028B07DB00D0>,<function functiondiffB at 0x0000028B08587C80>,,,,,586.1778727000001,624.7133435999999,None,619.8967938999999,None,630.9799161999999,None,1,001,2022_Jun_13_0901,2leo,2021.2.3,60.001428034001336,
3,12,Plan the ingredients to mix yourself a cocktail,Stimuli/12A1.jpg,Stimuli/12A2.jpg,Stimuli/12A3.jpg,Stimuli/12B1.jpg,Stimuli/12B2.jpg,Stimuli/12B3.jpg,Stimuli/12C1.jpg,Stimuli/12C2.jpg,Stimuli/12C3.jpg,,,,,0,6,6,12,,,,,,,,635.0632209999999,None,636.0648114999999,None,642.0798328000001,None,"[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]",,27.611404329999914,12.363168129999849,7.712723229999938,"[0.39814814814814814, 0.07592592592592592, -0.325, -0.3611111111111111, -0.33240740740740743]","[-0.003703703703703704, -0.3574074074074074, 0.1037037037037037, 0.10462962962962963, -0.16666666666666666]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[7.696516800000154, 12.363039599999865, 18.629239100000177, 22.96415070000012, 27.595884299999852]",0.015116129999569239,27.610859029999574,['A1'],['B2'],['C3'],['blue'],['salmon'],['yellow'],671.2954126,None,2.0,3.9801282999997056,671.2954126,None,675.3955492,None,8.0,8.064097299999958,690.4784386000001,None,10.0,4.731936099999984,683.4118327000001,None,9.0,6.998487000000296,<function functionImportanceA at 0x0000028B07DB0268>,<function functionImportanceB at 0x0000028B07DB01E0>,<function functionImportanceC at 0x0000028B07DB0B70>,,,9.0,5.197620899999947,6.0,8.064097299999958,2.0,4.580915800000184,<function functiondiffB at 0x0000028B07DB02F0>,<function functiondiffA at 0x0000028B09204598>,<function functiondiffC at 0x0000028B07DB0D90>,,,,,643.2151279999998,704.9781124000001,None,700.3783580999998,None,695.1614149000002,None,1,001,2022_Jun_13_0901,2leo,2021.2.3,60.001428034001336,
3,13,Plan a romantic date this weekend,Stimuli/13A1.jpg,Stimuli/13A2.jpg,Stimuli/13A3.jpg,Stimuli/13B1.jpg,Stimuli/13B2.jpg,Stimuli/13B3.jpg,Stimuli/13C1.jpg,Stimuli/13C2.jpg,Stimuli/13C3.jpg,,,,,0,7,7,13,,,,,,,,710.7277131999999,None,711.7276246000001,None,717.7278771000001,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",,3.261212440000236,7.510855940000056,16.160874140000033,"[-0.17314814814814813, 0.29074074074074074, 0.28703703703703703]","[0.38333333333333336, 0.23703703703703705, -0.2212962962962963]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.25415380000004, 7.503644899999927, 16.153510899999674]",0.0064498400001866685,16.159904239999832,['A3'],['B2'],['C1'],['salmon'],['yellow'],['blue'],735.5602306999999,None,7.0,4.414048999999977,735.5602306999999,None,740.0436706999999,None,6.0,5.348075599999902,748.3435936000001,None,9.0,4.531341700000212,745.4610478,None,8.0,2.9147193000003426,<function functionImportanceA at 0x0000028B07DB0C80>,<function functionImportanceB at 0x0000028B07DB0F28>,<function functionImportanceC at 0x0000028B07DB09D8>,,,4.0,5.447633400000086,8.0,5.348075599999902,1.0,3.914587400000073,<function functiondiffB at 0x0000028B08587730>,<function functiondiffA at 0x0000028B07DB0EA0>,<function functiondiffC at 0x0000028B08587400>,,,,,718.922106,762.2601494999999,None,758.3266291999998,None,752.8767843999999,None,1,001,2022_Jun_13_0901,2leo,2021.2.3,60.001428034001336,
