Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffA_response,slider_diffA_rt,slider_diffB_response,slider_diffB_rt,slider_diffC_response,slider_diffC_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffB_started,question_diffB_stopped,question_diffC_started,question_diffC_stopped,question_diffA_started,question_diffA_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,22.933643500000017,None,1,[9.237503300000299],[9.237507499999992],22.933643500000017,None,93.24515930000007,None,94.25517549999995,None,100.25499219999983,None,"[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",104.24866699999984,33.538532979993306,41.80550167999354,38.70593307999343,"[0.34814814814814815, -0.43148148148148147, 0.4462962962962963]","[-0.26944444444444443, 0.1537037037037037, -0.044444444444444446]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[33.535949099999925, 38.70260420000022, 41.80255360000001]",0.00215997999339379,41.80442617999324,['A1'],['B2'],['C3'],['blue'],['salmon'],['yellow'],146.5201907999999,None,8.0,9.129555799999707,146.5201907999999,None,157.30985580000015,None,6.0,10.397534800000358,166.15303330000006,None,7.0,4.731418200000007,172.1913872,None,9.0,3.948538499999813,<function functionImportanceBt at 0x00000280D36B1E18>,<function functionImportanceCt at 0x00000280E2C7FD90>,<function functionImportanceAt at 0x00000280D6CC3268>,194.58586920000016,None,3.0,3.948538499999813,6.0,5.549072499999966,3.0,3.681292200000371,<function functiondiffAt at 0x00000280820A0BF8>,<function functiondiffBt at 0x00000280820A0048>,<function functiondiffCt at 0x00000280820A0950>,,,,,,,,,,,,10,001,2022_Jul_12_1045,2leo,2021.2.3,60.00790904232768,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,197.78557749999982,None,198.78566869999986,None,204.78568600000017,None,"[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]",210.8908664999999,49.12388681998891,47.374247819988796,44.22427481998875,"[-0.35648148148148145, 0.3768518518518518, 0.025]","[-0.175, 0.04351851851851852, -0.35648148148148145]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[44.20857249999972, 47.35901459999968, 49.108821499999976]",0.014569619988833438,49.12312201998884,['A2'],['B1'],['C3'],['yellow'],['salmon'],['blue'],260.46728399999984,None,8.0,4.38074080000024,260.46728399999984,None,282.16674520000015,None,8.0,6.165036300000338,274.63372040000013,None,4.0,7.231814900000245,266.8208860999998,None,9.0,8.23114859999987,<function functionImportanceAt at 0x00000280D8262E18>,<function functionImportanceCt at 0x00000280DFFDFF28>,<function functionImportanceBt at 0x00000280E0A379D8>,302.04966049999985,None,4.0,8.23114859999987,2.0,6.497719999999845,6.0,8.280689299999722,<function functiondiffCt at 0x00000280820A0620>,<function functiondiffBt at 0x00000280820A0510>,<function functiondiffAt at 0x00000280820A09D8>,,,,,,,,,,,,10,001,2022_Jul_12_1045,2leo,2021.2.3,60.00790904232768,
3,38,Plan how you want to go for a run,Stimuli/38A1.jpg,Stimuli/38A2.jpg,Stimuli/38A3.jpg,Stimuli/38B1.jpg,Stimuli/38B2.jpg,Stimuli/38B3.jpg,Stimuli/38C1.jpg,Stimuli/38C2.jpg,Stimuli/38C3.jpg,,,,,0,0,0,38,,,,,,,,368.37503879999986,None,369.36454969999977,None,375.3644733000001,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",,28.793361519999053,26.060345919999236,40.39363431999891,"[0.27314814814814814, 0.39444444444444443, 0.07314814814814814]","[-0.24814814814814815, 0.007407407407407408, -0.3685185185185185]","[1, 0, 1]","[0, 0, 0]","[0, 1, 0]","[26.052893399999903, 28.786051399999906, 40.38596549999966]",0.006744419998994999,40.39248321999912,['A2'],['B1'],['C1'],['yellow'],['salmon'],['blue'],417.5297980999999,None,8.0,4.612451899999996,417.5297980999999,None,435.6293568000001,None,6.0,2.9982720999996673,429.3628914000001,None,6.0,6.331257800000003,422.2798134999998,None,8.0,7.014255000000048,<function functionImportanceA at 0x00000280820A0F28>,<function functionImportanceC at 0x00000280821DFD08>,<function functionImportanceB at 0x00000280E2C7F9D8>,,,2.0,2.7477405999998155,1.0,5.430607800000416,6.0,7.014255000000048,<function functiondiffB at 0x00000280E2C7FE18>,<function functiondiffC at 0x00000280821DF9D8>,<function functiondiffA at 0x00000280E2C7FBF8>,305.28282579999996,None,305.28282579999996,None,376.66092290000006,438.57921540000007,None,444.04587919999994,None,446.87915889999977,None,10,001,2022_Jul_12_1045,2leo,2021.2.3,60.00790904232768,
3,12,Plan the ingredients to mix yourself a cocktail,Stimuli/12A1.jpg,Stimuli/12A2.jpg,Stimuli/12A3.jpg,Stimuli/12B1.jpg,Stimuli/12B2.jpg,Stimuli/12B3.jpg,Stimuli/12C1.jpg,Stimuli/12C2.jpg,Stimuli/12C3.jpg,,,,,0,1,1,12,,,,,,,,449.1455854999999,None,450.1456616999999,None,456.1455943000001,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",,35.49272697999959,45.15931287999956,48.02612417999944,"[-0.18518518518518517, 0.3, 0.24722222222222223]","[0.34444444444444444, 0.2824074074074074, -0.2675925925925926]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[35.47798260000036, 45.14420850000033, 48.01067379999995]",0.01432667999961268,48.02491757999951,['A1'],['B2'],['C3'],['yellow'],['blue'],['salmon'],505.8272637,None,6.0,12.046637700000247,505.8272637,None,526.4270655,None,4.0,3.0649310999997397,522.5435484,None,7.0,3.8652428000000327,517.9450539,None,3.0,4.581352899999729,<function functionImportanceA at 0x00000280820A0598>,<function functionImportanceC at 0x00000280820A0EA0>,<function functionImportanceB at 0x00000280820A06A8>,,,4.0,6.39787060000026,4.0,6.414010399999825,6.0,4.581352899999729,<function functiondiffB at 0x00000280820A0268>,<function functiondiffA at 0x00000280820A0AE8>,<function functiondiffC at 0x00000280D05431E0>,,,,,457.3311193999998,529.4769762999999,None,542.3265425999998,None,535.9100484999999,None,10,001,2022_Jul_12_1045,2leo,2021.2.3,60.00790904232768,
3,42,Plan how to draw a painting ,Stimuli/42A1.jpg,Stimuli/42A2.jpg,Stimuli/42A3.jpg,Stimuli/42B1.jpg,Stimuli/42B2.jpg,Stimuli/42B3.jpg,Stimuli/42C1.jpg,Stimuli/42C2.jpg,Stimuli/42C3.jpg,,,,,0,2,2,42,,,,,,,,545.7350151999999,None,546.6932453,None,552.6927672000002,None,"[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,27.965829359999134,56.06531155999937,53.96553295999911,"[-0.45740740740740743, 0.40925925925925927, 0.08981481481481482]","[-0.06296296296296296, 0.05277777777777778, -0.3398148148148148]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[27.96392960000003, 53.96320199999991, 56.06307560000005]",0.0013909599992985022,56.06421665999915,['A2'],['B3'],['C1'],['salmon'],['blue'],['yellow'],610.5579478,None,8.0,2.2637784999997166,610.5579478,None,617.1911371000001,None,8.0,4.381619000000228,621.5910558,None,6.0,3.831632900000386,613.0413334999998,None,6.0,4.281105100000332,<function functionImportanceA at 0x00000280820A0378>,<function functionImportanceB at 0x00000280820A0840>,<function functionImportanceC at 0x00000280821DF598>,,,3.0,3.8975320000004103,4.0,5.864295600000332,6.0,4.281105100000332,<function functiondiffA at 0x00000280821DFD90>,<function functiondiffB at 0x00000280821DF730>,<function functiondiffC at 0x00000280821DFF28>,,,,,554.0105061999998,629.3075724999999,None,635.2073830999998,None,625.4409122000002,None,10,001,2022_Jul_12_1045,2leo,2021.2.3,60.00790904232768,
3,22,Plan a beach day with your friends,Stimuli/22A1.jpg,Stimuli/22A2.jpg,Stimuli/22A3.jpg,Stimuli/22B1.jpg,Stimuli/22B2.jpg,Stimuli/22B3.jpg,Stimuli/22C1.jpg,Stimuli/22C2.jpg,Stimuli/22C3.jpg,,,,,0,3,3,22,,,,,,,,637.7906521999998,None,638.7907264,None,644.7906899,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]",,19.234952639999392,37.901474439999674,10.285775239999566,"[-0.37222222222222223, -0.1962962962962963, -0.36666666666666664]","[-0.10648148148148148, 0.29444444444444445, 0.11666666666666667]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.274454000000333, 19.22422940000024, 37.89045950000036]",0.010228539999388886,37.900406339999336,['A2'],['B2'],['C2'],['yellow'],['blue'],['salmon'],684.3394308000002,None,9.0,2.1970664000000397,684.3394308000002,None,690.1559815999999,None,6.0,3.8156276999998227,694.0222703,None,9.0,8.26490750000039,686.6061633999998,None,7.0,3.54830340000035,<function functionImportanceA at 0x00000280821DF048>,<function functionImportanceB at 0x00000280802B1BF8>,<function functionImportanceC at 0x00000280802B1AE8>,,,2.0,2.331026500000007,6.0,3.9145386999998664,1.0,3.54830340000035,<function functiondiffC at 0x00000280821DF840>,<function functiondiffB at 0x00000280821DF8C8>,<function functiondiffA at 0x00000280820A0C80>,,,,,645.964367,705.4056655999998,None,702.2556285999999,None,709.3387757,None,10,001,2022_Jul_12_1045,2leo,2021.2.3,60.00790904232768,
3,6,Plan your wedding,Stimuli/6A1.jpg,Stimuli/6A2.jpg,Stimuli/6A3.jpg,Stimuli/6B1.jpg,Stimuli/6B2.jpg,Stimuli/6B3.jpg,Stimuli/6C1.jpg,Stimuli/6C2.jpg,Stimuli/6C3.jpg,,,,,0,4,4,6,,,,,,,,711.1886498999997,None,712.1888877000001,None,718.1886101999999,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,28.55019105999054,39.89971795999054,52.28320625999049,"[-0.16111111111111112, -0.3675925925925926, 0.3314814814814815]","[-0.2657407407407407, -0.07407407407407407, 0.21203703703703702]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[28.543657600000188, 39.89308990000018, 52.27619700000014]",0.005916459990658041,52.282062959990526,['A3'],['B1'],['C2'],['yellow'],['blue'],['salmon'],776.1369675000001,None,6.0,3.114025800000036,776.1369675000001,None,780.9701046999999,None,4.0,6.380782499999896,791.9201401,None,2.0,4.981519399999797,786.8864653999999,None,6.0,4.964894400000048,<function functionImportanceB at 0x00000280820A0488>,<function functionImportanceA at 0x00000280820A0A60>,<function functionImportanceC at 0x00000280821DF6A8>,,,3.0,3.5312003000003642,3.0,4.597820899999988,6.0,4.964894400000048,<function functiondiffB at 0x00000280821DFE18>,<function functiondiffC at 0x00000280802B1C80>,<function functiondiffA at 0x00000280821DFBF8>,,,,,723.3952837000002,796.1031969000001,None,800.6863797000001,None,804.1696191999999,None,10,001,2022_Jul_12_1045,2leo,2021.2.3,60.00790904232768,
3,44,Plan a party at your place,Stimuli/44A1.jpg,Stimuli/44A2.jpg,Stimuli/44A3.jpg,Stimuli/44B1.jpg,Stimuli/44B2.jpg,Stimuli/44B3.jpg,Stimuli/44C1.jpg,Stimuli/44C2.jpg,Stimuli/44C3.jpg,,,,,0,5,5,44,,,,,,,,806.9027007999998,None,807.9029645,None,813.9026846000002,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,21.77191367999967,17.08910627999967,32.255642879999414,"[0.35, -0.37962962962962965, -0.3851851851851852]","[-0.01574074074074074, -0.17407407407407408, 0.09259259259259259]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[17.08435159999999, 21.767442200000005, 32.25060779999967]",0.003914179999355838,32.25450217999969,['A2'],['B3'],['C2'],['blue'],['yellow'],['salmon'],847.8350178000001,None,9.0,5.146820800000114,847.8350178000001,None,856.6849690999998,None,8.0,5.898246499999914,853.0849773999998,None,6.0,3.5647870999996485,862.5680600999999,None,7.0,2.3150556999999026,<function functionImportanceC at 0x00000280802B1A60>,<function functionImportanceB at 0x00000280802B1EA0>,<function functionImportanceA at 0x00000280802B1D90>,,,1.0,2.764796899999965,1.0,4.281394499999806,4.0,2.3150556999999026,<function functiondiffC at 0x00000280821DF378>,<function functiondiffA at 0x00000280821DFC80>,<function functiondiffB at 0x00000280821DF158>,,,,,815.1000236999998,872.1178571999999,None,864.8514206999998,None,869.3346668999998,None,10,001,2022_Jul_12_1045,2leo,2021.2.3,60.00790904232768,
3,5,Plan a birthday party for your younger self when you turn eight,Stimuli/5A1.jpg,Stimuli/5A2.jpg,Stimuli/5A3.jpg,Stimuli/5B1.jpg,Stimuli/5B2.jpg,Stimuli/5B3.jpg,Stimuli/5C1.jpg,Stimuli/5C2.jpg,Stimuli/5C3.jpg,,,,,0,6,6,5,,,,,,,,875.9177285999999,None,876.9175184000001,None,882.9173860999999,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]",,55.312138359988694,33.0628127599889,58.7955763599889,"[-0.30648148148148147, 0.1111111111111111, 0.4166666666666667]","[0.11851851851851852, 0.40185185185185185, -0.03425925925925926]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[33.04619790000015, 55.29574899999989, 58.778669900000295]",0.01580405998902279,58.794360259988935,['A3'],['B2'],['C3'],['salmon'],['blue'],['yellow'],948.0321607000001,None,4.0,4.679835299999922,948.0321607000001,None,954.2821177999999,None,6.0,6.880949599999894,960.3152547999998,None,3.0,3.448304900000039,965.7487059,None,3.0,7.115039600000273,<function functionImportanceB at 0x00000280802B1D08>,<function functionImportanceC at 0x00000280802B19D8>,<function functionImportanceA at 0x00000280802B1F28>,,,7.0,4.797693900000013,4.0,4.914518700000372,7.0,7.115039600000273,<function functiondiffA at 0x00000280802B1598>,<function functiondiffB at 0x00000280802B17B8>,<function functiondiffC at 0x00000280802B16A8>,,,,,888.7891156000001,975.4318137,None,980.1149208000002,None,971.0323161000001,None,10,001,2022_Jul_12_1045,2leo,2021.2.3,60.00790904232768,
3,32,Plan how you want to relax after a workday,Stimuli/32A1.jpg,Stimuli/32A2.jpg,Stimuli/32A3.jpg,Stimuli/32B1.jpg,Stimuli/32B2.jpg,Stimuli/32B3.jpg,Stimuli/32C1.jpg,Stimuli/32C2.jpg,Stimuli/32C3.jpg,,,,,0,7,7,32,,,,,,,,982.0647629999999,None,983.0650169,None,989.064946,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",,43.586491879996174,49.220064179995916,18.921106679995773,"[0.1398148148148148, 0.4398148148148148, -0.42962962962962964]","[0.4083333333333333, -0.010185185185185186, 0.14074074074074075]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[18.914969500000097, 43.58083839999972, 49.214258199999676]",0.005105779996029014,49.21915067999589,['A2'],['B1'],['C2'],['blue'],['yellow'],['salmon'],1041.8964775999998,None,6.0,2.446427400000175,1041.8964775999998,None,1049.2965926000002,None,6.0,4.9983234999999695,1044.4306679000001,None,7.0,4.030918500000098,1054.6629521999998,None,4.0,4.565310899999986,<function functionImportanceC at 0x00000280802B1840>,<function functionImportanceB at 0x00000280802B1158>,<function functionImportanceA at 0x00000280802B1268>,,,4.0,5.897482200000013,6.0,3.164625800000067,2.0,4.565310899999986,<function functiondiffA at 0x00000280821DFAE8>,<function functiondiffC at 0x00000280821DF268>,<function functiondiffB at 0x00000280821DF950>,,,,,992.2153496999999,1066.7627613999998,None,1063.9294888,None,1058.3796014,None,10,001,2022_Jul_12_1045,2leo,2021.2.3,60.00790904232768,
