Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffC_response,slider_diffC_rt,slider_diffA_response,slider_diffA_rt,slider_diffB_response,slider_diffB_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffC_started,question_diffC_stopped,question_diffA_started,question_diffA_stopped,question_diffB_started,question_diffB_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,25.799437400000897,None,1,[6.467323099999703],[6.467327300000761],25.799437400000897,None,84.36260070000026,None,85.36647360000097,None,91.36657949999972,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",95.41632430000027,8.676895840018915,49.59278194001854,52.5445844400183,"[0.3101851851851852, 0.04537037037037037, -0.18796296296296297]","[0.26944444444444443, 0.42962962962962964, -0.3314814814814815]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.664083700001356, 49.57970870000099, 52.53111549999994]",0.012402540018229047,52.54328574001738,['A1'],['B1'],['C3'],['blue'],['salmon'],['yellow'],148.41466469999978,None,7.0,5.595297100000607,148.41466469999978,None,155.39813689999937,None,9.0,15.530721900000572,171.19760119999955,None,6.0,4.981490300000587,174.6472257000005,None,9.0,3.514918299999408,<function functionImportanceAt at 0x000002129160BEA0>,<function functionImportanceBt at 0x000002129160BD08>,<function functionImportanceCt at 0x000002129160BBF8>,188.11388199999965,None,7.0,5.181257099999129,8.0,15.530721900000572,5.0,4.647864599999593,<function functiondiffCt at 0x00000212915A32F0>,<function functiondiffAt at 0x00000212915A3BF8>,<function functiondiffBt at 0x00000212915A39D8>,,,,,,,,,,,,12,001,2022_Jul_12_1417,2leo,2021.2.3,59.937844454755485,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,191.83042980000027,None,192.83048729999973,None,198.8304418000007,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",204.99786769999992,20.170105740029612,5.470756140030062,15.5541406400298,"[-0.37962962962962965, -0.18333333333333332, 0.0824074074074074]","[0.13703703703703704, 0.37777777777777777, 0.4064814814814815]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.466730699999971, 15.549840700001369, 20.166268500001024]",0.0033446400302636903,20.16947534002975,['A2'],['B1'],['C1'],['salmon'],['yellow'],['blue'],225.62928610000017,None,8.0,3.081476499999553,225.62928610000017,None,236.47930410000117,None,10.0,6.465051899998798,242.74569789999987,None,7.0,6.181702699999732,230.2126827000011,None,9.0,5.764474999999948,<function functionImportanceCt at 0x000002129160BD90>,<function functionImportanceAt at 0x00000212FEE231E0>,<function functionImportanceBt at 0x000002129160B9D8>,259.12880609999957,None,5.0,3.9311832999992475,7.0,6.465051899998798,6.0,3.2476703000011184,<function functiondiffAt at 0x00000212915A3730>,<function functiondiffBt at 0x00000212915A31E0>,<function functiondiffCt at 0x00000212915A3268>,,,,,,,,,,,,12,001,2022_Jul_12_1417,2leo,2021.2.3,59.937844454755485,
3,35,Plan how you want to do your grocery shopping ,Stimuli/35A1.jpg,Stimuli/35A2.jpg,Stimuli/35A3.jpg,Stimuli/35B1.jpg,Stimuli/35B2.jpg,Stimuli/35B3.jpg,Stimuli/35C1.jpg,Stimuli/35C2.jpg,Stimuli/35C3.jpg,,,,,0,0,0,35,,,,,,,,313.6592180000007,None,314.64385179999954,None,320.64381460000004,None,"[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]",,16.274460320002618,11.141668920003212,6.092216620003455,"[-0.3648148148148148, 0.09166666666666666, 0.4064814814814815]","[0.1111111111111111, 0.38981481481481484, -0.003703703703703704]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.07703599999877, 11.126936900000146, 16.260026899999502]",0.01399462000335916,16.273971920003532,['A1'],['B1'],['C3'],['salmon'],['blue'],['yellow'],338.6763754000003,None,9.0,3.2460836000009294,338.6763754000003,None,346.89305670000067,None,8.0,5.098513999999341,352.0429366999997,None,9.0,4.114451200000985,342.0264757999994,None,6.0,4.797723900001074,<function functionImportanceC at 0x000002129249CBF8>,<function functionImportanceA at 0x00000212915A3F28>,<function functionImportanceB at 0x000002129160B840>,,,5.0,5.098513999999341,6.0,5.348067200000514,4.0,3.697125099999539,<function functiondiffC at 0x000002129249CD08>,<function functiondiffA at 0x000002129249CF28>,<function functiondiffB at 0x000002129249C8C8>,262.1453335999995,None,262.1453335999995,None,321.93420119999973,356.0261602999999,None,359.5925540999997,None,364.97581209999953,None,12,001,2022_Jul_12_1417,2leo,2021.2.3,59.937844454755485,
3,4,Plan a game night at your place,Stimuli/4A1.jpg,Stimuli/4A2.jpg,Stimuli/4A3.jpg,Stimuli/4B1.jpg,Stimuli/4B2.jpg,Stimuli/4B3.jpg,Stimuli/4C1.jpg,Stimuli/4C2.jpg,Stimuli/4C3.jpg,,,,,0,1,1,4,,,,,,,,368.17578830000093,None,369.1756931,None,375.17574650000097,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]",,9.837740800016036,15.20473730001504,20.772000100016157,"[0.26851851851851855, 0.27314814814814814, -0.2101851851851852]","[-0.25092592592592594, 0.24444444444444444, 0.3574074074074074]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.822651600001336, 15.1891727000002, 20.756322700000965]",0.014667200015537674,20.770317200016507,['A1'],['B3'],['C2'],['salmon'],['blue'],['yellow'],399.84146789999977,None,7.0,2.7461830000011105,399.84146789999977,None,412.5076804,None,4.0,4.73171050000019,402.6415498000006,None,9.0,4.481121900000289,408.4621124999994,None,6.0,4.314870700000029,<function functionImportanceB at 0x000002129249C378>,<function functionImportanceC at 0x000002129249C6A8>,<function functionImportanceA at 0x00000212915A3EA0>,,,8.0,4.73171050000019,7.0,4.714657799999259,8.0,3.347668700000213,<function functiondiffB at 0x000002128F32E9D8>,<function functiondiffA at 0x000002128E991E18>,<function functiondiffC at 0x000002129249C510>,,,,,378.6200224000004,424.6744534999998,None,419.8909557999996,None,416.2078870999994,None,12,001,2022_Jul_12_1417,2leo,2021.2.3,59.937844454755485,
3,3,Plan a movie night with a friend,Stimuli/3A1.jpg,Stimuli/3A2.jpg,Stimuli/3A3.jpg,Stimuli/3B1.jpg,Stimuli/3B2.jpg,Stimuli/3B3.jpg,Stimuli/3C1.jpg,Stimuli/3C2.jpg,Stimuli/3C3.jpg,,,,,0,2,2,3,,,,,,,,427.24078630000076,None,428.24095429999943,None,434.2408004000008,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",,21.952204540017192,16.939018140015833,4.602999140017346,"[0.30925925925925923, 0.08796296296296297, 0.39444444444444443]","[0.24444444444444444, 0.3824074074074074, 0.04259259259259259]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.586708599999838, 16.921341600000233, 21.936446499999875]",0.015180940015852684,21.951577240017286,['A2'],['B2'],['C2'],['salmon'],['yellow'],['blue'],460.3564010000009,None,6.0,3.164400800000294,460.3564010000009,None,463.62334829999963,None,6.0,4.6639328000001115,474.5229522000009,None,5.0,7.115050599999449,470.07331499999964,None,4.0,5.515028899999379,<function functionImportanceA at 0x000002129249C840>,<function functionImportanceC at 0x00000212927EE488>,<function functionImportanceB at 0x00000212915A3510>,,,3.0,4.6639328000001115,8.0,2.564341399998739,6.0,3.0646336000008887,<function functiondiffC at 0x00000212915A3C80>,<function functiondiffA at 0x000002129249C400>,<function functiondiffB at 0x000002129249CC80>,,,,,437.95488359999945,481.28950240000086,None,484.32261649999964,None,487.28951790000065,None,12,001,2022_Jul_12_1417,2leo,2021.2.3,59.937844454755485,
3,23,Plan a city trip,Stimuli/23A1.jpg,Stimuli/23A2.jpg,Stimuli/23A3.jpg,Stimuli/23B1.jpg,Stimuli/23B2.jpg,Stimuli/23B3.jpg,Stimuli/23C1.jpg,Stimuli/23C2.jpg,Stimuli/23C3.jpg,,,,,0,3,3,23,,,,,,,,489.4893013000001,None,490.48908400000073,None,496.48904609999954,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,11.784641120002561,18.31826402000297,5.752406420002444,"[-0.34814814814814815, -0.18055555555555555, 0.05740740740740741]","[0.08703703703703704, -0.34629629629629627, 0.37037037037037035]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.7411751999989065, 11.773979499999768, 18.30714589999843]",0.010210120002739131,18.31728172000294,['A1'],['B3'],['C2'],['blue'],['salmon'],['yellow'],516.4883800000007,None,9.0,3.397058799999286,516.4883800000007,None,524.4049670000004,None,8.0,3.1984819999997853,519.9884142999999,None,10.0,4.448294300000271,527.7215959999994,None,9.0,3.0147235000004002,<function functionImportanceB at 0x00000212915A3840>,<function functionImportanceA at 0x00000212915A3598>,<function functionImportanceC at 0x00000212927EE048>,,,6.0,3.1984819999997853,6.0,3.181393000000753,8.0,2.2648226999990584,<function functiondiffC at 0x000002128E8DEF28>,<function functiondiffA at 0x000002129249C950>,<function functiondiffB at 0x00000212915A36A8>,,,,,497.6969373000011,530.638393700001,None,534.5046141000003,None,537.7046406000009,None,12,001,2022_Jul_12_1417,2leo,2021.2.3,59.937844454755485,
3,32,Plan how you want to relax after a workday,Stimuli/32A1.jpg,Stimuli/32A2.jpg,Stimuli/32A3.jpg,Stimuli/32B1.jpg,Stimuli/32B2.jpg,Stimuli/32B3.jpg,Stimuli/32C1.jpg,Stimuli/32C2.jpg,Stimuli/32C3.jpg,,,,,0,4,4,32,,,,,,,,539.4879703000006,None,540.4877708000004,None,546.4878098999998,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,18.50588884001263,8.989475040012621,13.7902060400138,"[0.10555555555555556, -0.35462962962962963, -0.22962962962962963]","[-0.3824074074074074, -0.13703703703703704, -0.3435185185185185]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.983505800000785, 13.78381730000001, 18.500180800001544]",0.005301540013533668,18.50516464001339,['A1'],['B1'],['C2'],['yellow'],['salmon'],['blue'],568.5036252999998,None,7.0,2.3469217999991088,568.5036252999998,None,572.0205072999997,None,5.0,5.381028400001014,577.1033599000002,None,4.0,4.581501099999514,580.9199494000004,None,6.0,2.9815862999985256,<function functionImportanceA at 0x000002129249CD90>,<function functionImportanceB at 0x00000212927EE158>,<function functionImportanceC at 0x00000212927EEC80>,,,6.0,5.381028400001014,4.0,3.297757599999386,5.0,4.347071000000142,<function functiondiffB at 0x000002129249CE18>,<function functiondiffC at 0x00000212927EEB70>,<function functiondiffA at 0x000002129249C9D8>,,,,,549.5378890000011,588.2533280999996,None,592.0365651000011,None,584.0701090000002,None,12,001,2022_Jul_12_1417,2leo,2021.2.3,59.937844454755485,
3,42,Plan how to draw a painting ,Stimuli/42A1.jpg,Stimuli/42A2.jpg,Stimuli/42A3.jpg,Stimuli/42B1.jpg,Stimuli/42B2.jpg,Stimuli/42B3.jpg,Stimuli/42C1.jpg,Stimuli/42C2.jpg,Stimuli/42C3.jpg,,,,,0,5,5,42,,,,,,,,594.4864693,None,595.4864529000006,None,601.4863948000002,None,"[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]",,17.34031750000031,8.50921390000076,21.657467799999722,"[-0.2361111111111111, -0.36203703703703705, 0.34074074074074073]","[-0.3638888888888889, 0.10462962962962963, -0.24351851851851852]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.494700100000045, 17.326090799999292, 21.642770099999325]",0.01363119999950868,21.656244300000253,['A3'],['B2'],['C2'],['blue'],['yellow'],['salmon'],624.9354194000007,None,5.0,2.1971409999987372,624.9354194000007,None,631.618935800001,None,3.0,2.8481768000001466,634.3021838999994,None,6.0,2.8816308999994362,627.1856542000005,None,3.0,4.198237399999925,<function functionImportanceC at 0x00000212927EEF28>,<function functionImportanceA at 0x00000212927EE620>,<function functionImportanceB at 0x00000212927EE510>,,,8.0,2.8481768000001466,10.0,3.48090190000039,7.0,2.930560400000104,<function functiondiffB at 0x000002129249C268>,<function functiondiffC at 0x00000212927EED08>,<function functiondiffA at 0x000002129249C158>,,,,,602.8089080999998,640.1019304000001,None,643.2684459000011,None,637.1520417000011,None,12,001,2022_Jul_12_1417,2leo,2021.2.3,59.937844454755485,
3,2,Plan which ingredients you want to use for cooking dinner today,Stimuli/2A1.jpg,Stimuli/2A2.jpg,Stimuli/2A3.jpg,Stimuli/2B1.jpg,Stimuli/2B2.jpg,Stimuli/2B3.jpg,Stimuli/2C1.jpg,Stimuli/2C2.jpg,Stimuli/2C3.jpg,,,,,0,6,6,2,,,,,,,,646.2352191000009,None,647.2349498000003,None,653.2350834999997,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,18.37206802003311,5.156226320032147,11.289675220032223,"[0.3527777777777778, 0.028703703703703703, -0.20833333333333334]","[0.28055555555555556, 0.35462962962962963, -0.32592592592592595]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.142345500000374, 11.275541000000885, 18.358642000001055]",0.013023720031924313,18.371480820032957,['A1'],['B3'],['C3'],['blue'],['salmon'],['yellow'],678.250925100001,None,6.0,3.997455300001093,678.250925100001,None,687.7004231999999,None,5.0,4.74838439999985,694.6504485999994,None,8.0,6.8505717999996705,682.9009678000002,None,8.0,4.264375499999005,<function functionImportanceC at 0x00000212927EEBF8>,<function functionImportanceA at 0x00000212927EE6A8>,<function functionImportanceB at 0x00000212927EEAE8>,,,5.0,4.74838439999985,6.0,2.947988300000361,4.0,3.5450909999999567,<function functiondiffB at 0x00000212927EED90>,<function functiondiffA at 0x00000212927EEE18>,<function functiondiffC at 0x000002129249C488>,,,,,659.4269781000003,704.9003121999995,None,702.0837556000006,None,699.0341833000002,None,12,001,2022_Jul_12_1417,2leo,2021.2.3,59.937844454755485,
3,1,Plan how to study for an exam,Stimuli/1A1.jpg,Stimuli/1A2.jpg,Stimuli/1A3.jpg,Stimuli/1B1.jpg,Stimuli/1B2.jpg,Stimuli/1B3.jpg,Stimuli/1C1.jpg,Stimuli/1C2.jpg,Stimuli/1C3.jpg,,,,,0,7,7,1,,,,,,,,707.4666799000006,None,708.4666975,None,714.466594200001,None,"[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]",,13.452140900002632,9.76937320000252,3.3369623000035062,"[0.3296296296296296, -0.20555555555555555, 0.2777777777777778]","[0.2462962962962963, 0.32407407407407407, -0.2824074074074074]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.325859299999138, 9.758340299998963, 13.44141049999962]",0.01016900000286114,13.451445300002888,['A2'],['B3'],['C1'],['yellow'],['blue'],['salmon'],729.5493623000002,None,7.0,2.013437600000543,729.5493623000002,None,731.6660314000001,None,8.0,4.148045800000546,738.5494395000005,None,10.0,3.148868300000686,735.7828700999999,None,10.0,2.6481720000010682,<function functionImportanceA at 0x00000212915A3A60>,<function functionImportanceC at 0x00000212927EE400>,<function functionImportanceB at 0x00000212927EEEA0>,,,5.0,4.148045800000546,3.0,2.8314055999999255,6.0,4.0642207999990205,<function functiondiffC at 0x000002129249CEA0>,<function functiondiffB at 0x00000212927EEA60>,<function functiondiffA at 0x00000212927EE9D8>,,,,,715.6245061000009,741.5826066000009,None,748.8656549000007,None,744.7658061000002,None,12,001,2022_Jul_12_1417,2leo,2021.2.3,59.937844454755485,
