Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffC_response,slider_diffC_rt,slider_diffB_response,slider_diffB_rt,slider_diffA_response,slider_diffA_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffB_started,question_diffB_stopped,question_diffC_started,question_diffC_stopped,question_diffA_started,question_diffA_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,30.913895599998796,None,1,[3.436295899999095],[3.4362995000010415],30.913895599998796,None,79.87159140000222,None,80.88139810000212,None,86.8813627999989,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",90.8825868999993,23.34083092000583,33.19054632000916,8.541408420009247,"[0.06666666666666667, -0.4148148148148148, 0.4351851851851852]","[-0.4, -0.1111111111111111, -0.016666666666666666]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.52968790000159, 23.32954450000034, 33.17890619999889]",0.010761520006781211,33.18955222000659,['A2'],['B3'],['C1'],['yellow'],['blue'],['salmon'],124.52993409999908,None,10.0,4.613631500000338,124.52993409999908,None,130.49678689999928,None,9.0,15.030782300000283,145.81283729999996,None,4.0,7.4985711999979685,151.79609490000075,None,9.0,3.715179499999067,<function functionImportanceAt at 0x0000022B28891E18>,<function functionImportanceBt at 0x0000022B37EA1D08>,<function functionImportanceCt at 0x0000022B37EA1E18>,168.49547650000022,None,2.0,5.713892200001283,2.0,6.8150645999994595,2.0,15.030782300000283,<function functiondiffCt at 0x0000022B38BC31E0>,<function functiondiffBt at 0x0000022B38BC3D08>,<function functiondiffAt at 0x0000022B38BC3C80>,,,,,,,,,,,,13,001,2022_Jul_12_1508,2leo,2021.2.3,59.99070144162057,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,173.09568579999905,None,174.09539529999893,None,180.09547210000164,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",186.21944280000025,18.556289260013727,21.8402786600127,28.55616646001363,"[-0.3638888888888889, 0.4203703703703704, 0.32037037037037036]","[0.1537037037037037, -0.019444444444444445, -0.28425925925925927]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[18.542988199998945, 21.826761699998315, 28.542512699998042]",0.012660760014114203,28.555058060013835,['A3'],['B2'],['C1'],['blue'],['salmon'],['yellow'],215.22764570000072,None,9.0,3.447724900001049,215.22764570000072,None,243.46013820000007,None,8.0,12.014899800000421,220.46237309999924,None,8.0,11.847376800000347,232.0441549999996,None,7.0,10.915192200001911,<function functionImportanceBt at 0x0000022B37EA1BF8>,<function functionImportanceCt at 0x0000022B257231E0>,<function functionImportanceAt at 0x0000022B2C032268>,261.31006590000106,None,4.0,4.014042099999642,6.0,3.563746899999387,6.0,12.014899800000421,<function functiondiffAt at 0x0000022B38BC3BF8>,<function functiondiffCt at 0x0000022B38BC36A8>,<function functiondiffBt at 0x0000022B38BC3730>,,,,,,,,,,,,13,001,2022_Jul_12_1508,2leo,2021.2.3,59.99070144162057,
3,3,Plan a movie night with a friend,Stimuli/3A1.jpg,Stimuli/3A2.jpg,Stimuli/3A3.jpg,Stimuli/3B1.jpg,Stimuli/3B2.jpg,Stimuli/3B3.jpg,Stimuli/3C1.jpg,Stimuli/3C2.jpg,Stimuli/3C3.jpg,,,,,0,0,0,3,,,,,,,,320.43585520000124,None,321.42503299999953,None,327.42498590000105,None,"[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]",,20.089992790002725,9.940601890004473,13.024078590002318,"[0.07222222222222222, -0.20092592592592592, 0.3]","[-0.39166666666666666, -0.3490740740740741, -0.2574074074074074]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.930814600000303, 13.014091199998802, 20.08050000000003]",0.008988690002297517,20.089362590002565,['A2'],['B2'],['C2'],['blue'],['yellow'],['salmon'],351.6908126999988,None,9.0,2.9628568999978597,351.6908126999988,None,367.62377910000214,None,8.0,5.014778799999476,355.5099587000004,None,8.0,12.830784600002517,374.4108297999992,None,8.0,4.331352299999708,<function functionImportanceB at 0x0000022B37EA19D8>,<function functionImportanceA at 0x0000022B38BC3F28>,<function functionImportanceC at 0x0000022B398D6048>,,,0.0,5.014778799999476,2.0,5.4638092999994115,2.0,3.514303399999335,<function functiondiffB at 0x0000022B38BC3A60>,<function functiondiffC at 0x0000022B35182F28>,<function functiondiffA at 0x0000022B37D5FEA0>,263.9931651000006,None,263.9931651000006,None,331.14495180000085,377.32364919999964,None,382.7899834000018,None,385.8232628000005,None,13,001,2022_Jul_12_1508,2leo,2021.2.3,59.99070144162057,
3,28,Plan a one-week camping trip in Spain,Stimuli/28A1.jpg,Stimuli/28A2.jpg,Stimuli/28A3.jpg,Stimuli/28B1.jpg,Stimuli/28B2.jpg,Stimuli/28B3.jpg,Stimuli/28C1.jpg,Stimuli/28C2.jpg,Stimuli/28C3.jpg,,,,,0,1,1,28,,,,,,,,388.85655899999983,None,389.85658160000094,None,395.856627000001,None,"[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]",,20.687775810001767,28.588014510001813,22.05487171000277,"[-0.21388888888888888, 0.05462962962962963, 0.037037037037037035]","[0.35185185185185186, 0.3972222222222222, -0.4027777777777778]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[20.675813000001654, 22.042591800000082, 28.57591130000219]",0.011339510001562303,28.586801610003022,['A3'],['B2'],['C1'],['yellow'],['blue'],['salmon'],426.0553218999994,None,9.0,2.86343560000023,426.0553218999994,None,428.988563400002,None,8.0,6.697855099999288,439.2049693000008,None,6.0,4.081754400001955,435.73982199999955,None,10.0,3.4491582000009657,<function functionImportanceA at 0x0000022B38BC3840>,<function functionImportanceC at 0x0000022B398D6378>,<function functionImportanceB at 0x0000022B38BC3510>,,,2.0,6.697855099999288,7.0,10.381067400001484,3.0,3.2481191999977455,<function functiondiffB at 0x0000022B398D6A60>,<function functiondiffC at 0x0000022B398D6AE8>,<function functiondiffA at 0x0000022B398D69D8>,,,,,396.9950136000007,443.2385557000016,None,453.6381337999992,None,458.60490760000175,None,13,001,2022_Jul_12_1508,2leo,2021.2.3,59.99070144162057,
3,4,Plan a game night at your place,Stimuli/4A1.jpg,Stimuli/4A2.jpg,Stimuli/4A3.jpg,Stimuli/4B1.jpg,Stimuli/4B2.jpg,Stimuli/4B3.jpg,Stimuli/4C1.jpg,Stimuli/4C2.jpg,Stimuli/4C3.jpg,,,,,0,2,2,4,,,,,,,,461.3711919999987,None,462.37152210000204,None,468.37118850000115,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,14.650751560006029,16.91787566000494,12.951536360003956,"[0.3175925925925926, 0.3768518518518518, 0.34074074074074073]","[-0.26666666666666666, 0.025, 0.23981481481481481]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[12.937613699999929, 14.637172699996881, 16.90389199999845]",0.012953460005519446,16.916786060002778,['A3'],['B3'],['C1'],['yellow'],['blue'],['salmon'],489.1705253,None,9.0,2.3299598999983573,489.1705253,None,506.0198762,None,7.0,5.414618599999812,491.5370545000005,None,7.0,6.213956999999937,499.12151989999984,None,7.0,7.198352200000954,<function functionImportanceB at 0x0000022B398D6F28>,<function functionImportanceC at 0x0000022B398D6E18>,<function functionImportanceA at 0x0000022B398D6950>,,,1.0,5.414618599999812,1.0,2.248135900001216,1.0,3.2812181000008422,<function functiondiffA at 0x0000022B398D6B70>,<function functiondiffB at 0x0000022B398D67B8>,<function functiondiffC at 0x0000022B398D60D0>,,,,,471.80207169999994,513.7199688000001,None,516.3533005999998,None,510.77008719999867,None,13,001,2022_Jul_12_1508,2leo,2021.2.3,59.99070144162057,
3,43,Plan your dream house,Stimuli/43A1.jpg,Stimuli/43A2.jpg,Stimuli/43A3.jpg,Stimuli/43B1.jpg,Stimuli/43B2.jpg,Stimuli/43B3.jpg,Stimuli/43C1.jpg,Stimuli/43C2.jpg,Stimuli/43C3.jpg,,,,,0,3,3,43,,,,,,,,517.9031912999999,None,518.9030531999997,None,524.9031553000023,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,26.804034500000853,30.537760100003652,29.071231000001717,"[-0.16944444444444445, 0.31666666666666665, -0.35185185185185186]","[-0.3712962962962963, 0.27314814814814814, -0.14444444444444443]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[26.792108099998586, 29.058638799997425, 30.525466799997957]",0.01145370000085677,30.536683400001493,['A1'],['B2'],['C3'],['blue'],['salmon'],['yellow'],557.0687222000015,None,8.0,5.813402799998585,557.0687222000015,None,567.1851466000007,None,6.0,3.348414699998102,562.9353828999992,None,8.0,4.164762699998391,570.5184152000002,None,8.0,2.3651199999985693,<function functionImportanceB at 0x0000022B398D6D90>,<function functionImportanceA at 0x0000022B398D6D08>,<function functionImportanceC at 0x0000022B398D6BF8>,,,5.0,3.348414699998102,1.0,3.4142654000024777,4.0,3.1980880000010075,<function functiondiffC at 0x0000022B3512D9D8>,<function functiondiffA at 0x0000022B398D6840>,<function functiondiffB at 0x0000022B38BC3E18>,,,,,526.0573995000013,582.2015339999998,None,572.8517441000004,None,578.9851225999992,None,13,001,2022_Jul_12_1508,2leo,2021.2.3,59.99070144162057,
3,38,Plan how you want to go for a run,Stimuli/38A1.jpg,Stimuli/38A2.jpg,Stimuli/38A3.jpg,Stimuli/38B1.jpg,Stimuli/38B2.jpg,Stimuli/38B3.jpg,Stimuli/38C1.jpg,Stimuli/38C2.jpg,Stimuli/38C3.jpg,,,,,0,4,4,38,,,,,,,,585.1347447000007,None,586.1349303999996,None,592.1346761999994,None,"[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]",,27.32062068000232,21.77113978000125,26.05477388000145,"[-0.337037037037037, -0.3287037037037037, 0.4527777777777778]","[0.08703703703703704, -0.1398148148148148, -0.05740740740740741]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[21.76709099999789, 26.050482999999076, 27.317000899998675]",0.0031700800027465448,27.3199860800014,['A1'],['B3'],['C3'],['yellow'],['blue'],['salmon'],621.1336814999995,None,8.0,2.7301517999985663,621.1336814999995,None,623.9338128999989,None,8.0,4.2311798999980965,628.167011900001,None,8.0,3.2316298999976425,631.5167771000015,None,5.0,2.3147925000012037,<function functionImportanceA at 0x0000022B398D6C80>,<function functionImportanceB at 0x0000022B002D0048>,<function functionImportanceC at 0x0000022B002D0598>,,,5.0,4.2311798999980965,2.0,3.2643701000015426,2.0,2.347950800001854,<function functiondiffB at 0x0000022B398D68C8>,<function functiondiffC at 0x0000022B38BC3EA0>,<function functiondiffA at 0x0000022B398D6598>,,,,,593.3331904000006,633.7335607000023,None,637.0334189999994,None,652.8328623000016,None,13,001,2022_Jul_12_1508,2leo,2021.2.3,59.99070144162057,
3,26,Plan how to wash one round of your laundry ,Stimuli/26A1.jpg,Stimuli/26A2.jpg,Stimuli/26A3.jpg,Stimuli/26B1.jpg,Stimuli/26B2.jpg,Stimuli/26B3.jpg,Stimuli/26C1.jpg,Stimuli/26C2.jpg,Stimuli/26C3.jpg,,,,,0,5,5,26,,,,,,,,654.6994001000021,None,655.6995769000023,None,661.6995298000002,None,"[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,23.37273483000172,41.189065030001075,25.87338013000044,"[-0.3814814814814815, -0.22314814814814815, -0.3425925925925926]","[-0.13425925925925927, 0.3768518518518518, 0.10925925925925926]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[23.36017820000052, 25.860355400000117, 41.17628429999968]",0.012012729999696603,41.1880877299991,['A2'],['B2'],['C2'],['blue'],['yellow'],['salmon'],704.4647623000019,None,8.0,2.613607699997374,704.4647623000019,None,717.1646652999989,None,1.0,1.8318844000023091,707.1481725000012,None,1.0,6.647512100000313,713.8147012000009,None,1.0,3.34851030000209,<function functionImportanceB at 0x0000022B002D02F0>,<function functionImportanceC at 0x0000022B002D01E0>,<function functionImportanceA at 0x0000022B002D0A60>,,,1.0,1.8318844000023091,3.0,6.564445199997863,3.0,7.580987399996957,<function functiondiffB at 0x0000022B38BC39D8>,<function functiondiffA at 0x0000022B2D562E18>,<function functiondiffC at 0x0000022B38BC3D90>,,,,,662.8040378000005,718.9978486,None,733.1810375000023,None,725.5810758000007,None,13,001,2022_Jul_12_1508,2leo,2021.2.3,59.99070144162057,
3,39,Plan what kind of watch you want to buy,Stimuli/39A1.jpg,Stimuli/39A2.jpg,Stimuli/39A3.jpg,Stimuli/39B1.jpg,Stimuli/39B2.jpg,Stimuli/39B3.jpg,Stimuli/39C1.jpg,Stimuli/39C2.jpg,Stimuli/39C3.jpg,,,,,0,6,6,39,,,,,,,,736.247323399999,None,737.2475077000017,None,743.2473461000009,None,"[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]",,21.483979709999403,27.350632810001116,15.11778281000079,"[-0.18888888888888888, 0.35555555555555557, 0.09351851851851851]","[-0.387037037037037, -0.25092592592592594, -0.39351851851851855]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[15.107322199997725, 21.47406140000021, 27.340429699997912]",0.009367910002765711,27.349477409999963,['A2'],['B2'],['C2'],['yellow'],['blue'],['salmon'],772.2130870000001,None,9.0,4.03033030000006,772.2130870000001,None,782.1129172000001,None,1.0,3.4818289000031655,776.2964046000016,None,1.0,5.780850399998599,785.6628148000018,None,1.0,2.898529800000688,<function functionImportanceB at 0x0000022B398D6EA0>,<function functionImportanceA at 0x0000022B398D6158>,<function functionImportanceC at 0x0000022B398D6268>,,,2.0,3.4818289000031655,4.0,3.130880900000193,1.0,1.8480493999995815,<function functiondiffB at 0x0000022B398D6620>,<function functiondiffA at 0x0000022B38BC3598>,<function functiondiffC at 0x0000022B398D6730>,,,,,744.3891351999991,788.4960427000005,None,793.5127474000001,None,791.6460637000018,None,13,001,2022_Jul_12_1508,2leo,2021.2.3,59.99070144162057,
3,0,Plan a barbecue,Stimuli/0A1.jpg,Stimuli/0A2.jpg,Stimuli/0A3.jpg,Stimuli/0B1.jpg,Stimuli/0B2.jpg,Stimuli/0B3.jpg,Stimuli/0C1.jpg,Stimuli/0C2.jpg,Stimuli/0C3.jpg,,,,,0,7,7,0,,,,,,,,796.3290182000019,None,797.3290272000013,None,803.328923699999,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",,14.186560020003526,30.01955922000343,21.136812020002253,"[0.28703703703703703, -0.2, 0.06574074074074074]","[0.24166666666666667, -0.37222222222222223, 0.38055555555555554]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[14.176847500002623, 21.126519800000096, 30.009565200001816]",0.009153420003713109,30.018692620004003,['A2'],['B2'],['C3'],['salmon'],['blue'],['yellow'],836.294743800001,None,9.0,2.630178100000194,836.294743800001,None,850.0611256000011,None,8.0,3.2819621000016923,838.994744399999,None,3.0,6.680827299998782,845.6947031999989,None,8.0,2.997132699998474,<function functionImportanceB at 0x0000022B002D00D0>,<function functionImportanceC at 0x0000022B002D0AE8>,<function functionImportanceA at 0x0000022B002D0158>,,,6.0,3.2819621000016923,7.0,3.364311400000588,7.0,3.0475861000013538,<function functiondiffA at 0x0000022B38BC3488>,<function functiondiffC at 0x0000022B002D06A8>,<function functiondiffB at 0x0000022B002D08C8>,,,,,805.8156382999987,857.9441407000013,None,855.0442876999987,None,852.3778216999999,None,13,001,2022_Jul_12_1508,2leo,2021.2.3,59.99070144162057,
