Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffA_response,slider_diffA_rt,slider_diffC_response,slider_diffC_rt,slider_diffB_response,slider_diffB_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffA_started,question_diffA_stopped,question_diffC_started,question_diffC_stopped,question_diffB_started,question_diffB_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,37.5921871999999,None,1,[6.500238299999182],[6.500242199999775],37.5921871999999,None,78.50032979999742,None,79.50999020000017,None,85.51006029999917,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]",89.51193209999838,8.675450399987312,7.692434399988997,6.693874999986292,"[0.062037037037037036, 0.32407407407407407, -0.19722222222222222]","[0.3648148148148148, 0.19814814814814816, -0.37222222222222223]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.6803115000002435, 7.6791120000016235, 8.662186599998677]",0.012638799988053506,8.67474899998706,['A3'],['B1'],['C1'],['yellow'],['salmon'],['blue'],98.64280080000026,None,8.0,6.046566200002417,98.64280080000026,None,104.77619699999923,None,5.0,10.097338100000343,116.14823089999845,None,8.0,5.764595699998608,122.2088146999995,None,10.0,5.59864540000126,<function functionImportanceCt at 0x000002018A8A1D08>,<function functionImportanceAt at 0x0000020186C43268>,<function functionImportanceBt at 0x00000201FB391E18>,144.55841209999926,None,0.0,5.764595699998608,3.0,12.114159000000654,4.0,6.397654199998215,<function functiondiffAt at 0x000002018AACB1E0>,<function functiondiffCt at 0x000002018AACBEA0>,<function functiondiffBt at 0x000002018AACBF28>,,,,,,,,,,,,14,001,2022_Jul_12_1607,2leo,2021.2.3,60.014535520271174,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,150.04140740000003,None,151.0415506999998,None,157.0414822999992,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",163.15823649999948,13.516488759982167,15.433031959983055,19.04998415998125,"[-0.19722222222222222, -0.38055555555555554, 0.08333333333333333]","[0.38333333333333336, -0.12222222222222222, -0.36666666666666664]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[13.499645700001565, 15.41591200000039, 19.03245909999896]",0.016441159983514808,19.048832559983566,['A1'],['B1'],['C3'],['yellow'],['salmon'],['blue'],182.65712259999782,None,8.0,4.998085399998672,182.65712259999782,None,212.0233526999982,None,4.0,6.43187559999933,200.79028029999972,None,4.0,11.698264999999083,189.42379359999904,None,9.0,11.130827399996633,<function functionImportanceBt at 0x000002018A8A1BF8>,<function functionImportanceAt at 0x000002018A8A1A60>,<function functionImportanceCt at 0x00000201F82331E0>,234.0060057999981,None,0.0,11.698264999999083,3.0,8.447950099998707,1.0,4.864624800000456,<function functiondiffCt at 0x000002018AACB510>,<function functiondiffAt at 0x000002018AACB730>,<function functiondiffBt at 0x000002018AACB620>,,,,,,,,,,,,14,001,2022_Jul_12_1607,2leo,2021.2.3,60.014535520271174,
3,26,Plan how to wash one round of your laundry ,Stimuli/26A1.jpg,Stimuli/26A2.jpg,Stimuli/26A3.jpg,Stimuli/26B1.jpg,Stimuli/26B2.jpg,Stimuli/26B3.jpg,Stimuli/26C1.jpg,Stimuli/26C2.jpg,Stimuli/26C3.jpg,,,,,0,0,0,26,,,,,,,,329.86400800000047,None,330.85350109999854,None,336.85337509999954,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]",,17.12656209999841,23.193187600001693,20.276736100000562,"[0.05462962962962963, 0.062037037037037036, 0.4027777777777778]","[-0.3768518518518518, 0.3851851851851852, -0.016666666666666666]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[17.1126105000003, 20.26244080000106, 23.179195799999434]",0.013317699998879107,23.192258300001413,['A3'],['B1'],['C1'],['yellow'],['salmon'],['blue'],361.66916520000086,None,6.0,2.6459219999997003,361.66916520000086,None,384.53530319999845,None,3.0,7.364834399999381,376.1688519999989,None,5.0,8.347960900002363,364.43595709999863,None,8.0,11.730808099997375,<function functionImportanceB at 0x000002018AACBC80>,<function functionImportanceA at 0x000002018A8A19D8>,<function functionImportanceC at 0x000002018AC9D598>,,,4.0,9.247069400000328,4.0,8.347960900002363,-0.0,3.0310984999996435,<function functiondiffA at 0x000002018AACB598>,<function functiondiffC at 0x000002018AACBAE8>,<function functiondiffB at 0x000002018AACB6A8>,238.00587499999892,None,238.00587499999892,None,338.00652439999976,391.85180000000037,None,401.1182670999988,None,412.2680287999974,None,14,001,2022_Jul_12_1607,2leo,2021.2.3,60.014535520271174,
3,44,Plan a party at your place,Stimuli/44A1.jpg,Stimuli/44A2.jpg,Stimuli/44A3.jpg,Stimuli/44B1.jpg,Stimuli/44B2.jpg,Stimuli/44B3.jpg,Stimuli/44C1.jpg,Stimuli/44C2.jpg,Stimuli/44C3.jpg,,,,,0,1,1,44,,,,,,,,414.8177341999981,None,415.8178337999998,None,421.8177251999987,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]",,17.595390340004087,15.462688740004523,16.512621940004465,"[-0.1962962962962963, -0.32037037037037036, 0.08518518518518518]","[-0.3527777777777778, -0.14722222222222223, -0.39537037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[15.447453799999494, 16.497221900001023, 17.580375900000945]",0.014468840003246441,17.594764440003928,['A2'],['B2'],['C1'],['salmon'],['blue'],['yellow'],441.00041679999777,None,9.0,5.030367799998203,441.00041679999777,None,454.1334332999977,None,2.0,10.69844060000105,446.08380829999805,None,4.0,8.013968999999634,464.8498523999988,None,9.0,5.098314400001982,<function functionImportanceA at 0x000002018A860EA0>,<function functionImportanceC at 0x000002018AC9D268>,<function functionImportanceB at 0x000002018A08A9D8>,,,7.0,7.164600500000233,7.0,8.013968999999634,0.0,6.480875500001275,<function functiondiffA at 0x000002018AC9D730>,<function functiondiffC at 0x000002018AC9DC80>,<function functiondiffB at 0x000002018AC9D950>,,,,,422.93481379999866,469.93328629999814,None,477.11629379999795,None,487.8826224000004,None,14,001,2022_Jul_12_1607,2leo,2021.2.3,60.014535520271174,
3,43,Plan your dream house,Stimuli/43A1.jpg,Stimuli/43A2.jpg,Stimuli/43A3.jpg,Stimuli/43B1.jpg,Stimuli/43B2.jpg,Stimuli/43B3.jpg,Stimuli/43C1.jpg,Stimuli/43C2.jpg,Stimuli/43C3.jpg,,,,,0,2,2,43,,,,,,,,493.86583509999764,None,494.8656899999987,None,500.86584369999764,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",,15.029315939998924,22.646338539998396,15.946310139999696,"[-0.38055555555555554, -0.37592592592592594, -0.18333333333333332]","[0.1537037037037037, -0.17962962962962964, -0.32222222222222224]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[15.022548599998117, 15.939022399998066, 22.639133999997284]",0.006351939999149181,22.645247839998774,['A1'],['B3'],['C1'],['salmon'],['yellow'],['blue'],525.1147988999983,None,10.0,4.113477199996851,525.1147988999983,None,529.2815703999986,None,9.0,9.030785099999775,538.3645701999994,None,9.0,6.248452800002269,544.5978866999976,None,9.0,5.114946700003202,<function functionImportanceC at 0x000002018AC9DD08>,<function functionImportanceA at 0x000002018A090E18>,<function functionImportanceB at 0x000002018AC9D378>,,,0.0,4.7312144999996235,4.0,6.248452800002269,7.0,3.331179199998587,<function functiondiffA at 0x000002018AACB400>,<function functiondiffB at 0x000002018AACB488>,<function functiondiffC at 0x000002018AC9DAE8>,,,,,501.99005279999983,549.6976939999986,None,557.8141541000005,None,554.4640829999989,None,14,001,2022_Jul_12_1607,2leo,2021.2.3,60.014535520271174,
3,33,Plan the items to decorate your Christmas tree,Stimuli/33A1.jpg,Stimuli/33A2.jpg,Stimuli/33A3.jpg,Stimuli/33B1.jpg,Stimuli/33B2.jpg,Stimuli/33B3.jpg,Stimuli/33C1.jpg,Stimuli/33C2.jpg,Stimuli/33C3.jpg,,,,,0,3,3,33,,,,,,,,561.1307426999992,None,562.1305227999983,None,568.1305470000007,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",,32.71846589999768,26.03561069999705,23.719344099994487,"[0.09722222222222222, -0.1685185185185185, -0.387037037037037]","[0.362962962962963, -0.34444444444444444, 0.09814814814814815]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[23.708772699999827, 26.02512829999978, 32.70846309999979]",0.009539099995890865,32.71788079999533,['A1'],['B3'],['C2'],['blue'],['salmon'],['yellow'],602.9795336999996,None,8.0,5.080386999998154,602.9795336999996,None,622.1291884999991,None,5.0,4.831619699998555,608.6474540999989,None,5.0,10.447704300000623,618.5793502999986,None,5.0,3.498328899997432,<function functionImportanceA at 0x000002018AACB8C8>,<function functionImportanceB at 0x000002018AACB9D8>,<function functionImportanceC at 0x000002018AC9DD90>,,,9.0,3.614274399998976,6.0,10.447704300000623,7.0,7.864746400002332,<function functiondiffC at 0x000002018AC9D510>,<function functiondiffB at 0x000002018AC9D048>,<function functiondiffA at 0x000002018AC9D488>,,,,,569.8006853999977,642.3453808999984,None,626.9290209999999,None,634.3289072999978,None,14,001,2022_Jul_12_1607,2leo,2021.2.3,60.014535520271174,
3,42,Plan how to draw a painting ,Stimuli/42A1.jpg,Stimuli/42A2.jpg,Stimuli/42A3.jpg,Stimuli/42B1.jpg,Stimuli/42B2.jpg,Stimuli/42B3.jpg,Stimuli/42C1.jpg,Stimuli/42C2.jpg,Stimuli/42C3.jpg,,,,,0,4,4,42,,,,,,,,645.345017399999,None,646.3451152999987,None,652.3450295000002,None,"[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]",,22.920004959993094,13.387219659995026,14.35406485999556,"[0.32314814814814813, 0.3824074074074074, -0.36944444444444446]","[-0.26666666666666666, 0.013888888888888888, 0.0962962962962963]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[13.376506799999333, 14.342951999999059, 22.909468599998945]",0.010033659993496258,22.919232859992917,['A2'],['B1'],['C3'],['blue'],['yellow'],['salmon'],677.0108701999998,None,9.0,3.2301955000002636,677.0108701999998,None,680.3126755999983,None,10.0,5.2642663000006,693.3440077999985,None,6.0,4.800456700002542,685.5952933000008,None,9.0,7.565527099999599,<function functionImportanceC at 0x000002018AACBA60>,<function functionImportanceB at 0x000002018AC9D7B8>,<function functionImportanceA at 0x000002018AC9DA60>,,,9.0,2.7647857000010845,1.0,4.800456700002542,-0.0,5.463155500001449,<function functiondiffB at 0x000002018AC9DB70>,<function functiondiffA at 0x000002018AC9D8C8>,<function functiondiffC at 0x000002018CB9A2F0>,,,,,653.6177888999991,703.4769500999973,None,706.2267632000003,None,697.9604784000003,None,14,001,2022_Jul_12_1607,2leo,2021.2.3,60.014535520271174,
3,13,Plan a romantic date this weekend,Stimuli/13A1.jpg,Stimuli/13A2.jpg,Stimuli/13A3.jpg,Stimuli/13B1.jpg,Stimuli/13B2.jpg,Stimuli/13B3.jpg,Stimuli/13C1.jpg,Stimuli/13C2.jpg,Stimuli/13C3.jpg,,,,,0,5,5,13,,,,,,,,708.3933665000004,None,709.3933705999989,None,715.3932729000007,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",,7.174625159997959,35.24083155999688,12.991646459999174,"[0.387037037037037, 0.1, 0.3398148148148148]","[-0.009259259259259259, -0.3296296296296296, -0.25462962962962965]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.1702632000015, 12.986863400001312, 35.23631949999981]",0.0038386599990190007,35.23990355999922,['A2'],['B1'],['C1'],['yellow'],['blue'],['salmon'],752.3088153999997,None,8.0,4.1639370000011695,752.3088153999997,None,756.5590812999981,None,3.0,7.014316799999506,763.5921371999975,None,8.0,3.8650753000001714,767.5086520000004,None,2.0,2.979704400000628,<function functionImportanceC at 0x000002018CB9A1E0>,<function functionImportanceA at 0x000002018AC9D620>,<function functionImportanceB at 0x000002018CB9AAE8>,,,-0.0,2.464616399996885,3.0,3.8650753000001714,8.0,6.43110450000313,<function functiondiffB at 0x000002018AC9DF28>,<function functiondiffA at 0x000002018AACB0D0>,<function functiondiffC at 0x000002018AC9DEA0>,,,,,716.5874105999974,776.8750440999975,None,779.3416747999981,None,770.4418535999976,None,14,001,2022_Jul_12_1607,2leo,2021.2.3,60.014535520271174,
3,21,Plan your sandwich for lunch,Stimuli/21A1.jpg,Stimuli/21A2.jpg,Stimuli/21A3.jpg,Stimuli/21B1.jpg,Stimuli/21B2.jpg,Stimuli/21B3.jpg,Stimuli/21C1.jpg,Stimuli/21C2.jpg,Stimuli/21C3.jpg,,,,,0,6,6,21,,,,,,,,784.8580944999994,None,785.858272999998,None,791.8583002999985,None,"[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]",,12.115785640002287,10.482956340001692,14.466345440003352,"[0.3138888888888889, 0.3194444444444444, 0.3712962962962963]","[0.23796296296296296, -0.23981481481481481, 0.005555555555555556]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.465649800000392, 12.098980500002654, 14.448957399999927]",0.016190740003366955,14.465002040004038,['A2'],['B3'],['C3'],['yellow'],['salmon'],['blue'],807.9074827999975,None,8.0,4.096790599996893,807.9074827999975,None,812.0741976999998,None,8.0,6.298109100000147,818.3907289999988,None,8.0,6.28207889999976,824.6905336999989,None,8.0,7.665248600002087,<function functionImportanceC at 0x000002018CB9A268>,<function functionImportanceA at 0x000002018CB9A598>,<function functionImportanceB at 0x000002018CB9A8C8>,,,-0.0,3.6313864000003377,0.0,6.28207889999976,0.0,5.597854999999981,<function functiondiffA at 0x000002018AC9DE18>,<function functiondiffC at 0x000002018AC9D158>,<function functiondiffB at 0x000002018AC9DBF8>,,,,,792.9729057000004,832.3403479000008,None,835.9736138999979,None,839.0733808000005,None,14,001,2022_Jul_12_1607,2leo,2021.2.3,60.014535520271174,
3,1,Plan how to study for an exam,Stimuli/1A1.jpg,Stimuli/1A2.jpg,Stimuli/1A3.jpg,Stimuli/1B1.jpg,Stimuli/1B2.jpg,Stimuli/1B3.jpg,Stimuli/1C1.jpg,Stimuli/1C2.jpg,Stimuli/1C3.jpg,,,,,0,7,7,1,,,,,,,,844.1899727999989,None,845.1899044999991,None,851.1900117000005,None,"[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]",,33.098585780000576,26.499553080000624,23.99937988000238,"[0.28888888888888886, -0.34074074074074073, 0.4101851851851852]","[0.2074074074074074, -0.16944444444444445, 0.0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[23.982022200001666, 26.48230540000077, 33.08179200000086]",0.016407680002885172,33.098074080000515,['A1'],['B3'],['C1'],['blue'],['yellow'],['salmon'],885.8387877999994,None,6.0,3.097298500000761,885.8387877999994,None,888.972142999999,None,6.0,9.530950500000472,898.5552229999994,None,8.0,15.88201029999982,914.4556354999986,None,10.0,2.914930599999934,<function functionImportanceC at 0x000002018CB9A730>,<function functionImportanceA at 0x000002018CB9AC80>,<function functionImportanceB at 0x000002018CB9A378>,,,4.0,4.314148800000112,7.0,15.88201029999982,9.0,3.764504800001305,<function functiondiffA at 0x000002018CB9A488>,<function functiondiffB at 0x000002018CB9AE18>,<function functiondiffC at 0x000002018CB9A048>,,,,,852.2725886000007,917.3548312999992,None,925.4542698999976,None,921.6713373999992,None,14,001,2022_Jul_12_1607,2leo,2021.2.3,60.014535520271174,
