Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffC_response,slider_diffC_rt,slider_diffA_response,slider_diffA_rt,slider_diffB_response,slider_diffB_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffC_started,question_diffC_stopped,question_diffA_started,question_diffA_stopped,question_diffB_started,question_diffB_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,16.944049199999426,None,1,[1.2698710999993637],[1.2698748000002524],16.944049199999426,None,52.45683219999955,None,53.46641299999828,None,59.46648339999956,None,"[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]",63.44471929999963,9.583428020006977,6.78358472000582,12.750573420005821,"[0.2962962962962963, 0.2833333333333333, 0.1712962962962963, 0.12685185185185185, -0.18703703703703703]","[-0.24814814814814815, -0.26666666666666666, -0.32314814814814813, -0.34629629629629627, 0.3509259259259259]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[6.768015699999523, 7.767984399999477, 8.600801799999317, 9.568160399998305, 12.734673999999359]",0.014871520006636274,12.749205720007012,['A1'],['B1'],['C2'],['blue'],['yellow'],['salmon'],76.64918939999916,None,8.0,4.929499300000316,76.64918939999916,None,82.9491225999991,None,8.0,11.396882500001084,93.08258909999859,None,8.0,2.6818295999983093,97.33808789999966,None,9.0,5.348245999999563,<function functionImportanceAt at 0x000001B0A6101D08>,<function functionImportanceCt at 0x000001B09A163268>,<function functionImportanceBt at 0x000001B0A6101D90>,115.66503019999982,None,6.0,6.447521500000221,7.0,11.396882500001084,9.0,4.247959700000138,<function functiondiffCt at 0x000001B0A6E64378>,<function functiondiffAt at 0x000001B0A6E64F28>,<function functiondiffBt at 0x000001B0A6E64840>,,,,,,,,,,,,17,001,2022_Jul_19_1152,2leo,2021.2.3,59.98372041848456,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,118.98117039999852,None,119.98115289999987,None,125.98116089999894,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",132.14239279999856,17.19572956000593,21.945954660006464,3.981557460007025,"[-0.3055555555555556, -0.29814814814814816, -0.3175925925925926, 0.262037037037037, -0.16018518518518518]","[-0.10740740740740741, -0.10648148148148148, -0.10833333333333334, 0.2638888888888889, 0.32592592592592595]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[3.973232399999688, 8.071622699999352, 8.871428799999194, 17.187991099999635, 21.937879999999495]",0.0072401600064040394,21.94477686000573,['A2'],['B3'],['C3'],['blue'],['yellow'],['salmon'],154.54697789999955,None,6.0,2.5975263999989693,154.54697789999955,None,169.1967165999995,None,8.0,5.398318900000959,174.14616879999994,None,8.0,4.8151596000006975,158.91366189999826,None,4.0,10.047980299999836,<function functionImportanceBt at 0x000001B0A6101BF8>,<function functionImportanceAt at 0x000001B0939C31E0>,<function functionImportanceCt at 0x000001B0A6101EA0>,187.81273650000003,None,8.0,3.7816348999986076,7.0,5.398318900000959,10.0,5.531426300000021,<function functiondiffAt at 0x000001B0A6E649D8>,<function functiondiffCt at 0x000001B0A6E64AE8>,<function functiondiffBt at 0x000001B0A6E64598>,,,,,,,,,,,,17,001,2022_Jul_19_1152,2leo,2021.2.3,59.98372041848456,
3,23,Plan a city trip,Stimuli/23A1.jpg,Stimuli/23A2.jpg,Stimuli/23A3.jpg,Stimuli/23B1.jpg,Stimuli/23B2.jpg,Stimuli/23B3.jpg,Stimuli/23C1.jpg,Stimuli/23C2.jpg,Stimuli/23C3.jpg,,,,,0,0,0,23,,,,,,,,195.96145429999888,None,196.91249509999943,None,202.91238539999904,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,15.755801060000522,11.241033759999482,13.406544760000543,"[-0.1814814814814815, 0.2861111111111111, 0.11296296296296296]","[-0.33240740740740743, 0.24351851851851852, 0.33055555555555555]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[11.236218500000177, 13.401419600000736, 15.751327800000581]",0.003975960000389023,15.75502165999933,['A2'],['B3'],['C2'],['blue'],['salmon'],['yellow'],220.32825609999963,None,8.0,2.562751900000876,220.32825609999963,None,226.878335899999,None,7.0,5.281733700001496,223.0283442,None,10.0,3.8644140000014886,232.17815159999918,None,9.0,3.614704300000085,<function functionImportanceC at 0x000001B0A6E64488>,<function functionImportanceA at 0x000001B0A61019D8>,<function functionImportanceB at 0x000001B0A3E549D8>,,,0.0,5.281733700001496,5.0,2.6142359000004944,7.0,3.4307528999997885,<function functiondiffC at 0x000001B0A7AAA158>,<function functiondiffA at 0x000001B0A6E640D0>,<function functiondiffB at 0x000001B0A6E64D90>,192.46260559999973,None,192.46260559999973,None,204.09385399999883,235.74480799999947,None,239.22805979999976,None,241.86112149999826,None,17,001,2022_Jul_19_1152,2leo,2021.2.3,59.98372041848456,
3,18,Plan your Saturday night ,Stimuli/18A1.jpg,Stimuli/18A2.jpg,Stimuli/18A3.jpg,Stimuli/18B1.jpg,Stimuli/18B2.jpg,Stimuli/18B3.jpg,Stimuli/18C1.jpg,Stimuli/18C2.jpg,Stimuli/18C3.jpg,,,,,0,1,1,18,,,,,,,,244.81101709999894,None,245.81098839999868,None,251.81102359999932,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",,6.877033959999608,16.17705105999994,10.427434259998336,"[0.11666666666666667, 0.2851851851851852, 0.3574074074074074]","[-0.4111111111111111, -0.2962962962962963, -0.041666666666666664]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.870876800001497, 10.420801600001141, 16.170530500001405]",0.005722959998820443,16.176222959998995,['A1'],['B2'],['C1'],['salmon'],['blue'],['yellow'],269.5603124999998,None,7.0,2.363847099999475,269.5603124999998,None,279.0267802999988,None,9.0,4.048555600000327,275.3115087999995,None,9.0,3.715138100000331,271.9436969999988,None,10.0,3.2977281999992556,<function functionImportanceB at 0x000001B0A7AAA840>,<function functionImportanceC at 0x000001B0A7AAA1E0>,<function functionImportanceA at 0x000001B0A7AAAA60>,,,4.0,4.048555600000327,2.0,4.54779409999901,5.0,3.6981443999993644,<function functiondiffA at 0x000001B0A6E64E18>,<function functiondiffB at 0x000001B0A6E64730>,<function functiondiffC at 0x000001B0A6E646A8>,,,,,252.90708519999862,291.3598387999991,None,283.0768002999994,None,287.6266444999983,None,17,001,2022_Jul_19_1152,2leo,2021.2.3,59.98372041848456,
3,19,Plan how you want your garden to look like,Stimuli/19A1.jpg,Stimuli/19A2.jpg,Stimuli/19A3.jpg,Stimuli/19B1.jpg,Stimuli/19B2.jpg,Stimuli/19B3.jpg,Stimuli/19C1.jpg,Stimuli/19C2.jpg,Stimuli/19C3.jpg,,,,,0,2,2,19,,,,,,,,294.4762288999991,None,295.4763817999992,None,301.47634189999917,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]",,25.632501360003516,18.549685460004184,6.65019826000389,"[0.3425925925925926, 0.38055555555555554, -0.38333333333333336]","[-0.2064814814814815, -0.023148148148148147, 0.2]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.636202099998627, 18.535803299999316, 25.61911169999985]",0.012967560003744438,25.632017960004305,['A1'],['B3'],['C2'],['yellow'],['blue'],['salmon'],331.1920124999997,None,5.0,2.530202300000383,331.1920124999997,None,333.8087069999983,None,3.0,4.031116899999688,345.141710599999,None,7.0,4.098657000000458,338.9252772,None,2.0,5.898475699999835,<function functionImportanceA at 0x000001B0A6E64A60>,<function functionImportanceB at 0x000001B0A7AAAF28>,<function functionImportanceC at 0x000001B0A7AAA730>,,,3.0,4.031116899999688,8.0,3.164494000000559,8.0,3.7812702000010177,<function functiondiffB at 0x000001B0A6E64620>,<function functiondiffA at 0x000001B0A6E64EA0>,<function functiondiffC at 0x000001B0A7AAA7B8>,,,,,305.10781209999914,355.2246968999989,None,351.65821439999854,None,348.1081645999984,None,17,001,2022_Jul_19_1152,2leo,2021.2.3,59.98372041848456,
3,5,Plan a birthday party for your younger self when you turn eight,Stimuli/5A1.jpg,Stimuli/5A2.jpg,Stimuli/5A3.jpg,Stimuli/5B1.jpg,Stimuli/5B2.jpg,Stimuli/5B3.jpg,Stimuli/5C1.jpg,Stimuli/5C2.jpg,Stimuli/5C3.jpg,,,,,0,3,3,5,,,,,,,,357.57464359999904,None,358.57458659999975,None,364.5745158999998,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",,21.26046626000607,13.594121260006432,8.812387460005993,"[-0.3296296296296296, -0.20092592592592592, 0.06574074074074074]","[-0.07407407407407407, -0.29074074074074074, -0.3388888888888889]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.79772419999972, 13.579919400001017, 21.24657330000082]",0.01347016000545409,21.259734960005517,['A1'],['B1'],['C3'],['blue'],['yellow'],['salmon'],392.1902261999985,None,6.0,3.663296900000205,392.1902261999985,None,409.4565481999998,None,2.0,5.931426099999953,396.6236597999996,None,9.0,10.93106970000008,414.37293879999925,None,8.0,5.29818669999986,<function functionImportanceC at 0x000001B0A7AAA8C8>,<function functionImportanceA at 0x000001B0A7AAAEA0>,<function functionImportanceB at 0x000001B0A7AAAAE8>,,,3.0,5.931426099999953,9.0,7.264576499999748,5.0,3.897791999999754,<function functiondiffC at 0x000001B0A7AAA048>,<function functiondiffB at 0x000001B0A6E64510>,<function functiondiffA at 0x000001B09B6E1E18>,,,,,370.4809299999997,418.25635109999894,None,427.1060789999992,None,422.7892207999994,None,17,001,2022_Jul_19_1152,2leo,2021.2.3,59.98372041848456,
3,2,Plan which ingredients you want to use for cooking dinner today,Stimuli/2A1.jpg,Stimuli/2A2.jpg,Stimuli/2A3.jpg,Stimuli/2B1.jpg,Stimuli/2B2.jpg,Stimuli/2B3.jpg,Stimuli/2C1.jpg,Stimuli/2C2.jpg,Stimuli/2C3.jpg,,,,,0,4,4,2,,,,,,,,433.12233559999913,None,434.12252499999886,None,440.12237879999884,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",,20.508641760005048,7.526163260004978,12.442592160005006,"[0.3509259259259259, 0.04722222222222222, -0.19537037037037036]","[-0.20462962962962963, -0.3416666666666667, -0.30648148148148147]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.519610600000306, 12.43580160000056, 20.502367799999774]",0.0058646600064093946,20.50807686000553,['A1'],['B1'],['C1'],['salmon'],['blue'],['yellow'],467.33786469999905,None,7.0,2.0804587000002357,467.33786469999905,None,470.7216809999991,None,9.0,6.814349800000855,476.9380098999991,None,10.0,4.914979899998798,484.6210623999996,None,10.0,6.381908400000611,<function functionImportanceA at 0x000001B0A7AAA0D0>,<function functionImportanceC at 0x000001B0A7C39158>,<function functionImportanceB at 0x000001B0A7C39048>,,,-0.0,6.814349800000855,5.0,4.230791800000588,0.0,3.231005699999514,<function functiondiffA at 0x000001B0A7AAAE18>,<function functiondiffC at 0x000001B0A4290EA0>,<function functiondiffB at 0x000001B0A7AAA950>,,,,,446.36936949999836,492.05418929999905,None,487.9543885999992,None,495.9374341999992,None,17,001,2022_Jul_19_1152,2leo,2021.2.3,59.98372041848456,
3,4,Plan a game night at your place,Stimuli/4A1.jpg,Stimuli/4A2.jpg,Stimuli/4A3.jpg,Stimuli/4B1.jpg,Stimuli/4B2.jpg,Stimuli/4B3.jpg,Stimuli/4C1.jpg,Stimuli/4C2.jpg,Stimuli/4C3.jpg,,,,,0,5,5,4,,,,,,,,497.8372408999985,None,498.8374454999994,None,504.83734339999864,None,"[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]",,19.751103820004573,7.818412820004596,14.618431420005436,"[-0.15648148148148147, -0.31296296296296294, -0.3490740740740741]","[0.3194444444444444, -0.0787037037037037, 0.08148148148148149]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.812752199999522, 14.612534399999277, 19.745726699999068]",0.0047410200040758355,19.750448720003988,['A3'],['B3'],['C3'],['yellow'],['blue'],['salmon'],528.5363869999983,None,6.0,1.7969902999993792,528.5363869999983,None,536.452941399999,None,6.0,5.581500199999937,531.7364104999997,None,8.0,4.998126099999354,541.069340099999,None,10.0,2.448450600000797,<function functionImportanceC at 0x000001B0A7C392F0>,<function functionImportanceA at 0x000001B0A7C397B8>,<function functionImportanceB at 0x000001B0A7C39730>,,,4.0,5.581500199999937,5.0,3.3809545999993134,7.0,3.2814294999989215,<function functiondiffB at 0x000001B0A7AAAB70>,<function functiondiffC at 0x000001B0A7C39620>,<function functiondiffA at 0x000001B0A7AAA598>,,,,,508.3233948999987,547.119095,None,550.9359607999995,None,543.436048399999,None,17,001,2022_Jul_19_1152,2leo,2021.2.3,59.98372041848456,
3,22,Plan a beach day with your friends,Stimuli/22A1.jpg,Stimuli/22A2.jpg,Stimuli/22A3.jpg,Stimuli/22B1.jpg,Stimuli/22B2.jpg,Stimuli/22B3.jpg,Stimuli/22C1.jpg,Stimuli/22C2.jpg,Stimuli/22C3.jpg,,,,,0,6,6,22,,,,,,,,553.5189304999985,None,554.5192321999984,None,560.5191139999988,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,16.943538339999577,13.677093840000452,9.360628439999346,"[-0.31296296296296294, -0.20462962962962963, 0.05648148148148148]","[0.09722222222222222, 0.3490740740740741, 0.37407407407407406]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.353874399999768, 13.67054409999946, 16.93718909999916]",0.005751540000346722,16.942687439999645,['A3'],['B2'],['C2'],['yellow'],['blue'],['salmon'],579.0848810999996,None,8.0,2.546711299999515,579.0848810999996,None,589.7013564999997,None,9.0,2.8819235999999364,585.7348590999991,None,9.0,3.9651044999991427,581.6850044999992,None,10.0,3.9644332000007125,<function functionImportanceB at 0x000001B0A7C39510>,<function functionImportanceC at 0x000001B0A7C39488>,<function functionImportanceA at 0x000001B0A7C39378>,,,7.0,2.8819235999999364,7.0,2.6481113999998342,-0.0,2.614815799999633,<function functiondiffA at 0x000001B0A7C391E0>,<function functiondiffB at 0x000001B0A7C396A8>,<function functiondiffC at 0x000001B0A7AAA6A8>,,,,,561.6635109999988,597.8345340999986,None,592.5346937999984,None,595.2013642999991,None,17,001,2022_Jul_19_1152,2leo,2021.2.3,59.98372041848456,
3,27,Plan what festival to visit with your friends,Stimuli/27A1.jpg,Stimuli/27A2.jpg,Stimuli/27A3.jpg,Stimuli/27B1.jpg,Stimuli/27B2.jpg,Stimuli/27B3.jpg,Stimuli/27C1.jpg,Stimuli/27C2.jpg,Stimuli/27C3.jpg,,,,,0,7,7,27,,,,,,,,600.1010432999992,None,601.1012027999986,None,607.1011243999983,None,"[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]",,22.939317220001612,16.706781720002255,9.1905108200026,"[0.41944444444444445, 0.3425925925925926, 0.01574074074074074]","[-0.03611111111111111, 0.18611111111111112, 0.3453703703703704]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.177376900001036, 16.693932600001062, 22.926697400000194]",0.01216772000225319,22.938666920001197,['A1'],['B1'],['C1'],['salmon'],['blue'],['yellow'],631.6168334999984,None,6.0,2.047118999998929,631.6168334999984,None,633.716816099999,None,10.0,2.331238200000371,636.0668172999995,None,8.0,2.765029100000902,638.8666492999982,None,8.0,3.265266899999915,<function functionImportanceA at 0x000001B0A7C39840>,<function functionImportanceC at 0x000001B0A7C39BF8>,<function functionImportanceB at 0x000001B0A7C39F28>,,,7.0,2.331238200000371,5.0,5.481171500001437,6.0,2.998141599999144,<function functiondiffA at 0x000001B0A7C399D8>,<function functiondiffB at 0x000001B0A7C39AE8>,<function functiondiffC at 0x000001B0A7C39B70>,,,,,608.2054142999987,650.6331369,None,642.116375399999,None,647.6162814999989,None,17,001,2022_Jul_19_1152,2leo,2021.2.3,59.98372041848456,
