Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffA_response,slider_diffA_rt,slider_diffC_response,slider_diffC_rt,slider_diffB_response,slider_diffB_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffA_started,question_diffA_stopped,question_diffB_started,question_diffB_stopped,question_diffC_started,question_diffC_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,23.03725680000025,None,1,[8.796860899999956],[8.796864200000527],23.03725680000025,None,91.41186759999982,None,92.42159629999969,None,98.42104269999982,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]",102.42450350000036,6.534116540002287,38.78380894000293,33.03388584000277,"[-0.34814814814814815, -0.3712962962962963, 0.34074074074074073, 0.07777777777777778]","[0.0787037037037037, 0.09722222222222222, -0.03333333333333333, 0.3675925925925926]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[6.525907400000506, 10.759157800000139, 33.02500380000038, 38.775175700000545]",0.007800040002621245,38.78270894000252,['A1'],['B3'],['C3'],['salmon'],['blue'],['yellow'],141.66970049999964,None,6.0,4.529925299999377,141.66970049999964,None,147.55317639999976,None,10.0,6.914350000000013,154.78626059999988,None,5.0,5.814737900000182,159.05529969999952,None,8.0,1.764979499999754,<function functionImportanceAt at 0x000001E494A04D08>,<function functionImportanceBt at 0x000001E4A3FF0840>,<function functionImportanceCt at 0x000001E4A3FF0E18>,168.4192624999996,None,10.0,6.914350000000013,-0.0,2.9482293999999456,5.0,4.347077600000375,<function functiondiffAt at 0x000001E4A4DFDBF8>,<function functiondiffCt at 0x000001E4A4DFDEA0>,<function functiondiffBt at 0x000001E4A4DFDF28>,,,,,,,,,,,,002,001,2022_Jun_13_1033,2leo,2021.2.3,59.99232098282447,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,171.83574169999974,None,172.8359134000002,None,178.83576679999987,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",184.94013199999972,14.9777965400026,11.961554340003204,10.31182894000267,"[-0.3037037037037037, -0.3037037037037037, 0.42407407407407405]","[-0.0962962962962963, 0.11481481481481481, 0.016666666666666666]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.294941899999685, 11.944910999999593, 14.961343199999646]",0.015963040003043716,14.97712524000326,['A2'],['B1'],['C1'],['yellow'],['blue'],['salmon'],200.36806549999983,None,10.0,1.8476903000000675,200.36806549999983,None,204.1851713999995,None,10.0,5.614573100000598,209.60147450000022,None,10.0,3.3320545999995375,212.71783679999953,None,8.0,5.098422399999436,<function functionImportanceAt at 0x000001E4A3FF0598>,<function functionImportanceBt at 0x000001E4A3FF0EA0>,<function functionImportanceCt at 0x000001E4921920D0>,225.16797529999985,None,-0.0,5.614573100000598,5.0,4.147829900000033,0.0,3.964427899999464,<function functiondiffBt at 0x000001E4A4DFD840>,<function functiondiffCt at 0x000001E4A4DFDD90>,<function functiondiffAt at 0x000001E4A4DFDC80>,,,,,,,,,,,,002,001,2022_Jun_13_1033,2leo,2021.2.3,59.99232098282447,
3,21,Plan your sandwich for lunch,Stimuli/21A1.jpg,Stimuli/21A2.jpg,Stimuli/21A3.jpg,Stimuli/21B1.jpg,Stimuli/21B2.jpg,Stimuli/21B3.jpg,Stimuli/21C1.jpg,Stimuli/21C2.jpg,Stimuli/21C3.jpg,,,,,0,0,0,21,,,,,,,,271.5440212000003,None,272.5331368999996,None,278.53291460000037,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,17.666487380001854,14.833552380001493,9.968551380001372,"[-0.362962962962963, -0.1648148148148148, 0.0824074074074074]","[0.08888888888888889, -0.30185185185185187, 0.3055555555555556]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.958241199999975, 14.823418899999524, 17.656686499998614]",0.009270480000850512,17.66580148000139,['A2'],['B3'],['C1'],['blue'],['salmon'],['yellow'],297.8490067999992,None,8.0,2.629231900000377,297.8490067999992,None,304.71674449999955,None,10.0,1.731544299998859,306.4322118,None,10.0,1.3150944000008167,300.58248079999976,None,10.0,4.0816057000010915,<function functionImportanceC at 0x000001E4A3EB1D90>,<function functionImportanceA at 0x000001E4A3FF0D08>,<function functionImportanceB at 0x000001E4A4DFD598>,,,-0.0,3.1642479999991338,10.0,1.731544299998859,0.0,2.830840200000239,<function functiondiffA at 0x000001E4A4DFD0D0>,<function functiondiffB at 0x000001E4A4DFD8C8>,<function functiondiffC at 0x000001E4A4DFD268>,227.53434709999965,None,227.53434709999965,None,279.70596300000034,307.69879709999987,None,310.8840001999997,None,313.71541740000066,None,002,001,2022_Jun_13_1033,2leo,2021.2.3,59.99232098282447,
3,15,Plan your own Pasta for lunch,Stimuli/15A1.jpg,Stimuli/15A2.jpg,Stimuli/15A3.jpg,Stimuli/15B1.jpg,Stimuli/15B2.jpg,Stimuli/15B3.jpg,Stimuli/15C1.jpg,Stimuli/15C2.jpg,Stimuli/15C3.jpg,,,,,0,1,1,15,,,,,,,,315.3819989000003,None,316.38196640000024,None,322.3819394000002,None,"[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]",,14.936774140000125,18.28703654000128,10.670758140000544,"[-0.20555555555555555, 0.007407407407407408, 0.06944444444444445]","[0.32314814814814813, 0.35833333333333334, -0.45555555555555555]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.663137100000313, 14.929860700000063, 18.279768799999147]",0.006501240000943653,18.286060239999642,['A1'],['B2'],['C3'],['yellow'],['blue'],['salmon'],343.0309314999995,None,10.0,1.6131815999997343,343.0309314999995,None,347.7811500000007,None,5.0,3.364932800001043,344.6978626,None,10.0,2.980653099999472,351.79753849999906,None,10.0,2.248491500000455,<function functionImportanceB at 0x000001E4A4DFD2F0>,<function functionImportanceA at 0x000001E4A4DFD400>,<function functionImportanceC at 0x000001E4A3FA5D90>,,,5.0,2.5478462999999465,0.0,3.364932800001043,0.0,2.764389400001164,<function functiondiffB at 0x000001E4A4DFD950>,<function functiondiffA at 0x000001E4A13C2E18>,<function functiondiffC at 0x000001E4A3FA59D8>,,,,,324.2818148999995,356.11425079999935,None,353.3309886999996,None,358.83097219999945,None,002,001,2022_Jun_13_1033,2leo,2021.2.3,59.99232098282447,
3,16,Plan a delicious cake for the birthday of a friend,Stimuli/16A1.jpg,Stimuli/16A2.jpg,Stimuli/16A3.jpg,Stimuli/16B1.jpg,Stimuli/16B2.jpg,Stimuli/16B3.jpg,Stimuli/16C1.jpg,Stimuli/16C2.jpg,Stimuli/16C3.jpg,,,,,0,2,2,16,,,,,,,,362.91410240000005,None,363.9140093999995,None,369.9140093999995,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",,15.34241528000166,7.059340380001231,25.759358880000946,"[0.021296296296296296, -0.1388888888888889, -0.32407407407407407]","[0.3648148148148148, 0.29444444444444445, 0.10740740740740741]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.0435133000009955, 15.326727800000299, 25.74317880000126]",0.015154480001001502,25.75815808000152,['A2'],['B1'],['C2'],['blue'],['yellow'],['salmon'],397.56294479999997,None,6.0,2.080415599999469,397.56294479999997,None,403.4462120999997,None,10.0,2.3650691999991977,406.0463435999991,None,7.0,4.165079500000502,399.81300700000065,None,-0.0,3.7146372000006522,<function functionImportanceC at 0x000001E4A3FA5048>,<function functionImportanceA at 0x000001E4A3FA5840>,<function functionImportanceB at 0x000001E4A3FA5158>,,,6.0,3.5481141000000207,0.0,2.3650691999991977,5.0,4.06422609999936,<function functiondiffC at 0x000001E4A3FA5EA0>,<function functiondiffA at 0x000001E4A13A28C8>,<function functiondiffB at 0x000001E4A3FF0D90>,,,,,371.3356578999992,413.17932219999966,None,416.7961073999995,None,409.9962018999995,None,002,001,2022_Jun_13_1033,2leo,2021.2.3,59.99232098282447,
3,18,Plan your Saturday night ,Stimuli/18A1.jpg,Stimuli/18A2.jpg,Stimuli/18A3.jpg,Stimuli/18B1.jpg,Stimuli/18B2.jpg,Stimuli/18B3.jpg,Stimuli/18C1.jpg,Stimuli/18C2.jpg,Stimuli/18C3.jpg,,,,,0,3,3,18,,,,,,,,420.329248,None,421.3290956000001,None,427.3291969999991,None,"[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]",,20.56608605999827,24.315088559998912,14.299285359998976,"[-0.16203703703703703, -0.3101851851851852, 0.2796296296296296]","[0.2898148148148148, 0.11666666666666667, -0.23796296296296296]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[14.281634799999665, 20.54894729999978, 24.297754899998836]",0.016558959998292266,24.3141853599991,['A3'],['B2'],['C3'],['salmon'],['blue'],['yellow'],453.2116310000001,None,3.0,2.997501199999533,453.2116310000001,None,456.2783612000003,None,10.0,2.8965621999996074,462.59470839999994,None,10.0,2.2322091000005457,459.2114211999997,None,4.0,3.4149658999995154,<function functionImportanceA at 0x000001E4A3FA57B8>,<function functionImportanceC at 0x000001E4A3FA5730>,<function functionImportanceB at 0x000001E4A3FA5488>,,,10.0,3.464258299998619,0.0,2.8965621999996074,10.0,2.164254400000573,<function functiondiffA at 0x000001E4A3FA5E18>,<function functiondiffB at 0x000001E4A4DFD9D8>,<function functiondiffC at 0x000001E4A4DFD048>,,,,,428.4292896999996,464.8447639999995,None,468.3110704999999,None,470.5111971000006,None,002,001,2022_Jun_13_1033,2leo,2021.2.3,59.99232098282447,
3,13,Plan a romantic date this weekend,Stimuli/13A1.jpg,Stimuli/13A2.jpg,Stimuli/13A3.jpg,Stimuli/13B1.jpg,Stimuli/13B2.jpg,Stimuli/13B3.jpg,Stimuli/13C1.jpg,Stimuli/13C2.jpg,Stimuli/13C3.jpg,,,,,0,4,4,13,,,,,,,,472.47785230000045,None,473.47767960000056,None,479.47796200000084,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]",,8.226245959998778,26.95979645999978,13.476489959999526,"[-0.36666666666666664, 0.041666666666666664, -0.16111111111111112]","[0.07777777777777778, 0.3787037037037037, -0.2638888888888889]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.211607999999615, 13.4614160000001, 26.94476140000006]",0.014090859998759697,26.958333360000324,['A2'],['B3'],['C1'],['salmon'],['yellow'],['blue'],508.09348169999976,None,7.0,2.246143700000175,508.09348169999976,None,510.42693540000073,None,10.0,3.8137728000001516,514.2934501,None,5.0,4.064963699998771,518.3268373999999,None,10.0,2.748413499999515,<function functionImportanceA at 0x000001E4A3FA58C8>,<function functionImportanceB at 0x000001E4A510A6A8>,<function functionImportanceC at 0x000001E4A510A598>,,,4.0,6.01431120000052,-0.0,3.8137728000001516,4.0,4.16438670000025,<function functiondiffB at 0x000001E4A3FA5C80>,<function functiondiffA at 0x000001E4A4DFD1E0>,<function functiondiffC at 0x000001E4A3FA5950>,,,,,480.6647849000001,525.2431890999997,None,521.0767238999997,None,531.2764637,None,002,001,2022_Jun_13_1033,2leo,2021.2.3,59.99232098282447,
3,44,Plan a party at your place,Stimuli/44A1.jpg,Stimuli/44A2.jpg,Stimuli/44A3.jpg,Stimuli/44B1.jpg,Stimuli/44B2.jpg,Stimuli/44B3.jpg,Stimuli/44C1.jpg,Stimuli/44C2.jpg,Stimuli/44C3.jpg,,,,,0,5,5,44,,,,,,,,535.0596194999998,None,536.0595529000002,None,542.0596643000008,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",,28.034728059998088,7.235613959997863,16.03519075999793,"[-0.3648148148148148, 0.03148148148148148, -0.2064814814814815]","[-0.10740740740740741, -0.3787037037037037, 0.4046296296296296]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.233217100001639, 16.032775700001366, 28.032669900001565]",0.0014654599981440697,28.033769759998904,['A3'],['B3'],['C1'],['yellow'],['blue'],['salmon'],571.6916794000008,None,5.0,2.5968588999985514,571.6916794000008,None,574.3419809000006,None,10.0,2.5308938000016497,579.3251041000003,None,10.0,1.8650637999999162,576.9085063000002,None,10.0,2.3983852000001207,<function functionImportanceA at 0x000001E4A510AD90>,<function functionImportanceC at 0x000001E4A510A730>,<function functionImportanceB at 0x000001E4A510AD08>,,,10.0,4.464518899998438,5.0,2.5308938000016497,0.0,2.0811942999989697,<function functiondiffA at 0x000001E4A3FA5D08>,<function functiondiffB at 0x000001E4A3FA5620>,<function functiondiffC at 0x000001E4A510AAE8>,,,,,543.1748031000006,581.1749275999991,None,585.6583658,None,587.7582569999995,None,002,001,2022_Jun_13_1033,2leo,2021.2.3,59.99232098282447,
3,43,Plan your dream house,Stimuli/43A1.jpg,Stimuli/43A2.jpg,Stimuli/43A3.jpg,Stimuli/43B1.jpg,Stimuli/43B2.jpg,Stimuli/43B3.jpg,Stimuli/43C1.jpg,Stimuli/43C2.jpg,Stimuli/43C3.jpg,,,,,0,6,6,43,,,,,,,,589.8081402000007,None,590.8079901000001,None,596.8079718999998,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",,13.17260964000161,4.589878240001781,20.673072840001623,"[0.04814814814814815, -0.33240740740740743, -0.21481481481481482]","[0.38425925925925924, 0.1037037037037037, -0.31666666666666665]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.585257700000511, 13.168400700000348, 20.668191300001126]",0.003807640001468826,20.671836440002153,['A1'],['B2'],['C3'],['yellow'],['salmon'],['blue'],619.0904819000007,None,7.0,2.4308383999996295,619.0904819000007,None,621.6072752,None,10.0,2.1476770999997825,623.7406888000005,None,7.0,2.615151199999673,626.3737275000003,None,10.0,1.9315450000012788,<function functionImportanceA at 0x000001E4A510A378>,<function functionImportanceB at 0x000001E4A510A400>,<function functionImportanceC at 0x000001E4A510A840>,,,0.0,3.1143871000003855,8.0,2.1476770999997825,0.0,3.0808363999985886,<function functiondiffA at 0x000001E4A510AEA0>,<function functiondiffB at 0x000001E4A510A510>,<function functiondiffC at 0x000001E4A510A9D8>,,,,,597.9371453999993,628.3071760999992,None,631.4404250000007,None,634.5403800999993,None,002,001,2022_Jun_13_1033,2leo,2021.2.3,59.99232098282447,
3,12,Plan the ingredients to mix yourself a cocktail,Stimuli/12A1.jpg,Stimuli/12A2.jpg,Stimuli/12A3.jpg,Stimuli/12B1.jpg,Stimuli/12B2.jpg,Stimuli/12B3.jpg,Stimuli/12C1.jpg,Stimuli/12C2.jpg,Stimuli/12C3.jpg,,,,,0,7,7,12,,,,,,,,637.5569307000005,None,638.5567517,None,644.5566667000003,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,28.133696339999005,10.934461540000484,19.901003839999248,"[-0.36666666666666664, -0.21203703703703702, -0.3055555555555556]","[-0.07962962962962963, -0.2833333333333333, 0.09074074074074075]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.924277000000075, 19.890452400000868, 28.12379300000066]",0.00939354000001913,28.132961039998918,['A2'],['B2'],['C3'],['yellow'],['salmon'],['blue'],674.2890900999992,None,0.0,2.313963099999455,674.2890900999992,None,676.6892750999996,None,5.0,4.097340099999201,680.7891053000003,None,7.0,3.2652078999999503,684.0555831999991,None,10.0,1.765234500000588,<function functionImportanceA at 0x000001E4A510A268>,<function functionImportanceB at 0x000001E4A510A950>,<function functionImportanceC at 0x000001E4A3FA5F28>,,,10.0,1.6317314999996597,7.0,4.097340099999201,3.0,4.781777799998963,<function functiondiffB at 0x000001E4A510A048>,<function functiondiffC at 0x000001E4A12FDE18>,<function functiondiffA at 0x000001E4A4DFDD08>,,,,,645.6807423999999,693.4721325999999,None,685.8222227000006,None,690.6221557999997,None,002,001,2022_Jun_13_1033,2leo,2021.2.3,59.99232098282447,
