Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffB_response,slider_diffB_rt,slider_diffC_response,slider_diffC_rt,slider_diffA_response,slider_diffA_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffA_started,question_diffA_stopped,question_diffB_started,question_diffB_stopped,question_diffC_started,question_diffC_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,19.62807690000045,None,1,[5.49841749999905],[5.498421500000404],19.62807690000045,None,69.05731260000175,None,70.06157460000031,None,76.0616508000021,None,"[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]",80.08821790000002,18.96638819999862,23.700148599997192,26.383742999998503,"[-0.3194444444444444, 0.08425925925925926, -0.1814814814814815]","[-0.0787037037037037, -0.31296296296296294, 0.27685185185185185]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[18.953587100000732, 23.687022300000535, 26.370473900002253]",0.012357299998257076,26.38238199999614,['A1'],['B2'],['C1'],['salmon'],['yellow'],['blue'],106.92729139999938,None,8.0,6.8133318000000145,106.92729139999938,None,115.09364199999982,None,9.0,14.180860300002678,128.02658320000046,None,3.0,8.03173919999972,137.59897640000054,None,7.0,12.998003799999424,<function functionImportanceAt at 0x0000015B41C91950>,<function functionImportanceCt at 0x0000015B326A1E18>,<function functionImportanceBt at 0x0000015B41C91A60>,161.10895589999927,None,7.0,6.547203499998432,2.0,5.047563899999659,3.0,14.180860300002678,<function functiondiffBt at 0x0000015B42A4DEA0>,<function functiondiffCt at 0x0000015B42A4DD90>,<function functiondiffAt at 0x0000015B42A4DF28>,,,,,,,,,,,,20,001,2022_Jul_19_1456,2leo,2021.2.3,59.99304080709298,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,168.70880340000076,None,169.70887380000204,None,175.70861739999964,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",181.8115285999993,30.326585749990045,28.476642649988207,29.46045814998797,"[0.020370370370370372, 0.2351851851851852, -0.14814814814814814]","[0.3861111111111111, 0.3175925925925926, 0.32314814814814813]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[28.461518899999646, 29.44512720000057, 30.31166630000007]",0.01440744999126764,30.32584304998818,['A2'],['B1'],['C1'],['salmon'],['yellow'],['blue'],212.59064900000158,None,7.0,4.830562399998598,212.59064900000158,None,219.3765439000017,None,8.0,8.964240900000732,227.89053240000067,None,5.0,4.431813499999407,232.6069662000009,None,8.0,7.848063600002206,<function functionImportanceAt at 0x0000015B37305E18>,<function functionImportanceCt at 0x0000015B3EFE0F28>,<function functionImportanceBt at 0x0000015B3F8BB9D8>,254.40612479999982,None,3.0,5.564935999998852,3.0,10.830935999998474,2.0,8.964240900000732,<function functiondiffCt at 0x0000015B42A4DA60>,<function functiondiffAt at 0x0000015B42A4D598>,<function functiondiffBt at 0x0000015B42A4D158>,,,,,,,,,,,,20,001,2022_Jul_19_1456,2leo,2021.2.3,59.99304080709298,
3,31,Plan your order at a restaurant    ,Stimuli/31A1.jpg,Stimuli/31A2.jpg,Stimuli/31A3.jpg,Stimuli/31B1.jpg,Stimuli/31B2.jpg,Stimuli/31B3.jpg,Stimuli/31C1.jpg,Stimuli/31C2.jpg,Stimuli/31C3.jpg,,,,,0,0,0,31,,,,,,,,327.3707772000016,None,328.35432199999923,None,334.35427080000227,None,"[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,25.187982600000396,22.721784400000615,26.871971000000485,"[-0.16203703703703703, -0.3194444444444444, -0.34629629629629627]","[0.3111111111111111, 0.1574074074074074, -0.0787037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[22.720858299999236, 25.187386900001002, 26.870867099998577]",9.359999967273325e-05,26.87066760000016,['A2'],['B2'],['C2'],['yellow'],['blue'],['salmon'],364.3696979000015,None,8.0,2.8796818000009807,364.3696979000015,None,379.85299769999983,None,9.0,4.432540900001186,374.6028584000014,None,5.0,3.833270300001459,367.3531910999991,None,9.0,7.196977700001298,<function functionImportanceB at 0x0000015B41C91D08>,<function functionImportanceC at 0x0000015B03B49B70>,<function functionImportanceA at 0x0000015B42A4DBF8>,,,8.0,6.180931499999133,7.0,4.432540900001186,2.0,5.013803099998768,<function functiondiffA at 0x0000015B42A4D6A8>,<function functiondiffB at 0x0000015B41C916A8>,<function functiondiffC at 0x0000015B41C91E18>,259.0895969000012,None,259.0895969000012,None,337.0328150999994,383.1712116000017,None,387.8360243999996,None,394.0356854999991,None,20,001,2022_Jul_19_1456,2leo,2021.2.3,59.99304080709298,
3,25,Plan how you want to read a book in your free time ,Stimuli/25A1.jpg,Stimuli/25A2.jpg,Stimuli/25A3.jpg,Stimuli/25B1.jpg,Stimuli/25B2.jpg,Stimuli/25B3.jpg,Stimuli/25C1.jpg,Stimuli/25C2.jpg,Stimuli/25C3.jpg,,,,,0,1,1,25,,,,,,,,399.9356212999992,None,400.93561039999986,None,406.935646599999,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,23.409909750000224,26.376900449999084,18.960759050001798,"[0.046296296296296294, -0.1824074074074074, -0.32685185185185184]","[0.3490740740740741, -0.27870370370370373, 0.07222222222222222]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[18.94688540000061, 23.396722299999965, 26.363353600001574]",0.012676250000367872,26.375933350002015,['A1'],['B2'],['C3'],['salmon'],['blue'],['yellow'],435.2842621000018,None,7.0,5.713904200001707,435.2842621000018,None,441.10128579999946,None,9.0,4.481094299997494,450.0848948999992,None,7.0,3.7316124999997555,445.60104520000095,None,3.0,4.198374300001888,<function functionImportanceA at 0x0000015B42A4D9D8>,<function functionImportanceB at 0x0000015B03B496A8>,<function functionImportanceC at 0x0000015B03B49950>,,,6.0,3.1474754000009852,2.0,4.481094299997494,1.0,4.031488399999944,<function functiondiffC at 0x0000015B03B49840>,<function functiondiffA at 0x0000015B03B497B8>,<function functiondiffB at 0x0000015B03B49BF8>,,,,,408.4494799000022,457.15065790000153,None,461.21738800000094,None,453.5840777000012,None,20,001,2022_Jul_19_1456,2leo,2021.2.3,59.99304080709298,
3,0,Plan a barbecue,Stimuli/0A1.jpg,Stimuli/0A2.jpg,Stimuli/0A3.jpg,Stimuli/0B1.jpg,Stimuli/0B2.jpg,Stimuli/0B3.jpg,Stimuli/0C1.jpg,Stimuli/0C2.jpg,Stimuli/0C3.jpg,,,,,0,2,2,0,,,,,,,,463.8836295000001,None,464.8837117000003,None,470.8837096999996,None,"[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]",,20.36753119999412,19.318076899995503,21.45171699999628,"[0.3333333333333333, -0.14722222222222223, 0.019444444444444445]","[0.23055555555555557, 0.2898148148148148, 0.3277777777777778]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[19.302108700001554, 20.351994399999967, 21.435487499999]",0.015133299995795824,21.45038669999485,['A1'],['B3'],['C3'],['salmon'],['blue'],['yellow'],495.2828625000002,None,8.0,3.413833300000988,495.2828625000002,None,503.9994547999995,None,3.0,5.0814900000004855,498.76625830000194,None,8.0,3.864203600001929,507.7490504000016,None,5.0,7.664748600000166,<function functionImportanceC at 0x0000015B42A4D378>,<function functionImportanceA at 0x0000015B42A4D730>,<function functionImportanceB at 0x0000015B42A4D1E0>,,,4.0,5.347662299998774,1.0,5.0814900000004855,5.0,4.681241800000862,<function functiondiffB at 0x0000015B03B498C8>,<function functiondiffA at 0x0000015B42A4D620>,<function functiondiffC at 0x0000015B03B49A60>,,,,,473.3780246000024,521.1656569000006,None,515.3828295999992,None,525.465489000002,None,20,001,2022_Jul_19_1456,2leo,2021.2.3,59.99304080709298,
3,39,Plan what kind of watch you want to buy,Stimuli/39A1.jpg,Stimuli/39A2.jpg,Stimuli/39A3.jpg,Stimuli/39B1.jpg,Stimuli/39B2.jpg,Stimuli/39B3.jpg,Stimuli/39C1.jpg,Stimuli/39C2.jpg,Stimuli/39C3.jpg,,,,,0,3,3,39,,,,,,,,527.1986397000001,None,528.1986610999993,None,534.1986925000019,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]",,10.872001400002773,19.387174600004073,26.07047020000391,"[0.24444444444444444, 0.10925925925925926, 0.3592592592592593]","[0.19814814814814816, 0.3537037037037037, 0.05925925925925926]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.860764500001096, 19.376448800001526, 26.059527500001423]",0.009923800003889482,26.069313700001658,['A2'],['B2'],['C2'],['blue'],['yellow'],['salmon'],561.9310272000002,None,8.0,3.0975691999992705,561.9310272000002,None,572.4142095000025,None,7.0,2.5816627999993216,565.1309146000021,None,2.0,4.331779000000097,569.4309613000005,None,9.0,2.914911399999255,<function functionImportanceC at 0x0000015B03B49730>,<function functionImportanceB at 0x0000015B2F5431E0>,<function functionImportanceA at 0x0000015B42A4D488>,,,2.0,5.031126600002608,5.0,2.5816627999993216,2.0,4.3977766999996675,<function functiondiffB at 0x0000015B03B49AE8>,<function functiondiffA at 0x0000015B03B49158>,<function functiondiffC at 0x0000015B03B49048>,,,,,535.3859491000003,579.9971523000022,None,574.9474551000021,None,584.4138739000009,None,20,001,2022_Jul_19_1456,2leo,2021.2.3,59.99304080709298,
3,1,Plan how to study for an exam,Stimuli/1A1.jpg,Stimuli/1A2.jpg,Stimuli/1A3.jpg,Stimuli/1B1.jpg,Stimuli/1B2.jpg,Stimuli/1B3.jpg,Stimuli/1C1.jpg,Stimuli/1C2.jpg,Stimuli/1C3.jpg,,,,,0,4,4,1,,,,,,,,586.0971912999994,None,587.0969117000022,None,593.0971625999991,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",,23.4547155500004,17.822343849999015,8.922615849998692,"[-0.16296296296296298, 0.040740740740740744, -0.35648148148148145]","[0.2712962962962963, -0.3287037037037037, -0.1638888888888889]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.919211699998414, 17.8190145999979, 23.451826799999253]",0.0024727499985601753,23.45403294999778,['A1'],['B3'],['C1'],['salmon'],['yellow'],['blue'],618.1459689000003,None,7.0,2.7638710999999603,618.1459689000003,None,620.979421,None,7.0,11.664040799998475,632.6291332000001,None,5.0,2.8650259000023652,635.5456306000015,None,7.0,4.381670700000541,<function functionImportanceA at 0x0000015B42A4D0D0>,<function functionImportanceC at 0x0000015B03B49400>,<function functionImportanceB at 0x0000015B03B49C80>,,,3.0,3.481250999997428,4.0,11.664040799998475,6.0,2.798105100002431,<function functiondiffC at 0x0000015B03B49488>,<function functiondiffB at 0x0000015B03B49F28>,<function functiondiffA at 0x0000015B03B49D08>,,,,,594.2085407000013,650.3787510000002,None,646.8620623000024,None,639.8955223000012,None,20,001,2022_Jul_19_1456,2leo,2021.2.3,59.99304080709298,
3,34,Plan what car you want to buy,Stimuli/34A1.jpg,Stimuli/34A2.jpg,Stimuli/34A3.jpg,Stimuli/34B1.jpg,Stimuli/34B2.jpg,Stimuli/34B3.jpg,Stimuli/34C1.jpg,Stimuli/34C2.jpg,Stimuli/34C3.jpg,,,,,0,5,5,34,,,,,,,,652.6950381999995,None,653.6952270000002,None,659.6951633999997,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,15.570651549995091,23.52056664999691,21.204515449997416,"[-0.1648148148148148, -0.3388888888888889, -0.006481481481481481]","[-0.37037037037037035, -0.19074074074074074, -0.3055555555555556]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[15.562968000002002, 21.196158599999762, 23.51263100000142]",0.00724804999481421,23.51961404999747,['A1'],['B1'],['C2'],['salmon'],['yellow'],['blue'],686.7940020000024,None,6.0,3.7468430000008084,686.7940020000024,None,697.4778767999996,None,9.0,3.8986343999968085,690.6109501999999,None,3.0,5.847629699997924,701.3439313000017,None,5.0,3.5485845999974117,<function functionImportanceC at 0x0000015B0034D6A8>,<function functionImportanceA at 0x0000015B03B49378>,<function functionImportanceB at 0x0000015B0034D268>,,,2.0,3.464371400001255,6.0,3.8986343999968085,3.0,7.031226199997036,<function functiondiffC at 0x0000015B0034D598>,<function functiondiffA at 0x0000015B03B49510>,<function functiondiffB at 0x0000015B03B49D90>,,,,,662.8131371000018,711.2099855000015,None,718.1765059999998,None,703.927203700001,None,20,001,2022_Jul_19_1456,2leo,2021.2.3,59.99304080709298,
3,42,Plan how to draw a painting ,Stimuli/42A1.jpg,Stimuli/42A2.jpg,Stimuli/42A3.jpg,Stimuli/42B1.jpg,Stimuli/42B2.jpg,Stimuli/42B3.jpg,Stimuli/42C1.jpg,Stimuli/42C2.jpg,Stimuli/42C3.jpg,,,,,0,6,6,42,,,,,,,,720.909806300002,None,721.9100074000016,None,727.9099416999998,None,"[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]",,19.559676149998268,22.49294435000047,21.293257249999442,"[0.2777777777777778, 0.3296296296296296, 0.32222222222222224]","[0.23703703703703705, 0.046296296296296294, -0.2175925925925926]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[19.554589600000327, 21.287714699999924, 22.48779459999787]",0.004450349999387981,22.49219274999996,['A3'],['B1'],['C3'],['blue'],['yellow'],['salmon'],752.1923281999989,None,9.0,3.2806337000001804,752.1923281999989,None,755.7257766000002,None,8.0,6.51470640000116,764.9754795000008,None,5.0,4.6317655999991985,762.0922391000022,None,8.0,2.881683300001896,<function functionImportanceA at 0x0000015B0034D9D8>,<function functionImportanceB at 0x0000015B0034DAE8>,<function functionImportanceC at 0x0000015B0034D378>,,,3.0,2.831175600000279,6.0,6.51470640000116,2.0,4.280998700000055,<function functiondiffA at 0x0000015B0034DB70>,<function functiondiffB at 0x0000015B0034DBF8>,<function functiondiffC at 0x0000015B0034DC80>,,,,,729.2195042000021,769.6254248000005,None,773.8751673000006,None,776.741779,None,20,001,2022_Jul_19_1456,2leo,2021.2.3,59.99304080709298,
3,26,Plan how to wash one round of your laundry ,Stimuli/26A1.jpg,Stimuli/26A2.jpg,Stimuli/26A3.jpg,Stimuli/26B1.jpg,Stimuli/26B2.jpg,Stimuli/26B3.jpg,Stimuli/26C1.jpg,Stimuli/26C2.jpg,Stimuli/26C3.jpg,,,,,0,7,7,26,,,,,,,,781.2581675000001,None,782.2581968000013,None,788.2581634000016,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",,34.618450450001546,30.06874814999901,24.36878594999871,"[-0.36574074074074076, -0.32685185185185184, 0.36574074074074076]","[-0.16944444444444445, 0.11481481481481481, 0.04351851851851852]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[24.358488300000317, 30.058671499999036, 34.608724300000176]",0.009210749998601386,34.61756945000161,['A2'],['B3'],['C3'],['blue'],['yellow'],['salmon'],824.4903212999998,None,6.0,3.1468196000023454,824.4903212999998,None,836.6067738999991,None,7.0,7.131612699999096,832.9904016,None,7.0,3.598366599999281,827.707147699999,None,7.0,5.2810357000016666,<function functionImportanceB at 0x0000015B03B49EA0>,<function functionImportanceC at 0x0000015B0034DA60>,<function functionImportanceA at 0x0000015B03B49620>,,,1.0,3.414959400000953,1.0,7.131612699999096,4.0,4.197864500001742,<function functiondiffA at 0x0000015B0034D158>,<function functiondiffC at 0x0000015B0034DE18>,<function functiondiffB at 0x0000015B0034DF28>,,,,,789.3971724000003,843.7398066000023,None,851.5898536999994,None,847.9564881000006,None,20,001,2022_Jul_19_1456,2leo,2021.2.3,59.99304080709298,
