Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffC_response,slider_diffC_rt,slider_diffA_response,slider_diffA_rt,slider_diffB_response,slider_diffB_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffA_started,question_diffA_stopped,question_diffB_started,question_diffB_stopped,question_diffC_started,question_diffC_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,21.08608080000002,None,1,[6.77256060000002],[6.7725642000000335],21.08608080000002,None,89.9508787,None,90.9498922,None,96.9497608,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",101.01787390000001,55.3745266399996,59.42309363999959,3.5748950399996033,"[-0.32314814814814813, 0.09444444444444444, -0.15, -0.28703703703703703]","[-0.05648148148148148, 0.3768518518518518, -0.3138888888888889, 0.0824074074074074]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[3.5625800000000254, 21.71202770000002, 55.362583400000005, 59.41099650000001]",0.01135563999957867,59.42230583999958,['A3'],['B1'],['C1'],['blue'],['salmon'],['yellow'],160.8977862,None,7.0,5.880363399999965,160.8977862,None,168.1311623,None,6.0,14.547231399999987,182.9697259,None,4.0,6.514917799999978,187.96395550000003,None,8.0,3.0152019000000223,<function functionImportanceAt at 0x00000163C2291E18>,<function functionImportanceBt at 0x00000163D1851268>,<function functionImportanceCt at 0x00000163D1851D08>,208.41342770000003,None,2.0,8.19726270000001,7.0,14.547231399999987,0.0,5.047747999999956,<function functiondiffCt at 0x00000163D257F950>,<function functiondiffAt at 0x00000163D257FBF8>,<function functiondiffBt at 0x00000163D257F400>,,,,,,,,,,,,23,001,2022_Jul_20_0902,2leo,2021.2.3,60.00153603932009,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,212.52995740000003,None,213.5300399,None,219.52999380000003,None,"[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",225.6531805,16.92332477999929,10.523365779999324,13.607414779999317,"[-0.14907407407407408, 0.03518518518518519, 0.25]","[0.31203703703703706, -0.37037037037037035, -0.25]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.509510799999987, 13.593267700000013, 16.909687899999994]",0.013139879999300774,16.92248907999931,['A2'],['B1'],['C2'],['salmon'],['blue'],['yellow'],243.02907380000002,None,6.0,3.5651758999999856,243.02907380000002,None,256.26202350000005,None,8.0,11.26479610000007,248.36234720000002,None,8.0,7.646349799999996,267.04529649999995,None,9.0,11.598080299999992,<function functionImportanceBt at 0x00000163CF9E0EA0>,<function functionImportanceAt at 0x00000163BF1131E0>,<function functionImportanceCt at 0x00000163CEB71F28>,287.21147010000004,None,10.0,4.614426699999967,3.0,11.26479610000007,1.0,5.364868300000012,<function functiondiffAt at 0x00000163D257F730>,<function functiondiffBt at 0x00000163D257FC80>,<function functiondiffCt at 0x00000163D257F8C8>,,,,,,,,,,,,23,001,2022_Jul_20_0902,2leo,2021.2.3,60.00153603932009,
3,22,Plan a beach day with your friends,Stimuli/22A1.jpg,Stimuli/22A2.jpg,Stimuli/22A3.jpg,Stimuli/22B1.jpg,Stimuli/22B2.jpg,Stimuli/22B3.jpg,Stimuli/22C1.jpg,Stimuli/22C2.jpg,Stimuli/22C3.jpg,,,,,0,0,0,22,,,,,,,,370.26296819999993,None,371.2425575,None,377.2426078,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,15.131957609999972,17.432061110000063,9.282637109999996,"[-0.32685185185185184, -0.2, 0.262037037037037]","[0.11851851851851852, 0.37592592592592594, -0.2638888888888889]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.272756700000059, 15.122595900000078, 17.42253340000002]",0.008866109999985383,17.431152010000005,['A2'],['B1'],['C2'],['blue'],['salmon'],['yellow'],396.3583334,None,4.0,3.5796174000000747,396.3583334,None,405.62489089999997,None,5.0,4.948061199999984,410.5748112,None,7.0,3.5481194000000187,400.05961949999994,None,7.0,5.54732469999999,<function functionImportanceC at 0x0000016384D0CBF8>,<function functionImportanceA at 0x00000163D257FF28>,<function functionImportanceB at 0x00000163D1851AE8>,,,9.0,4.948061199999984,5.0,5.013854999999921,10.0,4.648035900000082,<function functiondiffA at 0x00000163D257FA60>,<function functiondiffB at 0x00000163D1851D90>,<function functiondiffC at 0x00000163D18516A8>,290.91129509999996,None,290.91129509999996,None,378.45249739999997,414.0746202,None,419.1087715,None,423.77432580000004,None,23,001,2022_Jul_20_0902,2leo,2021.2.3,60.00153603932009,
3,0,Plan a barbecue,Stimuli/0A1.jpg,Stimuli/0A2.jpg,Stimuli/0A3.jpg,Stimuli/0B1.jpg,Stimuli/0B2.jpg,Stimuli/0B3.jpg,Stimuli/0C1.jpg,Stimuli/0C2.jpg,Stimuli/0C3.jpg,,,,,0,1,1,0,,,,,,,,428.25774490000003,None,429.2577231,None,435.2577053,None,"[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",,10.884688829999845,16.767808729999842,22.801445629999762,"[-0.14629629629629629, 0.25277777777777777, 0.25277777777777777]","[0.32407407407407407, -0.2759259259259259, 0.2675925925925926]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.875897999999893, 16.758617699999945, 22.791933099999937]",0.008376929999826643,22.800272829999813,['A1'],['B2'],['C3'],['blue'],['salmon'],['yellow'],461.02327779999996,None,7.0,2.4801525999999967,461.02327779999996,None,471.89061289999995,None,10.0,3.414448900000025,473.9731398,None,9.0,5.548525799999993,463.55679769999995,None,7.0,6.94749580000007,<function functionImportanceC at 0x0000016384D0CA60>,<function functionImportanceA at 0x0000016384D0C048>,<function functionImportanceB at 0x0000016384D0CF28>,,,3.0,3.414448900000025,10.0,3.2312539999999217,1.0,3.3142642999999907,<function functiondiffB at 0x0000016384D0CE18>,<function functiondiffA at 0x00000163D1851EA0>,<function functiondiffC at 0x00000163D257F510>,,,,,437.76161709999997,483.2562732,None,479.48979439999994,None,486.08958799999994,None,23,001,2022_Jul_20_0902,2leo,2021.2.3,60.00153603932009,
3,12,Plan the ingredients to mix yourself a cocktail,Stimuli/12A1.jpg,Stimuli/12A2.jpg,Stimuli/12A3.jpg,Stimuli/12B1.jpg,Stimuli/12B2.jpg,Stimuli/12B3.jpg,Stimuli/12C1.jpg,Stimuli/12C2.jpg,Stimuli/12C3.jpg,,,,,0,2,2,12,,,,,,,,489.95911809999996,None,490.8225893,None,496.82260669999994,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",,16.31893876999993,14.852627869999992,13.05306196999993,"[0.23796296296296296, 0.3490740740740741, -0.325]","[-0.22685185185185186, -0.023148148148148147, 0.06111111111111111]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[13.049878299999932, 14.849780299999907, 16.316440599999964]",0.0020883699999103555,16.31829806999997,['A1'],['B2'],['C3'],['yellow'],['salmon'],['blue'],514.8052407,None,8.0,5.196811199999956,514.8052407,None,520.1217321,None,7.0,9.664201700000035,535.9547997999999,None,9.0,3.3818869000000404,529.7383676,None,8.0,6.198270900000011,<function functionImportanceA at 0x0000016384D0C488>,<function functionImportanceC at 0x00000163D257F6A8>,<function functionImportanceB at 0x0000016384D0C9D8>,,,1.0,9.664201700000035,2.0,4.181097099999988,7.0,3.3811994999999797,<function functiondiffA at 0x0000016384D0CEA0>,<function functiondiffC at 0x00000163D257F488>,<function functiondiffB at 0x0000016384D0CB70>,,,,,498.00318219999997,539.3379792,None,548.0210686,None,543.5382645999999,None,23,001,2022_Jul_20_0902,2leo,2021.2.3,60.00153603932009,
3,33,Plan the items to decorate your Christmas tree,Stimuli/33A1.jpg,Stimuli/33A2.jpg,Stimuli/33A3.jpg,Stimuli/33B1.jpg,Stimuli/33B2.jpg,Stimuli/33B3.jpg,Stimuli/33C1.jpg,Stimuli/33C2.jpg,Stimuli/33C3.jpg,,,,,0,3,3,33,,,,,,,,550.9210083,None,551.9209367,None,557.9210095,None,"[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,19.466993809999963,26.800431109999863,11.400845209999943,"[-0.36574074074074076, 0.2972222222222222, 0.33425925925925926]","[-0.1259259259259259, 0.287962962962963, -0.010185185185185186]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[11.387606899999923, 19.454180599999972, 26.78737269999999]",0.01221700999985842,26.799209609999934,['A3'],['B3'],['C2'],['salmon'],['blue'],['yellow'],586.9033466999999,None,10.0,2.713742899999943,586.9033466999999,None,595.720061,None,10.0,3.6152558,589.6700556,None,8.0,2.8641620999999304,592.5867736,None,10.0,2.615125300000045,<function functionImportanceB at 0x00000163D257F620>,<function functionImportanceC at 0x0000016384D0CD08>,<function functionImportanceA at 0x00000163D257F0D0>,,,6.0,3.6152558,9.0,4.213012000000049,9.0,3.3477854000000207,<function functiondiffA at 0x0000016384D0C8C8>,<function functiondiffC at 0x00000163821D7400>,<function functiondiffB at 0x0000016384D0C1E0>,,,,,559.6470502,598.9366219,None,605.8197355,None,603.0366728,None,23,001,2022_Jul_20_0902,2leo,2021.2.3,60.00153603932009,
3,11,Plan a hike in nature on a free day,Stimuli/11A1.jpg,Stimuli/11A2.jpg,Stimuli/11A3.jpg,Stimuli/11B1.jpg,Stimuli/11B2.jpg,Stimuli/11B3.jpg,Stimuli/11C1.jpg,Stimuli/11C2.jpg,Stimuli/11C3.jpg,,,,,0,4,4,11,,,,,,,,608.6863559,None,609.6862940999999,None,615.6864077,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]",,10.346265169999924,11.680043969999929,15.996942469999908,"[-0.40555555555555556, -0.275, 0.2962962962962963]","[0.09722222222222222, -0.3388888888888889, -0.26296296296296295]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.338291899999945, 11.671719399999915, 15.98838969999997]",0.007539369999904011,15.995659069999988,['A1'],['B2'],['C2'],['yellow'],['salmon'],['blue'],633.3355066,None,9.0,2.3133467999999766,633.3355066,None,635.7189471,None,10.0,2.681203000000096,640.6856223,None,10.0,3.065340600000013,638.4188452,None,7.0,2.2485324000000446,<function functionImportanceA at 0x00000163D257F9D8>,<function functionImportanceC at 0x00000163821D7268>,<function functionImportanceB at 0x00000163821D7B70>,,,7.0,2.681203000000096,10.0,2.1145166000000017,7.0,3.0808861000000434,<function functiondiffB at 0x0000016384D0C730>,<function functiondiffC at 0x00000163821D77B8>,<function functiondiffA at 0x0000016384D0CC80>,,,,,616.8632809,649.4017286,None,643.7353181999999,None,646.8353308,None,23,001,2022_Jul_20_0902,2leo,2021.2.3,60.00153603932009,
3,13,Plan a romantic date this weekend,Stimuli/13A1.jpg,Stimuli/13A2.jpg,Stimuli/13A3.jpg,Stimuli/13B1.jpg,Stimuli/13B2.jpg,Stimuli/13B3.jpg,Stimuli/13C1.jpg,Stimuli/13C2.jpg,Stimuli/13C3.jpg,,,,,0,5,5,13,,,,,,,,651.0352495,None,652.0351796,None,658.0353006,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,20.629546479999817,24.163410979999867,15.063896479999926,"[0.362962962962963, -0.287962962962963, -0.3055555555555556, -0.19722222222222222]","[0.275, -0.10277777777777777, -0.10648148148148148, -0.3490740740740741]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[15.054907300000082, 17.68806820000009, 20.621162400000003, 24.154857400000083]",0.007885679999844797,24.16240857999992,['A2'],['B1'],['C3'],['blue'],['yellow'],['salmon'],683.9010069999999,None,6.0,2.9800257999999076,683.9010069999999,None,698.4671721999999,None,10.0,2.915185500000007,693.2507875,None,8.0,5.248474999999985,686.9507495,None,10.0,6.230869299999995,<function functionImportanceC at 0x00000163821D7D90>,<function functionImportanceB at 0x00000163821D78C8>,<function functionImportanceA at 0x00000163821D7EA0>,,,8.0,2.915185500000007,10.0,2.6979345999999396,5.0,2.6478478000000223,<function functiondiffA at 0x00000163821D76A8>,<function functiondiffC at 0x00000163821D7840>,<function functiondiffB at 0x00000163821D7488>,,,,,659.2611378,701.3672603,None,706.4671399,None,704.0838628,None,23,001,2022_Jul_20_0902,2leo,2021.2.3,60.00153603932009,
3,40,Plan to see a sports event ,Stimuli/40A1.jpg,Stimuli/40A2.jpg,Stimuli/40A3.jpg,Stimuli/40B1.jpg,Stimuli/40B2.jpg,Stimuli/40B3.jpg,Stimuli/40C1.jpg,Stimuli/40C2.jpg,Stimuli/40C3.jpg,,,,,0,6,6,40,,,,,,,,708.6168299999999,None,709.6170154,None,715.616892,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]",,15.157554639999944,7.641113840000003,19.624491839999905,"[-0.16666666666666666, 0.3351851851851852, 0.31296296296296294]","[-0.35185185185185186, 0.2657407407407407, -0.19166666666666668]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.626331099999902, 15.142989599999964, 19.609521599999994]",0.013962839999976495,19.623278439999922,['A3'],['B2'],['C2'],['yellow'],['blue'],['salmon'],737.0662761,None,7.0,4.347290200000089,737.0662761,None,745.1827951,None,7.0,2.682021500000019,747.9994078999999,None,10.0,3.4321578000000272,741.4831202,None,5.0,3.664379100000019,<function functionImportanceC at 0x00000163821D7950>,<function functionImportanceA at 0x00000163821D7BF8>,<function functionImportanceB at 0x00000163821D7D08>,,,5.0,2.682021500000019,0.0,3.031192899999951,0.0,2.547893400000021,<function functiondiffA at 0x00000163D257FAE8>,<function functiondiffC at 0x0000016384D0CD90>,<function functiondiffB at 0x00000163821D7E18>,,,,,716.9734023,751.2826384,None,756.8831797,None,754.3325217,None,23,001,2022_Jul_20_0902,2leo,2021.2.3,60.00153603932009,
3,7,Plan your Sunday breakfast ,Stimuli/7A1.jpg,Stimuli/7A2.jpg,Stimuli/7A3.jpg,Stimuli/7B1.jpg,Stimuli/7B2.jpg,Stimuli/7B3.jpg,Stimuli/7C1.jpg,Stimuli/7C2.jpg,Stimuli/7C3.jpg,,,,,0,7,7,7,,,,,,,,758.9155504,None,759.9157094999999,None,765.9158224,None,"[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",,5.576965399999153,19.642750899999328,12.843208699999195,"[-0.19166666666666668, 0.01574074074074074, 0.13333333333333333]","[-0.2814814814814815, -0.3416666666666667, 0.38333333333333336]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.570502300000044, 12.83624020000002, 19.63590219999992]",0.005952299999307797,19.641637199999195,['A2'],['B3'],['C2'],['blue'],['salmon'],['yellow'],792.0815458,None,9.0,3.4804529000000457,792.0815458,None,805.0145903,None,9.0,4.348577900000009,797.5146540999999,None,8.0,7.581218000000035,808.8141527,None,5.0,3.298038199999837,<function functionImportanceB at 0x00000163821D7C80>,<function functionImportanceA at 0x00000163821D7158>,<function functionImportanceC at 0x00000163821D7048>,,,5.0,4.348577900000009,0.0,3.181056900000158,4.0,6.6475167000000965,<function functiondiffB at 0x00000163821D7620>,<function functiondiffC at 0x00000163821D7A60>,<function functiondiffA at 0x00000163D257FEA0>,,,,,771.9805789,820.9473355,None,811.5977659,None,817.9142549000001,None,23,001,2022_Jul_20_0902,2leo,2021.2.3,60.00153603932009,
