Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffC_response,slider_diffC_rt,slider_diffB_response,slider_diffB_rt,slider_diffA_response,slider_diffA_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffC_started,question_diffC_stopped,question_diffB_started,question_diffB_stopped,question_diffA_started,question_diffA_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,19.877827799999977,None,1,[3.706804000000375],[3.706821800000398],19.877827799999977,None,79.75578450000012,None,80.76536159999978,None,86.76547780000055,None,"[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]",90.76163170000018,7.255049379996308,9.371816979996765,3.9053879799967035,"[-0.19074074074074074, 0.04722222222222222, 0.325]","[0.2851851851851852, 0.38981481481481484, 0.26851851851851855]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.9008305999996082, 7.25082189999921, 9.367328799999996]",0.0036274799967941362,9.370781979996536,['A3'],['B3'],['C1'],['blue'],['salmon'],['yellow'],100.59807060000003,None,7.0,6.629829399999835,100.59807060000003,None,108.58257560000038,None,6.0,8.98058089999995,117.84794599999987,None,9.0,7.065091599999505,123.39776929999971,None,7.0,3.2816757999999027,<function functionImportanceAt at 0x000001E5CB7C1D90>,<function functionImportanceBt at 0x000001E5CB7C1B70>,<function functionImportanceCt at 0x000001E5BC1B1E18>,135.6142232000002,None,2.0,4.680832099999861,10.0,3.7977266999996573,6.0,8.98058089999995,<function functiondiffCt at 0x000001E5CC4F1EA0>,<function functiondiffBt at 0x000001E5CC4F1F28>,<function functiondiffAt at 0x000001E5CC4F11E0>,,,,,,,,,,,,24,001,2022_Jul_20_1012,2leo,2021.2.3,59.97677699196371,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,137.9139094000002,None,138.91410309999992,None,144.9139092000005,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]",150.9852888000005,16.604536559993903,5.155205759993805,9.971934659994076,"[-0.36203703703703705, -0.25092592592592594, 0.10277777777777777]","[-0.1, 0.33611111111111114, -0.4027777777777778]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.144852700000229, 9.961352400000578, 16.594353800000135]",0.009647859994402097,16.603949759994066,['A2'],['B1'],['C1'],['yellow'],['salmon'],['blue'],168.04647720000048,None,7.0,3.4477937999999995,168.04647720000048,None,173.4631774999998,None,8.0,7.9310633999994025,181.21293140000034,None,8.0,8.114838899999995,189.09824180000032,None,6.0,4.8816962000000785,<function functionImportanceAt at 0x000001E5B90531E0>,<function functionImportanceBt at 0x000001E5CB7C1268>,<function functionImportanceCt at 0x000001E5CB7C1E18>,201.56257379999988,None,7.0,3.5145565000002534,3.0,2.781423200000063,1.0,7.9310633999994025,<function functiondiffAt at 0x000001E5CC4F1C80>,<function functiondiffBt at 0x000001E5CC4F1488>,<function functiondiffCt at 0x000001E5CC4F1158>,,,,,,,,,,,,24,001,2022_Jul_20_1012,2leo,2021.2.3,59.97677699196371,
3,4,Plan a game night at your place,Stimuli/4A1.jpg,Stimuli/4A2.jpg,Stimuli/4A3.jpg,Stimuli/4B1.jpg,Stimuli/4B2.jpg,Stimuli/4B3.jpg,Stimuli/4C1.jpg,Stimuli/4C2.jpg,Stimuli/4C3.jpg,,,,,0,0,0,4,,,,,,,,261.00576400000045,None,261.99425390000033,None,267.9941195000001,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",,8.77891279999676,5.44601949999651,7.04658379999637,"[0.29259259259259257, -0.18611111111111112, 0.06759259259259259]","[-0.2518518518518518, -0.2953703703703704, -0.3592592592592593]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.44365310000012, 7.060036699999728, 8.776709699999628]",0.0015255999969667755,8.778072299996893,['A3'],['B3'],['C3'],['yellow'],['salmon'],['blue'],280.72679700000026,None,8.0,3.646335200000067,280.72679700000026,None,297.19321240000045,None,6.0,3.59813689999919,292.04339020000043,None,8.0,4.098411300000407,285.7935121999999,None,6.0,7.564003599999523,<function functionImportanceC at 0x000001E5CC570E18>,<function functionImportanceB at 0x000001E5CC570048>,<function functionImportanceA at 0x000001E5CC4F1BF8>,,,4.0,3.59813689999919,5.0,4.731211500000427,5.0,3.3476439000005485,<function functiondiffC at 0x000001E5CC570AE8>,<function functiondiffB at 0x000001E5CC4F1620>,<function functiondiffA at 0x000001E5CC4F10D0>,204.16235430000052,None,204.16235430000052,None,271.4826468000001,300.0932051,None,305.6430611000005,None,310.7095360000003,None,24,001,2022_Jul_20_1012,2leo,2021.2.3,59.97677699196371,
3,44,Plan a party at your place,Stimuli/44A1.jpg,Stimuli/44A2.jpg,Stimuli/44A3.jpg,Stimuli/44B1.jpg,Stimuli/44B2.jpg,Stimuli/44B3.jpg,Stimuli/44C1.jpg,Stimuli/44C2.jpg,Stimuli/44C3.jpg,,,,,0,1,1,44,,,,,,,,313.2594841,None,314.2594392000001,None,320.2594551000002,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",,8.674326419999488,11.39140861999931,15.174305419999655,"[-0.3888888888888889, -0.21203703703703702, 0.30092592592592593]","[0.1574074074074074, 0.3351851851851852, -0.26296296296296295]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.662396300000182, 11.379278200000044, 15.162084600000526]",0.011298619999251969,15.173279419999744,['A3'],['B3'],['C1'],['blue'],['salmon'],['yellow'],337.04201639999974,None,6.0,2.430824900000516,337.04201639999974,None,352.3249697000001,None,6.0,3.331794599999739,339.5421707000005,None,7.0,6.131470799999988,345.7251304000001,None,5.0,6.598673799999233,<function functionImportanceB at 0x000001E5CC4F1950>,<function functionImportanceC at 0x000001E5CC5708C8>,<function functionImportanceA at 0x000001E5C8A60F28>,,,5.0,3.331794599999739,3.0,5.215098800000305,5.0,5.097894600000473,<function functiondiffC at 0x000001E5CC570268>,<function functiondiffB at 0x000001E5CC570A60>,<function functiondiffA at 0x000001E5CC570D90>,,,,,321.3950156000001,355.6250608999999,None,363.30824180000036,None,368.5247614,None,24,001,2022_Jul_20_1012,2leo,2021.2.3,59.97677699196371,
3,23,Plan a city trip,Stimuli/23A1.jpg,Stimuli/23A2.jpg,Stimuli/23A3.jpg,Stimuli/23B1.jpg,Stimuli/23B2.jpg,Stimuli/23B3.jpg,Stimuli/23C1.jpg,Stimuli/23C2.jpg,Stimuli/23C3.jpg,,,,,0,2,2,23,,,,,,,,373.1410163999999,None,374.14120550000007,None,380.14115649999985,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,12.533530599999722,9.600585599999249,13.250483199999508,"[0.30462962962962964, 0.39351851851851855, 0.3388888888888889]","[-0.24259259259259258, 0.009259259259259259, 0.2777777777777778]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.583857599999646, 12.517138499999419, 13.233528900000238]",0.01588499999979831,13.249328499999137,['A2'],['B3'],['C2'],['salmon'],['blue'],['yellow'],395.0071385000001,None,8.0,5.247226999999839,395.0071385000001,None,400.30702870000005,None,7.0,4.7477686000001995,405.0902323999999,None,3.0,5.898494000000028,411.0401671999998,None,5.0,4.265254500000083,<function functionImportanceA at 0x000001E5CC5706A8>,<function functionImportanceB at 0x000001E5CB680EA0>,<function functionImportanceC at 0x000001E5C0E01E18>,,,1.0,4.7477686000001995,3.0,8.714331400000447,5.0,3.6312739999993937,<function functiondiffB at 0x000001E5CC570B70>,<function functiondiffA at 0x000001E5CC4F1598>,<function functiondiffC at 0x000001E5CC5700D0>,,,,,381.28795590000027,427.63978450000013,None,415.25682870000037,None,423.98993260000043,None,24,001,2022_Jul_20_1012,2leo,2021.2.3,59.97677699196371,
3,5,Plan a birthday party for your younger self when you turn eight,Stimuli/5A1.jpg,Stimuli/5A2.jpg,Stimuli/5A3.jpg,Stimuli/5B1.jpg,Stimuli/5B2.jpg,Stimuli/5B3.jpg,Stimuli/5C1.jpg,Stimuli/5C2.jpg,Stimuli/5C3.jpg,,,,,0,3,3,5,,,,,,,,432.0228103999998,None,433.0229859000001,None,439.02295930000037,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]",,16.9637876999941,10.614051299994571,6.081003999994209,"[-0.41388888888888886, -0.2101851851851852, 0.09166666666666666]","[-0.11018518518518519, 0.37407407407407406, -0.3351851851851852]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.072812600000361, 10.606081099999756, 16.956057399999736]",0.007143799994082656,16.9629704999943,['A3'],['B2'],['C2'],['blue'],['salmon'],['yellow'],462.2386588999998,None,7.0,4.113786300000356,462.2386588999998,None,475.50958140000057,None,5.0,6.365329999999631,480.80490830000053,None,5.0,4.414462800000365,467.05518140000004,None,7.0,6.497638200000438,<function functionImportanceC at 0x000001E5CC570730>,<function functionImportanceA at 0x000001E5CC4F18C8>,<function functionImportanceB at 0x000001E5CC570840>,,,3.0,6.365329999999631,5.0,4.0974145999998655,7.0,7.765102999999726,<function functiondiffC at 0x000001E5CC4F1510>,<function functiondiffA at 0x000001E5CC570158>,<function functiondiffB at 0x000001E5CC4F16A8>,,,,,444.8185463,483.8549773000004,None,496.8046172000004,None,489.4217533000001,None,24,001,2022_Jul_20_1012,2leo,2021.2.3,59.97677699196371,
3,6,Plan your wedding,Stimuli/6A1.jpg,Stimuli/6A2.jpg,Stimuli/6A3.jpg,Stimuli/6B1.jpg,Stimuli/6B2.jpg,Stimuli/6B3.jpg,Stimuli/6C1.jpg,Stimuli/6C2.jpg,Stimuli/6C3.jpg,,,,,0,4,4,6,,,,,,,,500.0543617000003,None,501.0545462,None,507.05442719999974,None,"[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]",,10.38208317999397,12.349111379993701,11.84919837999405,"[0.26851851851851855, -0.2037037037037037, 0.12685185185185185]","[0.2611111111111111, 0.3148148148148148, 0.32685185185185184]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.379107400000066, 11.84552259999964, 12.345894199999748]",0.002547679993767815,12.348129279994282,['A1'],['B1'],['C3'],['blue'],['salmon'],['yellow'],525.1037578000005,None,8.0,2.9469664999996894,525.1037578000005,None,537.5882978,None,7.0,5.0150311000006695,543.0702240999999,None,7.0,6.248209200000019,529.3538709000004,None,6.0,8.197471299999961,<function functionImportanceC at 0x000001E5CC5709D8>,<function functionImportanceA at 0x000001E5CC570950>,<function functionImportanceB at 0x000001E5CC570378>,,,3.0,5.0150311000006695,3.0,10.314783900000293,8.0,5.381586999999854,<function functiondiffB at 0x000001E5CC4F1A60>,<function functiondiffA at 0x000001E5CC4F1AE8>,<function functiondiffC at 0x000001E5CC570488>,,,,,512.2923025,563.7362772000006,None,547.9886230000002,None,558.2363604000002,None,24,001,2022_Jul_20_1012,2leo,2021.2.3,59.97677699196371,
3,8,Plan the interior of your living-room ,Stimuli/8A1.jpg,Stimuli/8A2.jpg,Stimuli/8A3.jpg,Stimuli/8B1.jpg,Stimuli/8B2.jpg,Stimuli/8B3.jpg,Stimuli/8C1.jpg,Stimuli/8C2.jpg,Stimuli/8C3.jpg,,,,,0,5,5,8,,,,,,,,568.7691941000003,None,569.7694166000001,None,575.7693434000003,None,"[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,7.543738419994952,17.060726919994522,12.594073919995026,"[0.049074074074074076, -0.3787037037037037, 0.4444444444444444]","[-0.35185185185185186, -0.11666666666666667, -0.04259259259259259]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.541374600000381, 12.591103800000383, 17.05796360000022]",0.0019246199944973341,17.05967461999444,['A1'],['B3'],['C2'],['yellow'],['salmon'],['blue'],598.1685646000005,None,8.0,3.8470875000002707,598.1685646000005,None,608.4680852000001,None,9.0,2.2143840000007913,612.4850741999999,None,8.0,4.081800800000565,604.0541374000004,None,10.0,6.347701300000153,<function functionImportanceC at 0x000001E5803881E0>,<function functionImportanceA at 0x000001E5CC570BF8>,<function functionImportanceB at 0x000001E580388598>,,,2.0,2.2143840000007913,5.0,7.097511800000575,2.0,4.181189799999629,<function functiondiffB at 0x000001E5CC4F1730>,<function functiondiffA at 0x000001E5CC4F19D8>,<function functiondiffC at 0x000001E5CC570EA0>,,,,,580.6424040000002,626.6179282000003,None,615.2849012000006,None,621.8681729,None,24,001,2022_Jul_20_1012,2leo,2021.2.3,59.97677699196371,
3,3,Plan a movie night with a friend,Stimuli/3A1.jpg,Stimuli/3A2.jpg,Stimuli/3A3.jpg,Stimuli/3B1.jpg,Stimuli/3B2.jpg,Stimuli/3B3.jpg,Stimuli/3C1.jpg,Stimuli/3C2.jpg,Stimuli/3C3.jpg,,,,,0,6,6,3,,,,,,,,630.3676044000003,None,631.3676899000002,None,637.3677549000004,None,"[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,19.48059237999678,15.164727679996759,5.481766979996792,"[-0.21203703703703702, 0.03796296296296296, 0.08703703703703704]","[0.32314814814814813, -0.4185185185185185, 0.38055555555555554]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.470249300000432, 15.153368700000101, 19.469641800000318]",0.01051717999689572,19.480094979997375,['A1'],['B3'],['C2'],['salmon'],['blue'],['yellow'],660.8836028000005,None,7.0,2.913763999999901,660.8836028000005,None,673.4667872999999,None,6.0,3.698669399999744,670.7833417000002,None,5.0,3.431643900000381,665.6526886000001,None,8.0,6.131439800000408,<function functionImportanceC at 0x000001E580388510>,<function functionImportanceB at 0x000001E580388378>,<function functionImportanceA at 0x000001E580388620>,,,1.0,3.698669399999744,3.0,3.364426000000094,4.0,5.663815299999442,<function functiondiffA at 0x000001E5CB7C16A8>,<function functiondiffC at 0x000001E5CC570C80>,<function functiondiffB at 0x000001E5C93BB9D8>,,,,,640.9454887000002,683.1664781,None,686.1995833000001,None,677.1499798000004,None,24,001,2022_Jul_20_1012,2leo,2021.2.3,59.97677699196371,
3,40,Plan to see a sports event ,Stimuli/40A1.jpg,Stimuli/40A2.jpg,Stimuli/40A3.jpg,Stimuli/40B1.jpg,Stimuli/40B2.jpg,Stimuli/40B3.jpg,Stimuli/40C1.jpg,Stimuli/40C2.jpg,Stimuli/40C3.jpg,,,,,0,7,7,40,,,,,,,,688.7160984000002,None,689.7161900000001,None,695.7161227000006,None,"[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]",,13.995417400000406,4.829489700000522,19.895936200000506,"[0.275, -0.41944444444444445, -0.22592592592592592]","[-0.24074074074074073, 0.1685185185185185, 0.3277777777777778]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.8243609000001015, 13.990459399999963, 19.890475700000025]",0.004445800001121825,19.894711400001142,['A2'],['B1'],['C2'],['yellow'],['salmon'],['blue'],717.4154355000001,None,9.0,6.080140299999584,717.4154355000001,None,723.5986301000003,None,5.0,4.69740449999972,728.4819999000001,None,6.0,3.448527400000785,731.7984627000005,None,4.0,2.4318523000001733,<function functionImportanceA at 0x000001E580388C80>,<function functionImportanceB at 0x000001E580388048>,<function functionImportanceC at 0x000001E5803886A8>,,,2.0,4.69740449999972,1.0,2.2145389000006617,1.0,4.981560199999876,<function functiondiffC at 0x000001E580388F28>,<function functiondiffA at 0x000001E580388EA0>,<function functiondiffB at 0x000001E5803888C8>,,,,,697.0405185,734.1651700000002,None,743.7815080999999,None,738.7482829,None,24,001,2022_Jul_20_1012,2leo,2021.2.3,59.97677699196371,
