Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffB_response,slider_diffB_rt,slider_diffA_response,slider_diffA_rt,slider_diffC_response,slider_diffC_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffA_started,question_diffA_stopped,question_diffC_started,question_diffC_stopped,question_diffB_started,question_diffB_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,33.179185199998756,None,1,[1.7941811000018788],[1.7941962000004423],33.179185199998756,None,115.40807929999937,None,116.41146479999952,None,122.41132469999866,None,"[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",126.45404779999808,12.975790919990686,10.109582219993172,16.776627219991497,"[-0.19814814814814816, 0.38333333333333336, 0.3509259259259259]","[-0.3787037037037037, -0.26666666666666666, 0.19537037037037036]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.103494700000738, 12.969967299999553, 16.770171899999696]",0.005396919990744209,16.775243319993024,['A1'],['B1'],['C2'],['blue'],['yellow'],['salmon'],143.69387579999966,None,7.0,5.913501400002133,143.69387579999966,None,151.26032990000022,None,8.0,12.831300800000463,163.82871079999677,None,6.0,5.998009399998409,168.56011339999895,None,9.0,3.6650434999974095,<function functionImportanceBt at 0x000001FBA8048D08>,<function functionImportanceAt at 0x000001FB9E66F268>,<function functionImportanceCt at 0x000001FB9AED1E18>,182.20972149999943,None,1.0,6.848085900001024,3.0,5.998009399998409,0.0,5.764252500001021,<function functiondiffBt at 0x000001FBA825D510>,<function functiondiffAt at 0x000001FBA825DE18>,<function functiondiffCt at 0x000001FBA825DB70>,,,,,,,,,,,,25,001,2022_Jul_20_1408,2leo,2021.2.3,60.545588407345754,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,187.49289319999662,None,188.49291879999873,None,194.49275359999956,None,"[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]",200.62245459999758,36.519545779981854,35.11989137998171,30.070360079982493,"[-0.3675925925925926, -0.18425925925925926, 0.008333333333333333]","[-0.1287037037037037, -0.3907407407407407, -0.38796296296296295]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[30.052835399998003, 35.102668799998355, 36.50261339999997]",0.016412979981396347,36.51888977998169,['A2'],['B2'],['C3'],['blue'],['yellow'],['salmon'],237.5914245999993,None,6.0,2.697779400001309,237.5914245999993,None,247.62461039999835,None,9.0,11.664270699999179,259.5243746999986,None,3.0,7.198380199999519,241.82450619999872,None,8.0,5.547827499998675,<function functionImportanceCt at 0x000001FBA8048E18>,<function functionImportanceBt at 0x000001FBA8048BF8>,<function functionImportanceAt at 0x000001FB97D691E0>,272.3740199999993,None,1.0,3.2144208000026993,7.0,7.198380199999519,1.0,3.6472265999982483,<function functiondiffCt at 0x000001FBA7789F28>,<function functiondiffBt at 0x000001FBA8006EA0>,<function functiondiffAt at 0x000001FBA8048D90>,,,,,,,,,,,,25,001,2022_Jul_20_1408,2leo,2021.2.3,60.545588407345754,
3,40,Plan to see a sports event ,Stimuli/40A1.jpg,Stimuli/40A2.jpg,Stimuli/40A3.jpg,Stimuli/40B1.jpg,Stimuli/40B2.jpg,Stimuli/40B3.jpg,Stimuli/40C1.jpg,Stimuli/40C2.jpg,Stimuli/40C3.jpg,,,,,0,0,0,40,,,,,,,,360.0030994999979,None,360.9884650999993,None,366.9883459999983,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,18.793278619996272,28.143433619996358,19.377331019997655,"[-0.3333333333333333, -0.34074074074074073, 0.4027777777777778]","[-0.08888888888888889, 0.1787037037037037, 0.040740740740740744]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[18.781503000001976, 19.365048200001183, 28.13129990000016]",0.011265019998973003,28.14247671999692,['A2'],['B3'],['C2'],['blue'],['salmon'],['yellow'],396.9873062999977,None,2.0,2.8622806999992463,396.9873062999977,None,400.1040114999996,None,2.0,4.380747600000177,406.67026789999727,None,7.0,4.847913900001004,404.3705332999998,None,2.0,2.2481608999987657,<function functionImportanceB at 0x000001FBA8451488>,<function functionImportanceC at 0x000001FBA8451C80>,<function functionImportanceA at 0x000001FBA825D378>,,,8.0,1.5639943000023777,3.0,4.382045999998809,8.0,4.847913900001004,<function functiondiffA at 0x000001FBA825D730>,<function functiondiffC at 0x000001FBA825D950>,<function functiondiffB at 0x000001FBA825D2F0>,275.0073009999978,None,275.0073009999978,None,368.37369529999705,411.4203830999977,None,415.8201298999993,None,418.8868919999986,None,25,001,2022_Jul_20_1408,2leo,2021.2.3,60.545588407345754,
3,41,Plan how you want to have dinner tonight ,Stimuli/41A1.jpg,Stimuli/41A2.jpg,Stimuli/41A3.jpg,Stimuli/41B1.jpg,Stimuli/41B2.jpg,Stimuli/41B3.jpg,Stimuli/41C1.jpg,Stimuli/41C2.jpg,Stimuli/41C3.jpg,,,,,0,1,1,41,,,,,,,,419.93678969999746,None,420.9367334999988,None,426.9367588999994,None,"[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,12.358233560000372,15.874996660000761,17.325317259997973,"[0.31296296296296294, 0.12314814814814815, -0.16018518518518518]","[-0.23055555555555557, -0.3398148148148148, -0.337037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[12.355477599998267, 15.87201069999719, 17.322181999999884]",0.0020613599990610965,17.323704559999896,['A3'],['B3'],['C3'],['yellow'],['blue'],['salmon'],446.1025867999997,None,8.0,2.863614300000336,446.1025867999997,None,452.13588209999944,None,6.0,4.448198299996875,449.06934909999836,None,7.0,3.064370300002338,456.7527171999973,None,1.0,5.3150568999990355,<function functionImportanceA at 0x000001FBA8451BF8>,<function functionImportanceB at 0x000001FBA8451730>,<function functionImportanceC at 0x000001FBA8451620>,,,-0.0,3.6809167999999772,2.0,3.0644633999982034,6.0,3.064370300002338,<function functiondiffB at 0x000001FBA84511E0>,<function functiondiffC at 0x000001FBA8451D90>,<function functiondiffA at 0x000001FBA84518C8>,,,,,428.29647419999674,468.9023739999975,None,465.61903769999844,None,461.8858522999981,None,25,001,2022_Jul_20_1408,2leo,2021.2.3,60.545588407345754,
3,3,Plan a movie night with a friend,Stimuli/3A1.jpg,Stimuli/3A2.jpg,Stimuli/3A3.jpg,Stimuli/3B1.jpg,Stimuli/3B2.jpg,Stimuli/3B3.jpg,Stimuli/3C1.jpg,Stimuli/3C2.jpg,Stimuli/3C3.jpg,,,,,0,2,2,3,,,,,,,,471.48529249999774,None,472.4853110999975,None,478.4854490999969,None,"[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]",,23.320290259987814,12.437596259987913,18.254251959988324,"[0.3712962962962963, 0.3314814814814815, 0.42685185185185187]","[0.2759259259259259, -0.275, 0.012037037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[12.42345209999985, 18.239995500000077, 23.306417700001475]",0.01324865999049507,23.319591659990692,['A3'],['B3'],['C2'],['salmon'],['blue'],['yellow'],505.8510592999992,None,8.0,3.697026800000458,505.8510592999992,None,514.634417199999,None,7.0,2.798034200000984,516.7176156999994,None,7.0,2.515131600001041,511.3511277999969,None,9.0,4.264516500003083,<function functionImportanceC at 0x000001FBA8451B70>,<function functionImportanceB at 0x000001FBA8451378>,<function functionImportanceA at 0x000001FBA825D1E0>,,,0.0,5.1973512999975355,2.0,2.497833099998388,0.0,2.515131600001041,<function functiondiffB at 0x000001FBA825DC80>,<function functiondiffA at 0x000001FBA825D7B8>,<function functiondiffC at 0x000001FBA8451950>,,,,,482.07800799999677,524.4341895999969,None,527.3340589,None,519.6009045999999,None,25,001,2022_Jul_20_1408,2leo,2021.2.3,60.545588407345754,
3,21,Plan your sandwich for lunch,Stimuli/21A1.jpg,Stimuli/21A2.jpg,Stimuli/21A3.jpg,Stimuli/21B1.jpg,Stimuli/21B2.jpg,Stimuli/21B3.jpg,Stimuli/21C1.jpg,Stimuli/21C2.jpg,Stimuli/21C3.jpg,,,,,0,3,3,21,,,,,,,,529.0171155999997,None,530.0173079999986,None,536.0171717999983,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",,4.348829480000859,9.615331480003078,10.848980980001215,"[0.30925925925925923, -0.23333333333333334, 0.0962962962962963]","[0.2824074074074074, -0.33240740740740743, 0.40370370370370373]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.341746100002638, 9.607876199999737, 10.84138940000048]",0.00658538000061526,10.847702080001909,['A2'],['B3'],['C2'],['blue'],['salmon'],['yellow'],548.5167325999973,None,10.0,1.7468301000008069,548.5167325999973,None,556.8666580999998,None,10.0,2.331376400001318,553.6166501999978,None,6.0,3.198446700000204,550.383173299997,None,10.0,3.26430469999832,<function functionImportanceC at 0x000001FBA8451EA0>,<function functionImportanceA at 0x000001FBA825DF28>,<function functionImportanceB at 0x000001FBA825D158>,,,0.0,1.7976823000026343,4.0,3.7977296999997634,-0.0,3.198446700000204,<function functiondiffC at 0x000001FBA825D598>,<function functiondiffB at 0x000001FBA825DAE8>,<function functiondiffA at 0x000001FBA8451AE8>,,,,,537.189424799999,563.349757699998,None,559.1499089999998,None,561.5331399999995,None,25,001,2022_Jul_20_1408,2leo,2021.2.3,60.545588407345754,
3,1,Plan how to study for an exam,Stimuli/1A1.jpg,Stimuli/1A2.jpg,Stimuli/1A3.jpg,Stimuli/1B1.jpg,Stimuli/1B2.jpg,Stimuli/1B3.jpg,Stimuli/1C1.jpg,Stimuli/1C2.jpg,Stimuli/1C3.jpg,,,,,0,4,4,1,,,,,,,,566.666128599998,None,567.6661309999981,None,573.6661213999978,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",,11.046565759999794,5.230312159997993,11.613747859999421,"[0.1111111111111111, -0.17314814814814813, 0.27870370370370373]","[0.39444444444444443, 0.34814814814814815, 0.262037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.223647200000414, 11.040069999999105, 11.60682739999902]",0.005995159997837618,11.612484059998678,['A2'],['B1'],['C1'],['blue'],['yellow'],['salmon'],586.8657093999973,None,10.0,2.0137505999991845,586.8657093999973,None,588.949217399997,None,10.0,1.9978564999983064,593.7489139999998,None,10.0,2.182139599997754,590.9325348999992,None,10.0,2.765123599998333,<function functionImportanceB at 0x000001FB805BCBF8>,<function functionImportanceC at 0x000001FB805BC598>,<function functionImportanceA at 0x000001FBA825D840>,,,0.0,2.0811934000012116,-0.0,2.1813627000010456,-0.0,2.182139599997754,<function functiondiffC at 0x000001FB805BC7B8>,<function functiondiffA at 0x000001FBA8451D08>,<function functiondiffB at 0x000001FBA825D268>,,,,,574.7747296999987,602.1487326999995,None,595.8988991999977,None,604.3487265999975,None,25,001,2022_Jul_20_1408,2leo,2021.2.3,60.545588407345754,
3,4,Plan a game night at your place,Stimuli/4A1.jpg,Stimuli/4A2.jpg,Stimuli/4A3.jpg,Stimuli/4B1.jpg,Stimuli/4B2.jpg,Stimuli/4B3.jpg,Stimuli/4C1.jpg,Stimuli/4C2.jpg,Stimuli/4C3.jpg,,,,,0,5,5,4,,,,,,,,605.9484479999992,None,606.9486371999992,None,612.9485980999998,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,13.066461879992858,7.366749779990641,14.31704467999225,"[0.11388888888888889, -0.36574074074074076, -0.19722222222222222]","[0.38425925925925924, 0.12037037037037036, -0.2953703703703704]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.3623484000017925, 13.062224799999967, 14.31221960000039]",0.003704179991473211,14.315652679990308,['A2'],['B1'],['C3'],['yellow'],['salmon'],['blue'],631.1476067999974,None,9.0,1.5138076000002911,631.1476067999974,None,632.6975513999969,None,1.0,3.3312772999997833,643.1643502999977,None,8.0,3.115409099998942,637.3811097999969,None,7.0,6.081677599999239,<function functionImportanceB at 0x000001FB805BC0D0>,<function functionImportanceC at 0x000001FB805BCE18>,<function functionImportanceA at 0x000001FB805BCF28>,,,7.0,2.9144206999990274,1.0,10.563907200001267,2.0,3.115409099998942,<function functiondiffB at 0x000001FB805BCB70>,<function functiondiffA at 0x000001FB805BCD90>,<function functiondiffC at 0x000001FB805BC048>,,,,,616.3687996999979,648.5307704999977,None,659.1640673000002,None,645.2809791999971,None,25,001,2022_Jul_20_1408,2leo,2021.2.3,60.545588407345754,
3,6,Plan your wedding,Stimuli/6A1.jpg,Stimuli/6A2.jpg,Stimuli/6A3.jpg,Stimuli/6B1.jpg,Stimuli/6B2.jpg,Stimuli/6B3.jpg,Stimuli/6C1.jpg,Stimuli/6C2.jpg,Stimuli/6C3.jpg,,,,,0,6,6,6,,,,,,,,661.5470104999986,None,662.5473270999973,None,668.5472224999976,None,"[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,10.219129379984224,9.036159379986202,15.002571879984316,"[0.3212962962962963, 0.05277777777777778, -0.13055555555555556]","[0.2462962962962963, 0.3972222222222222, 0.35]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.023336500002188, 10.20645499999955, 14.989308500000334]",0.01214377998621785,15.001427379986126,['A1'],['B1'],['C2'],['blue'],['yellow'],['salmon'],689.229493699997,None,4.0,2.330028599997604,689.229493699997,None,700.8794559999988,None,8.0,3.781122799999139,692.812661699998,None,7.0,4.4477785999988555,697.3817586999976,None,8.0,3.1150371999974595,<function functionImportanceA at 0x000001FBA8451840>,<function functionImportanceC at 0x000001FB805BC6A8>,<function functionImportanceB at 0x000001FB805BC1E0>,,,1.0,3.3647745000016585,2.0,2.014116499998636,3.0,4.4477785999988555,<function functiondiffA at 0x000001FB805BC950>,<function functiondiffC at 0x000001FB805BC840>,<function functiondiffB at 0x000001FB805BC268>,,,,,673.7732534999996,703.3129367000001,None,705.4124792000002,None,707.8960681999997,None,25,001,2022_Jul_20_1408,2leo,2021.2.3,60.545588407345754,
3,27,Plan what festival to visit with your friends,Stimuli/27A1.jpg,Stimuli/27A2.jpg,Stimuli/27A3.jpg,Stimuli/27B1.jpg,Stimuli/27B2.jpg,Stimuli/27B3.jpg,Stimuli/27C1.jpg,Stimuli/27C2.jpg,Stimuli/27C3.jpg,,,,,0,7,7,27,,,,,,,,710.3624068999998,None,711.3625066999994,None,717.3625909000002,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",,15.375048800004151,17.924777000003814,8.775322600002255,"[0.4222222222222222, 0.2898148148148148, -0.30092592592592593]","[-0.001851851851851852, -0.2759259259259259, 0.14537037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.770968900000298, 15.371182099999714, 17.92086940000081]",0.0032162000024982262,17.923949700005323,['A3'],['B1'],['C2'],['yellow'],['salmon'],['blue'],736.9284322999993,None,8.0,1.6805301000022155,736.9284322999993,None,740.8977784999988,None,8.0,1.9985880999993242,742.8950404999996,None,8.0,2.2820820000015374,738.711895299999,None,8.0,2.1646440000004077,<function functionImportanceC at 0x000001FB805BC620>,<function functionImportanceB at 0x000001FBA825D620>,<function functionImportanceA at 0x000001FBA8451E18>,,,2.0,1.8312936000002082,3.0,2.114470900000015,3.0,2.2820820000015374,<function functiondiffC at 0x000001FB805BC730>,<function functiondiffA at 0x000001FB805BC9D8>,<function functiondiffB at 0x000001FB805BC488>,,,,,718.5243129999981,748.3949670999973,None,745.1450268999979,None,750.528161299997,None,25,001,2022_Jul_20_1408,2leo,2021.2.3,60.545588407345754,
