Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffB_response,slider_diffB_rt,slider_diffC_response,slider_diffC_rt,slider_diffA_response,slider_diffA_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffC_started,question_diffC_stopped,question_diffB_started,question_diffB_stopped,question_diffA_started,question_diffA_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,29.346876300001895,None,1,[0.9929297000016959],[0.9929338000001735],29.346876300001895,None,94.84226970000236,None,95.85163180000018,None,101.85145190000185,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",105.84662080000271,11.930279439984588,14.597272139984852,8.597585439987597,"[-0.3962962962962963, -0.33055555555555555, 0.3962962962962963]","[0.14629629629629629, -0.09722222222222222, -0.012962962962962963]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.588378599997668, 11.92163950000031, 14.588262799999939]",0.00813393998760148,14.596107539986406,['A2'],['B3'],['C2'],['yellow'],['salmon'],['blue'],120.90103810000073,None,9.0,5.396656299999449,120.90103810000073,None,126.38414790000024,None,10.0,6.564650000000256,134.50360880000153,None,3.0,5.765139900002396,140.00051840000015,None,6.0,6.914855700000771,<function functionImportanceCt at 0x0000022E810C0D08>,<function functionImportanceBt at 0x0000022E810C0B70>,<function functionImportanceAt at 0x0000022EEF3B1E18>,156.316534900001,None,7.0,7.41417999999976,-0.0,2.7809812999985297,3.0,6.914855700000771,<function functiondiffBt at 0x0000022E81DEBF28>,<function functiondiffCt at 0x0000022E81DEB598>,<function functiondiffAt at 0x0000022E81DEBD08>,,,,,,,,,,,,27,001,2022_Jul_20_1705,2leo,2021.2.3,59.98497976104575,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,160.25000229999932,None,161.2497598000009,None,167.24985390000074,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",173.35290320000058,15.491308159987966,9.241440059988236,20.42491655998674,"[0.30185185185185187, -0.2518518518518518, 0.27314814814814814]","[-0.2064814814814815, 0.337037037037037, 0.22777777777777777]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.22934610000084, 15.479429300001357, 20.412448500002938]",0.011393859986128518,20.423567659989203,['A2'],['B1'],['C3'],['salmon'],['yellow'],['blue'],194.23230030000195,None,4.0,4.864001999998436,194.23230030000195,None,210.86506949999966,None,6.0,7.514786100000492,218.68173600000227,None,1.0,8.165001200002735,201.06561890000012,None,4.0,10.231272299999546,<function functionImportanceAt at 0x0000022EECA531E0>,<function functionImportanceCt at 0x0000022E810C0D90>,<function functionImportanceBt at 0x0000022E810C09D8>,238.19785559999946,None,8.0,7.264372699999512,2.0,4.597630099997332,5.0,10.231272299999546,<function functiondiffBt at 0x0000022E81DEB840>,<function functiondiffAt at 0x0000022E81DEB1E0>,<function functiondiffCt at 0x0000022E81DEB0D0>,,,,,,,,,,,,27,001,2022_Jul_20_1705,2leo,2021.2.3,59.98497976104575,
3,22,Plan a beach day with your friends,Stimuli/22A1.jpg,Stimuli/22A2.jpg,Stimuli/22A3.jpg,Stimuli/22B1.jpg,Stimuli/22B2.jpg,Stimuli/22B3.jpg,Stimuli/22C1.jpg,Stimuli/22C2.jpg,Stimuli/22C3.jpg,,,,,0,0,0,22,,,,,,,,362.16123700000026,None,363.14467010000226,None,369.14444600000206,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]",,16.54447391999929,8.011601619997236,12.278047819996573,"[-0.35462962962962963, 0.35185185185185186, -0.3537037037037037]","[-0.07962962962962963, 0.03518518518518519, 0.15555555555555556]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.00620649999837, 12.272608399998717, 16.539486800000304]",0.004373119998490438,16.543631419997837,['A3'],['B3'],['C2'],['blue'],['salmon'],['yellow'],387.3771740000011,None,8.0,3.9961933999984467,387.3771740000011,None,403.31030420000025,None,9.0,7.681361400002061,399.69375720000244,None,10.0,3.581691100000171,391.4938777999996,None,3.0,8.197241699999722,<function functionImportanceA at 0x0000022E81DEBC80>,<function functionImportanceB at 0x0000022E810C0F28>,<function functionImportanceC at 0x0000022E81E796A8>,,,-0.0,3.4474885999989056,-0.0,8.197241699999722,5.0,5.047597599997971,<function functiondiffC at 0x0000022E81DEBE18>,<function functiondiffB at 0x0000022E81DEB6A8>,<function functiondiffA at 0x0000022E81DEBEA0>,241.881107600002,None,241.881107600002,None,370.35486850000234,410.92686180000237,None,416.26005500000247,None,419.72655560000203,None,27,001,2022_Jul_20_1705,2leo,2021.2.3,59.98497976104575,
3,42,Plan how to draw a painting ,Stimuli/42A1.jpg,Stimuli/42A2.jpg,Stimuli/42A3.jpg,Stimuli/42B1.jpg,Stimuli/42B2.jpg,Stimuli/42B3.jpg,Stimuli/42C1.jpg,Stimuli/42C2.jpg,Stimuli/42C3.jpg,,,,,0,1,1,42,,,,,,,,424.29295640000055,None,425.29299080000055,None,431.29291210000156,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,9.486159759999282,13.835852660002274,18.136478860000352,"[-0.20462962962962963, 0.3962962962962963, 0.3333333333333333, 0.07407407407407407]","[-0.31666666666666665, -0.22962962962962963, -0.22962962962962963, -0.3527777777777778]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[9.469285999999556, 13.335495299998001, 13.81866479999735, 18.119132799998624]",0.0162648600016837,18.135114259999682,['A3'],['B3'],['C3'],['yellow'],['blue'],['salmon'],451.19216100000267,None,3.0,4.396653299998434,451.19216100000267,None,462.9754595000013,None,6.0,3.8315587999968557,455.6590045000012,None,9.0,4.2479655999995884,460.07544690000213,None,2.0,3.0310821999992186,<function functionImportanceB at 0x0000022E81E79F28>,<function functionImportanceA at 0x0000022E81E79C80>,<function functionImportanceC at 0x0000022E81E79840>,,,2.0,5.797869300000457,3.0,3.0310821999992186,3.0,5.031298500001867,<function functiondiffB at 0x0000022E81E79D90>,<function functiondiffA at 0x0000022E81E79BF8>,<function functiondiffC at 0x0000022E81DEB488>,,,,,432.58914110000114,477.6581941000004,None,466.7754182000026,None,472.641795800002,None,27,001,2022_Jul_20_1705,2leo,2021.2.3,59.98497976104575,
3,16,Plan a delicious cake for the birthday of a friend,Stimuli/16A1.jpg,Stimuli/16A2.jpg,Stimuli/16A3.jpg,Stimuli/16B1.jpg,Stimuli/16B2.jpg,Stimuli/16B3.jpg,Stimuli/16C1.jpg,Stimuli/16C2.jpg,Stimuli/16C3.jpg,,,,,0,2,2,16,,,,,,,,482.4747043999996,None,483.4748792999999,None,489.4748333000025,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]",,15.247486479995132,11.647912979995453,7.481263979996584,"[0.06666666666666667, 0.44074074074074077, -0.32407407407407407]","[0.43148148148148147, 0.05092592592592592, 0.1361111111111111]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.467084500000055, 11.634044800000993, 15.233766199999081]",0.013186379997932818,15.24687867999819,['A2'],['B1'],['C1'],['yellow'],['salmon'],['blue'],506.6239970000024,None,3.0,3.530286500001239,506.6239970000024,None,510.29069810000146,None,9.0,4.097603099999105,514.5574340999992,None,6.0,4.131194100002176,518.4906263000012,None,1.0,5.914775499997631,<function functionImportanceC at 0x0000022E81DEB510>,<function functionImportanceB at 0x0000022E81DEB620>,<function functionImportanceA at 0x0000022E81E79598>,,,2.0,3.41435139999885,-0.0,5.914775499997631,10.0,2.2477085999998963,<function functiondiffC at 0x0000022E81E79D08>,<function functiondiffB at 0x0000022E81E79510>,<function functiondiffA at 0x0000022E81E79620>,,,,,490.9221337000017,524.4070541000001,None,526.6071656999993,None,530.0070741000018,None,27,001,2022_Jul_20_1705,2leo,2021.2.3,59.98497976104575,
3,18,Plan your Saturday night ,Stimuli/18A1.jpg,Stimuli/18A2.jpg,Stimuli/18A3.jpg,Stimuli/18B1.jpg,Stimuli/18B2.jpg,Stimuli/18B3.jpg,Stimuli/18C1.jpg,Stimuli/18C2.jpg,Stimuli/18C3.jpg,,,,,0,3,3,18,,,,,,,,531.7734870999993,None,532.7736213999997,None,538.7735283000002,None,"[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]",,10.32376382000075,2.8242383200013137,7.1914932200015755,"[-0.36944444444444446, 0.06388888888888888, -0.18333333333333332]","[0.1574074074074074, 0.45092592592592595, 0.3101851851851852]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.8122199999997974, 7.1790839999994205, 10.312009199999011]",0.011309820001770277,10.323279119998915,['A1'],['B1'],['C3'],['salmon'],['blue'],['yellow'],550.6896584999995,None,10.0,2.2802909999991243,550.6896584999995,None,553.056377500001,None,9.0,4.314720300000772,559.9729303999993,None,10.0,2.6650541000017256,557.3728635000007,None,10.0,2.6151371999985713,<function functionImportanceC at 0x0000022E81E79268>,<function functionImportanceA at 0x0000022E81DEBD90>,<function functionImportanceB at 0x0000022E81DEB2F0>,,,0.0,1.6140365000028396,2.0,2.6151371999985713,1.0,3.0983863000001293,<function functiondiffC at 0x0000022E81E79048>,<function functiondiffA at 0x0000022E81DEBAE8>,<function functiondiffB at 0x0000022E81E79488>,,,,,539.8931828000023,562.6560136000007,None,572.3059216000001,None,569.1891515999996,None,27,001,2022_Jul_20_1705,2leo,2021.2.3,59.98497976104575,
3,28,Plan a one-week camping trip in Spain,Stimuli/28A1.jpg,Stimuli/28A2.jpg,Stimuli/28A3.jpg,Stimuli/28B1.jpg,Stimuli/28B2.jpg,Stimuli/28B3.jpg,Stimuli/28C1.jpg,Stimuli/28C2.jpg,Stimuli/28C3.jpg,,,,,0,4,4,28,,,,,,,,573.438978000002,None,574.439083600002,None,580.4390972000001,None,"[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",,19.993078999999852,28.29313540000294,6.610749700001179,"[0.03425925925925926, 0.012962962962962963, -0.20092592592592592]","[-0.3851851851851852, 0.43333333333333335, -0.2916666666666667]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.597291500002029, 19.980015800003457, 28.27990740000314]",0.012462900001992239,28.292136500000197,['A3'],['B2'],['C2'],['blue'],['salmon'],['yellow'],610.3548508999993,None,2.0,1.963421799999196,610.3548508999993,None,612.3915271000005,None,1.0,3.9975792999975965,619.0879392999996,None,0.0,2.448490299997502,616.4044826000027,None,8.0,2.6824164999998175,<function functionImportanceC at 0x0000022E806EB7B8>,<function functionImportanceA at 0x0000022E81DEBBF8>,<function functionImportanceB at 0x0000022E806EB620>,,,9.0,3.3811901999979455,8.0,2.6824164999998175,2.0,2.0811584000002767,<function functiondiffB at 0x0000022EFBC75F28>,<function functiondiffC at 0x0000022E81E79EA0>,<function functiondiffA at 0x0000022E81DEB730>,,,,,581.5889270000007,624.9379721000005,None,621.5380213000026,None,628.4211548999992,None,27,001,2022_Jul_20_1705,2leo,2021.2.3,59.98497976104575,
3,25,Plan how you want to read a book in your free time ,Stimuli/25A1.jpg,Stimuli/25A2.jpg,Stimuli/25A3.jpg,Stimuli/25B1.jpg,Stimuli/25B2.jpg,Stimuli/25B3.jpg,Stimuli/25C1.jpg,Stimuli/25C2.jpg,Stimuli/25C3.jpg,,,,,0,5,5,25,,,,,,,,630.0208432,None,631.0210689000014,None,637.0209259000003,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",,18.43412289999469,4.518311599997105,13.785970799995994,"[0.25925925925925924, -0.16203703703703703, -0.33611111111111114]","[0.21296296296296297, 0.3527777777777778, -0.09444444444444444]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.50280770000245, 13.770365399999719, 18.41907550000178]",0.01462609999725828,18.4334258999952,['A1'],['B2'],['C1'],['blue'],['salmon'],['yellow'],657.4034592000025,None,9.0,2.5300577000016347,657.4034592000025,None,660.3216098000012,None,9.0,3.3642741999974533,663.419988900001,None,10.0,2.4486231000009866,665.8535308999999,None,8.0,4.814831600000616,<function functionImportanceC at 0x0000022E806EBD90>,<function functionImportanceB at 0x0000022E806EB1E0>,<function functionImportanceA at 0x0000022E806EBEA0>,,,-0.0,2.565199399999983,2.0,4.814831600000616,1.0,1.7310871000008774,<function functiondiffC at 0x0000022E81E798C8>,<function functiondiffB at 0x0000022E81E79158>,<function functiondiffA at 0x0000022EF4010E18>,,,,,638.5138393000016,670.7198628000006,None,673.8366182999998,None,676.4032522000016,None,27,001,2022_Jul_20_1705,2leo,2021.2.3,59.98497976104575,
3,26,Plan how to wash one round of your laundry ,Stimuli/26A1.jpg,Stimuli/26A2.jpg,Stimuli/26A3.jpg,Stimuli/26B1.jpg,Stimuli/26B2.jpg,Stimuli/26B3.jpg,Stimuli/26C1.jpg,Stimuli/26C2.jpg,Stimuli/26C3.jpg,,,,,0,6,6,26,,,,,,,,677.6696713000019,None,678.6697875000027,None,684.6697937000026,None,"[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",,8.048676160004106,12.015612860002875,4.165868660002161,"[0.3731481481481482, -0.39537037037037037, -0.19537037037037036]","[0.24259259259259258, -0.08148148148148149, -0.2953703703703704]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.158061899997847, 8.041254799998569, 12.007838400000765]",0.006889260002935771,12.014627660002589,['A2'],['B3'],['C1'],['blue'],['salmon'],['yellow'],698.3025995999997,None,9.0,3.0967495999975654,698.3025995999997,None,709.2189042000027,None,3.0,4.631854000002932,713.8689455000022,None,2.0,2.498137200000201,701.4526646000013,None,2.0,7.731113599998935,<function functionImportanceA at 0x0000022E806EB9D8>,<function functionImportanceC at 0x0000022E806EB598>,<function functionImportanceB at 0x0000022E806EB2F0>,,,2.0,3.764247899998736,2.0,7.731113599998935,-0.0,3.014728999998624,<function functiondiffB at 0x0000022E806EBD08>,<function functiondiffC at 0x0000022E806EBE18>,<function functiondiffA at 0x0000022E806EB0D0>,,,,,685.8101016,720.1354611999996,None,716.3521800000017,None,722.2186776000017,None,27,001,2022_Jul_20_1705,2leo,2021.2.3,59.98497976104575,
3,7,Plan your Sunday breakfast ,Stimuli/7A1.jpg,Stimuli/7A2.jpg,Stimuli/7A3.jpg,Stimuli/7B1.jpg,Stimuli/7B2.jpg,Stimuli/7B3.jpg,Stimuli/7C1.jpg,Stimuli/7C2.jpg,Stimuli/7C3.jpg,,,,,0,7,7,7,,,,,,,,724.7517566000024,None,725.7535012000008,None,731.7684356000027,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]",,3.338838379982917,16.588870979983767,12.522508479982207,"[0.2833333333333333, -0.33796296296296297, 0.3611111111111111]","[0.23148148148148148, -0.06851851851851852, -0.03425925925925926]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.3359053999993193, 12.519237299999077, 16.585647299998527]",0.00234307998107397,16.587880679981026,['A3'],['B3'],['C1'],['blue'],['yellow'],['salmon'],754.8175553000001,None,8.0,3.6968795000029786,754.8175553000001,None,764.2509202000001,None,2.0,4.14825479999854,769.1338938000008,None,2.0,5.764781999998377,760.3176136000002,None,10.0,4.464572499997303,<function functionImportanceA at 0x0000022E80F7FEA0>,<function functionImportanceC at 0x0000022E806EB510>,<function functionImportanceB at 0x0000022E81E79E18>,,,10.0,3.71417019999717,5.0,4.464572499997303,-0.0,3.348157899999933,<function functiondiffB at 0x0000022E806EB950>,<function functiondiffA at 0x0000022E806EB8C8>,<function functiondiffC at 0x0000022E806EBA60>,,,,,737.7662216000026,780.4504803000018,None,773.6840228000001,None,777.2339888000024,None,27,001,2022_Jul_20_1705,2leo,2021.2.3,59.98497976104575,
