Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffB_response,slider_diffB_rt,slider_diffC_response,slider_diffC_rt,slider_diffA_response,slider_diffA_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffB_started,question_diffB_stopped,question_diffA_started,question_diffA_stopped,question_diffC_started,question_diffC_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,34.75941619999503,None,1,[1.03346959999908],[1.0334870999940904],34.75941619999503,None,102.29162119999819,None,103.29497639999317,None,109.29484450000018,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]",113.29600719999871,15.582343809983286,22.09932220997871,18.5329509099829,"[-0.36018518518518516, -0.13055555555555556, -0.3824074074074074]","[0.10555555555555556, 0.2898148148148148, -0.1037037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[15.58047539999825, 18.53049689999898, 22.097170900000492]",0.0014308099780464545,22.09853290997853,['A1'],['B1'],['C1'],['salmon'],['blue'],['yellow'],135.8606221999944,None,10.0,5.730075700004818,135.8606221999944,None,141.67708129999664,None,7.0,9.76444420000189,152.9933724999937,None,4.0,12.165149400003429,164.89724679999927,None,8.0,5.514618599998357,<function functionImportanceCt at 0x000001CB1DBE9EA0>,<function functionImportanceBt at 0x000001CB1DBE9B70>,<function functionImportanceAt at 0x000001CB10A81E18>,180.37615639999422,None,7.0,6.730672799996682,4.0,4.047191699995892,3.0,5.514618599998357,<function functiondiffBt at 0x000001CB1DE212F0>,<function functiondiffCt at 0x000001CB1DE21D90>,<function functiondiffAt at 0x000001CB1DE21840>,,,,,,,,,,,,28,001,2022_Jul_20_1810,2leo,2021.2.3,59.98616718839323,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,183.84277499999735,None,184.8428203000003,None,190.8426072000002,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",196.89188920000015,21.023983349972696,12.591599849976774,26.624511549976887,"[-0.13333333333333333, 0.05462962962962963, -0.32222222222222224]","[-0.3314814814814815, 0.43425925925925923, 0.11296296296296296]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[12.57859049999388, 21.01137139999628, 26.61145079999551]",0.012065149974660017,26.62327584997547,['A2'],['B3'],['C1'],['salmon'],['blue'],['yellow'],223.95836079999572,None,10.0,3.63035200000013,223.95836079999572,None,229.07470349999494,None,9.0,10.19723779999913,239.57479590000003,None,4.0,11.69832740000129,251.4928959999961,None,7.0,8.748300000006566,<function functionImportanceCt at 0x000001CB0D9231E0>,<function functionImportanceBt at 0x000001CB1DBE99D8>,<function functionImportanceAt at 0x000001CB1DBE9D90>,271.80725139999413,None,4.0,6.181103700000676,2.0,7.197797300003003,3.0,8.748300000006566,<function functiondiffAt at 0x000001CB1DE21A60>,<function functiondiffCt at 0x000001CB1DE219D8>,<function functiondiffBt at 0x000001CB1DE21AE8>,,,,,,,,,,,,28,001,2022_Jul_20_1810,2leo,2021.2.3,59.98616718839323,
3,42,Plan how to draw a painting ,Stimuli/42A1.jpg,Stimuli/42A2.jpg,Stimuli/42A3.jpg,Stimuli/42B1.jpg,Stimuli/42B2.jpg,Stimuli/42B3.jpg,Stimuli/42C1.jpg,Stimuli/42C2.jpg,Stimuli/42C3.jpg,,,,,0,0,0,42,,,,,,,,370.2483216999972,None,371.2380712999948,None,377.23777659999905,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,33.575336890011386,11.475987890007673,37.29208029000438,"[-0.22962962962962963, 0.32407407407407407, -0.3861111111111111]","[0.3731481481481482, -0.24351851851851852, 0.10462962962962963]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[11.472443400001794, 33.57189709999511, 37.2882677000016]",0.0028360900105326436,37.29108079001162,['A3'],['B1'],['C1'],['yellow'],['blue'],['salmon'],416.3198521999948,None,5.0,6.895987500000047,416.3198521999948,None,423.3197929999951,None,6.0,12.797233700002835,442.50278969999636,None,3.0,5.781604100004188,436.30330619999586,None,5.0,6.365052000001015,<function functionImportanceC at 0x000001CB1E0B5C80>,<function functionImportanceA at 0x000001CB1DBE9F28>,<function functionImportanceB at 0x000001CB1DE21BF8>,,,3.0,7.980394300000626,10.0,6.365052000001015,10.0,6.38135450000118,<function functiondiffB at 0x000001CB1DE21378>,<function functiondiffA at 0x000001CB1DE21620>,<function functiondiffC at 0x000001CB1DE21510>,277.1236359999966,None,277.1236359999966,None,378.54850639999495,448.2357617999951,None,456.2855563999983,None,462.65221629999724,None,28,001,2022_Jul_20_1810,2leo,2021.2.3,59.98616718839323,
3,31,Plan your order at a restaurant    ,Stimuli/31A1.jpg,Stimuli/31A2.jpg,Stimuli/31A3.jpg,Stimuli/31B1.jpg,Stimuli/31B2.jpg,Stimuli/31B3.jpg,Stimuli/31C1.jpg,Stimuli/31C2.jpg,Stimuli/31C3.jpg,,,,,0,1,1,31,,,,,,,,465.8520231999937,None,466.852095299997,None,472.85195729999396,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,12.99322345998371,7.376942459981365,25.52693395998358,"[0.3435185185185185, 0.09259259259259259, -0.30648148148148147]","[-0.006481481481481481, 0.3712962962962963, 0.13518518518518519]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.362427699998079, 12.97877840000001, 25.512149199996202]",0.01370175998454215,25.52559605998249,['A2'],['B2'],['C1'],['salmon'],['blue'],['yellow'],501.4176792999933,None,8.0,3.313315600003989,501.4176792999933,None,504.8345246999961,None,7.0,10.730869700004405,515.5508784999984,None,9.0,3.6488083000003826,520.6172015999982,None,4.0,5.798506899998756,<function functionImportanceC at 0x000001CB1E0B5488>,<function functionImportanceB at 0x000001CB1D4989D8>,<function functionImportanceA at 0x000001CB156E1E18>,,,0.0,5.913993499998469,5.0,5.798506899998756,1.0,5.09769740000047,<function functiondiffB at 0x000001CB1E0B5B70>,<function functiondiffC at 0x000001CB1E0B5BF8>,<function functiondiffA at 0x000001CB1E0B5268>,,,,,475.4386755999949,525.0005629999941,None,537.1500681999969,None,530.9336296999973,None,28,001,2022_Jul_20_1810,2leo,2021.2.3,59.98616718839323,
3,33,Plan the items to decorate your Christmas tree,Stimuli/33A1.jpg,Stimuli/33A2.jpg,Stimuli/33A3.jpg,Stimuli/33B1.jpg,Stimuli/33B2.jpg,Stimuli/33B3.jpg,Stimuli/33C1.jpg,Stimuli/33C2.jpg,Stimuli/33C3.jpg,,,,,0,2,2,33,,,,,,,,541.4332861999937,None,542.4333521999943,None,548.4333544999972,None,"[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]",,28.331281119993946,34.86484931999439,23.565078019993962,"[-0.3574074074074074, 0.3287037037037037, -0.21388888888888888]","[-0.10277777777777777, 0.21851851851851853, -0.37222222222222223]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[23.551661999998032, 28.318557599995984, 34.85172039999452]",0.012321119997068308,34.86378901999706,['A1'],['B2'],['C3'],['salmon'],['yellow'],['blue'],585.4487511999978,None,3.0,2.9969676000036998,585.4487511999978,None,588.5321241999991,None,4.0,10.798633499995049,604.0652169999958,None,1.0,9.48159950000263,599.8984266999978,None,7.0,4.715040499999304,<function functionImportanceC at 0x000001CB1DE216A8>,<function functionImportanceA at 0x000001CB1DE21488>,<function functionImportanceB at 0x000001CB1DE21730>,,,7.0,2.998243999994884,8.0,4.715040499999304,8.0,5.9311650000017835,<function functiondiffC at 0x000001CB1E0B5620>,<function functiondiffB at 0x000001CB1E0B5950>,<function functiondiffA at 0x000001CB1DE211E0>,,,,,550.1255077999958,617.2149388999969,None,620.3646254999985,None,613.5315816999937,None,28,001,2022_Jul_20_1810,2leo,2021.2.3,59.98616718839323,
3,9,Plan a picnic with friends,Stimuli/9A1.jpg,Stimuli/9A2.jpg,Stimuli/9A3.jpg,Stimuli/9B1.jpg,Stimuli/9B2.jpg,Stimuli/9B3.jpg,Stimuli/9C1.jpg,Stimuli/9C2.jpg,Stimuli/9C3.jpg,,,,,0,3,3,9,,,,,,,,625.6810775999984,None,626.6811359999992,None,632.6811881999965,None,"[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",,22.733852559977095,29.950425359980727,12.118094459976419,"[0.36574074074074076, 0.35, -0.19722222222222222]","[0.27314814814814814, -0.28703703703703703, -0.3175925925925926]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[12.113625499994669, 22.730100599997968, 29.946373899998434]",0.003318359980767127,29.949613759978092,['A1'],['B1'],['C2'],['salmon'],['yellow'],['blue'],668.4967098999987,None,8.0,2.9978638000029605,668.4967098999987,None,679.9015107999949,None,6.0,9.798103599998285,689.5126318999974,None,7.0,10.748023699998157,673.0633462999976,None,8.0,6.846445400005905,<function functionImportanceA at 0x000001CB1E0B5730>,<function functionImportanceC at 0x000001CB1E0B5158>,<function functionImportanceB at 0x000001CB1E0B50D0>,,,7.0,3.481183999996574,-0.0,6.846445400005905,3.0,4.364426500003901,<function functiondiffB at 0x000001CB1E0B5598>,<function functiondiffA at 0x000001CB1DE21F28>,<function functiondiffC at 0x000001CB1E0B5EA0>,,,,,638.0863245,699.3626970999976,None,702.9314709999962,None,707.3291183999972,None,28,001,2022_Jul_20_1810,2leo,2021.2.3,59.98616718839323,
3,7,Plan your Sunday breakfast ,Stimuli/7A1.jpg,Stimuli/7A2.jpg,Stimuli/7A3.jpg,Stimuli/7B1.jpg,Stimuli/7B2.jpg,Stimuli/7B3.jpg,Stimuli/7C1.jpg,Stimuli/7C2.jpg,Stimuli/7C3.jpg,,,,,0,4,4,7,,,,,,,,710.445513599996,None,711.4457542999953,None,717.4456390999985,None,"[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]",,23.232894539978588,34.63249753997661,41.266205339976295,"[-0.14907407407407408, 0.2722222222222222, -0.38055555555555554]","[0.28425925925925927, -0.21296296296296297, 0.1648148148148148]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[23.21598919999815, 34.61538680000376, 41.248806100004]",0.016299039976729546,41.26453223997669,['A3'],['B2'],['C3'],['yellow'],['blue'],['salmon'],765.1774921999968,None,1.0,4.56303449999541,765.1774921999968,None,785.610431299996,None,6.0,5.481930300004024,771.744091499997,None,9.0,7.214045500004431,778.8769848999946,None,9.0,7.2818556999991415,<function functionImportanceB at 0x000001CB1E0B5048>,<function functionImportanceA at 0x000001CB1E0B58C8>,<function functionImportanceC at 0x000001CB1E0B5378>,,,10.0,3.8979586999994353,10.0,7.2818556999991415,10.0,5.814314299997932,<function functiondiffC at 0x000001CB1E0B5E18>,<function functiondiffA at 0x000001CB1E0B5840>,<function functiondiffB at 0x000001CB1E0B5D08>,,,,,723.4648577999978,802.9433071999956,None,796.9601514999958,None,790.160261099998,None,28,001,2022_Jul_20_1810,2leo,2021.2.3,59.98616718839323,
3,37,Plan your cleaning routine ,Stimuli/37A1.jpg,Stimuli/37A2.jpg,Stimuli/37A3.jpg,Stimuli/37B1.jpg,Stimuli/37B2.jpg,Stimuli/37B3.jpg,Stimuli/37C1.jpg,Stimuli/37C2.jpg,Stimuli/37C3.jpg,,,,,0,5,5,37,,,,,,,,805.693022899999,None,806.6931364999982,None,812.6931646999947,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",,40.48324419999699,17.50075249999645,25.93395729999611,"[-0.3314814814814815, 0.10555555555555556, 0.4388888888888889]","[0.125, 0.3990740740740741, -0.041666666666666664]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[17.48389060000045, 25.916948899997806, 40.46672840000247]",0.015987599996151403,40.482570100000885,['A2'],['B3'],['C2'],['blue'],['salmon'],['yellow'],854.7919463999933,None,2.0,4.663804100004199,854.7919463999933,None,859.5419102999949,None,3.0,5.631265999996685,865.2250763999982,None,6.0,9.381283400005486,874.6247352999999,None,4.0,7.114867599993886,<function functionImportanceC at 0x000001CB1FF44158>,<function functionImportanceB at 0x000001CB1E0B5AE8>,<function functionImportanceA at 0x000001CB1E0B57B8>,,,5.0,3.564241400003084,3.0,7.114867599993886,6.0,4.247740699996939,<function functiondiffB at 0x000001CB1E0B59D8>,<function functiondiffA at 0x000001CB1E0B51E0>,<function functiondiffC at 0x000001CB1FF44950>,,,,,813.8420512999946,881.674669299995,None,885.2579138000001,None,889.5243664999944,None,28,001,2022_Jul_20_1810,2leo,2021.2.3,59.98616718839323,
3,22,Plan a beach day with your friends,Stimuli/22A1.jpg,Stimuli/22A2.jpg,Stimuli/22A3.jpg,Stimuli/22B1.jpg,Stimuli/22B2.jpg,Stimuli/22B3.jpg,Stimuli/22C1.jpg,Stimuli/22C2.jpg,Stimuli/22C3.jpg,,,,,0,6,6,22,,,,,,,,893.8407127999963,None,894.840946999997,None,900.8408807999949,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",,7.426470890000928,24.84323129000404,17.244402789998276,"[0.412962962962963, -0.3675925925925926, -0.32685185185185184]","[0.010185185185185186, 0.13240740740740742, -0.10092592592592593]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.413512699997227, 17.230848200000764, 24.829867100001138]",0.012552389998745639,24.842286290004267,['A1'],['B2'],['C2'],['blue'],['yellow'],['salmon'],927.289922099997,None,8.0,3.4633442999984254,927.289922099997,None,942.2729459999973,None,10.0,3.048584399999527,936.9898227999947,None,5.0,5.231776000000536,930.8233943999949,None,5.0,6.164234000003489,<function functionImportanceA at 0x000001CB1FF44598>,<function functionImportanceB at 0x000001CB1FF44400>,<function functionImportanceC at 0x000001CB1FF44620>,,,7.0,6.980851000000257,0.0,6.164234000003489,-0.0,6.114455800001451,<function functiondiffB at 0x000001CB1FF44AE8>,<function functiondiffC at 0x000001CB1FF44B70>,<function functiondiffA at 0x000001CB1FF447B8>,,,,,901.9746274999998,945.2895968999946,None,955.8059998999961,None,952.2894975999952,None,28,001,2022_Jul_20_1810,2leo,2021.2.3,59.98616718839323,
3,15,Plan your own Pasta for lunch,Stimuli/15A1.jpg,Stimuli/15A2.jpg,Stimuli/15A3.jpg,Stimuli/15B1.jpg,Stimuli/15B2.jpg,Stimuli/15B3.jpg,Stimuli/15C1.jpg,Stimuli/15C2.jpg,Stimuli/15C3.jpg,,,,,0,7,7,15,,,,,,,,961.4390033999953,None,962.4392716000002,None,968.4391218999954,None,"[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,15.877624029999424,28.060888629996043,18.878198329999577,"[0.2833333333333333, 0.07314814814814814, -0.22037037037037038]","[0.22592592592592592, 0.42685185185185187, 0.3509259259259259]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[15.87599179999961, 18.87599760000012, 28.059083699998155]",0.0010364299960201606,28.059975929994835,['A3'],['B2'],['C3'],['salmon'],['yellow'],['blue'],998.8547550999938,None,7.0,3.230322499999602,998.8547550999938,None,1015.2224957999933,None,8.0,7.098480499997095,1008.4713781999963,None,7.0,6.014300499999081,1002.2214697999952,None,5.0,6.314214699996228,<function functionImportanceA at 0x000001CB1DE21400>,<function functionImportanceB at 0x000001CB1E0B5A60>,<function functionImportanceC at 0x000001CB1FF44C80>,,,8.0,4.097899599997618,-0.0,6.314214699996228,7.0,5.464195799999288,<function functiondiffA at 0x000001CB1FF44048>,<function functiondiffB at 0x000001CB1E0B5F28>,<function functiondiffC at 0x000001CB1E0B5D90>,,,,,970.3271574999962,1027.087543099995,None,1021.6043286999993,None,1031.3370380999986,None,28,001,2022_Jul_20_1810,2leo,2021.2.3,59.98616718839323,
