Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffB_response,slider_diffB_rt,slider_diffC_response,slider_diffC_rt,slider_diffA_response,slider_diffA_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffB_started,question_diffB_stopped,question_diffC_started,question_diffC_stopped,question_diffA_started,question_diffA_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,33.250039599995944,None,1,[1.33727540000109],[1.3372792000009213],33.250039599995944,None,104.32291149999946,None,105.32538609999756,None,111.3254772000073,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",115.35332130000461,12.214503999988665,15.16498019998835,7.082163499988383,"[-0.15185185185185185, 0.2601851851851852, 0.10462962962962963]","[0.2953703703703704, 0.21851851851851853, 0.37777777777777777]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.068100399992545, 12.201126899992232, 15.1513372999907]",0.012953499986906536,15.163981399993645,['A1'],['B1'],['C2'],['yellow'],['blue'],['salmon'],130.97471890000452,None,9.0,4.413421499994001,130.97471890000452,None,137.02473610000743,None,6.0,14.697400699995342,150.1908747999987,None,10.0,2.664749199990183,154.1409377999953,None,4.0,4.348358699993696,<function functionImportanceBt at 0x000002A33A201E18>,<function functionImportanceCt at 0x000002A347371A60>,<function functionImportanceAt at 0x000002A33D7D7268>,173.4570570000069,None,5.0,8.94736269999703,8.0,6.831327099993359,0.0,4.348358699993696,<function functiondiffBt at 0x000002A347623598>,<function functiondiffCt at 0x000002A347623A60>,<function functiondiffAt at 0x000002A347623F28>,,,,,,,,,,,,29,001,2022_Jul_21_1016,2leo,2021.2.3,59.986563008828796,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,179.30691220000153,None,180.30693200000678,None,186.30684279999696,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",192.40943179999886,13.823714339989237,17.774147339980118,9.691212039979291,"[-0.16296296296296298, 0.07222222222222222, -0.3472222222222222]","[0.28703703703703703, 0.37962962962962965, 0.08148148148148149]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.679964800001471, 13.81290839999565, 17.763175599990063]",0.010292939987266436,17.77315563998127,['A2'],['B1'],['C1'],['blue'],['salmon'],['yellow'],210.63926379999612,None,10.0,9.230471599992597,210.63926379999612,None,221.65592869999819,None,9.0,11.397658200003207,238.1887590999977,None,8.0,9.765127300008317,233.25543330000073,None,10.0,5.365059300005669,<function functionImportanceBt at 0x000002A347371E18>,<function functionImportanceAt at 0x000002A3370931E0>,<function functionImportanceCt at 0x000002A347371BF8>,257.20482820000325,None,1.0,5.297980999996071,7.0,6.697926199994981,0.0,5.365059300005669,<function functiondiffCt at 0x000002A3476231E0>,<function functiondiffAt at 0x000002A347623400>,<function functiondiffBt at 0x000002A347623378>,,,,,,,,,,,,29,001,2022_Jul_21_1016,2leo,2021.2.3,59.986563008828796,
3,42,Plan how to draw a painting ,Stimuli/42A1.jpg,Stimuli/42A2.jpg,Stimuli/42A3.jpg,Stimuli/42B1.jpg,Stimuli/42B2.jpg,Stimuli/42B3.jpg,Stimuli/42C1.jpg,Stimuli/42C2.jpg,Stimuli/42C3.jpg,,,,,0,0,0,42,,,,,,,,321.1017511999962,None,322.0866168000066,None,328.08637600000657,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,7.640549979987554,15.490980379996472,23.97472657999606,"[-0.14444444444444443, 0.08148148148148149, 0.2777777777777778]","[-0.27870370370370373, 0.41203703703703703, 0.24074074074074073]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.634833999996772, 15.484802999999374, 23.968347799993353]",0.005290479995892383,23.973241479994613,['A1'],['B3'],['C3'],['blue'],['yellow'],['salmon'],353.9021538000088,None,6.0,4.461577599999146,353.9021538000088,None,363.71878399999696,None,7.0,3.515036000011605,358.4522089999955,None,10.0,5.247621299989987,367.4353683000081,None,1.0,9.61453390000679,<function functionImportanceC at 0x000002A3477BAC80>,<function functionImportanceB at 0x000002A347623C80>,<function functionImportanceA at 0x000002A3473719D8>,,,3.0,6.163810300000478,-0.0,9.61453390000679,10.0,2.6644096999953035,<function functiondiffB at 0x000002A347623D90>,<function functiondiffC at 0x000002A347623510>,<function functiondiffA at 0x000002A347623730>,261.621455600005,None,261.621455600005,None,329.43414140000823,376.81848630000604,None,383.00159410000197,None,386.36830180000106,None,29,001,2022_Jul_21_1016,2leo,2021.2.3,59.986563008828796,
3,27,Plan what festival to visit with your friends,Stimuli/27A1.jpg,Stimuli/27A2.jpg,Stimuli/27A3.jpg,Stimuli/27B1.jpg,Stimuli/27B2.jpg,Stimuli/27B3.jpg,Stimuli/27C1.jpg,Stimuli/27C2.jpg,Stimuli/27C3.jpg,,,,,0,1,1,27,,,,,,,,388.51794849999715,None,389.5179257999989,None,395.5179416000028,None,"[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",,9.913188919992535,17.696671319994493,22.996755820000544,"[-0.14814814814814814, 0.07037037037037037, -0.3648148148148148]","[-0.2962962962962963, 0.3212962962962963, 0.1675925925925926]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.905357800002093, 17.68847610001103, 22.988530700007686]",0.007303519989363849,22.995557419999386,['A2'],['B3'],['C1'],['salmon'],['yellow'],['blue'],420.1337138999952,None,9.0,5.813526900004945,420.1337138999952,None,426.0171597000008,None,7.0,12.530831700001727,445.31654759999947,None,1.0,6.798412200005259,438.56684090000635,None,9.0,6.731667299987748,<function functionImportanceB at 0x000002A347330EA0>,<function functionImportanceA at 0x000002A346C8A9D8>,<function functionImportanceC at 0x000002A3477BA8C8>,,,7.0,3.297966500002076,0.0,6.731667299987748,3.0,2.8980562999931863,<function functiondiffB at 0x000002A3477BA620>,<function functiondiffA at 0x000002A3477BA268>,<function functiondiffC at 0x000002A3477BAAE8>,,,,,396.6601260000025,452.09945180000796,None,458.33294860000024,None,455.4164783000015,None,29,001,2022_Jul_21_1016,2leo,2021.2.3,59.986563008828796,
3,0,Plan a barbecue,Stimuli/0A1.jpg,Stimuli/0A2.jpg,Stimuli/0A3.jpg,Stimuli/0B1.jpg,Stimuli/0B2.jpg,Stimuli/0B3.jpg,Stimuli/0C1.jpg,Stimuli/0C2.jpg,Stimuli/0C3.jpg,,,,,0,2,2,0,,,,,,,,464.28262320000795,None,465.2827502,None,471.28273390000686,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",,23.00380822000443,15.22072671999922,11.237559319997672,"[0.33796296296296297, -0.3296296296296296, 0.26944444444444443]","[0.003703703703703704, -0.08518518518518518, 0.18981481481481483]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[11.227816099999472, 15.21130959999573, 22.99458919999597]",0.00872061999689322,23.003031319996808,['A2'],['B1'],['C2'],['blue'],['salmon'],['yellow'],497.24844419999863,None,8.0,6.96363559999736,497.24844419999863,None,504.2818627000088,None,2.0,4.464323299995158,515.7315390000003,None,2.0,20.58095879999746,510.09845170000335,None,8.0,6.948322999989614,<function functionImportanceB at 0x000002A3477BA1E0>,<function functionImportanceA at 0x000002A347623D08>,<function functionImportanceC at 0x000002A3477BA9D8>,,,7.0,8.463988700008485,2.0,6.948322999989614,8.0,5.3147119999921415,<function functiondiffB at 0x000002A3477BA730>,<function functiondiffC at 0x000002A3477BAEA0>,<function functiondiffA at 0x000002A3477BA158>,,,,,473.78531920000387,536.2976980000094,None,544.7808378000045,None,548.347162799997,None,29,001,2022_Jul_21_1016,2leo,2021.2.3,59.986563008828796,
3,28,Plan a one-week camping trip in Spain,Stimuli/28A1.jpg,Stimuli/28A2.jpg,Stimuli/28A3.jpg,Stimuli/28B1.jpg,Stimuli/28B2.jpg,Stimuli/28B3.jpg,Stimuli/28C1.jpg,Stimuli/28C2.jpg,Stimuli/28C3.jpg,,,,,0,3,3,28,,,,,,,,552.7636321000027,None,553.7637314000021,None,559.7636739000009,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,16.12930349999806,6.263565999994171,25.17982900000061,"[0.33796296296296297, 0.25925925925925924, 0.2388888888888889]","[0.005555555555555556, -0.20185185185185187, 0.20092592592592592]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.247176200005924, 16.11335300000792, 25.163074600000982]",0.015531299999565817,25.1785785999964,['A1'],['B3'],['C3'],['blue'],['yellow'],['salmon'],586.5628218000056,None,6.0,6.579683899995871,586.5628218000056,None,593.2128173000092,None,7.0,10.347514599998249,607.5290701000049,None,2.0,3.664921100003994,603.6126078000088,None,2.0,3.9483216000080574,<function functionImportanceB at 0x000002A347623EA0>,<function functionImportanceA at 0x000002A347623488>,<function functionImportanceC at 0x000002A3477BAD90>,,,2.0,2.8148090000031516,8.0,3.9483216000080574,9.0,4.398179299998446,<function functiondiffC at 0x000002A347623BF8>,<function functiondiffA at 0x000002A3477BABF8>,<function functiondiffB at 0x000002A3476236A8>,,,,,560.9136451000086,618.7453891000041,None,611.1957456999953,None,614.3287462000008,None,29,001,2022_Jul_21_1016,2leo,2021.2.3,59.986563008828796,
3,1,Plan how to study for an exam,Stimuli/1A1.jpg,Stimuli/1A2.jpg,Stimuli/1A3.jpg,Stimuli/1B1.jpg,Stimuli/1B2.jpg,Stimuli/1B3.jpg,Stimuli/1C1.jpg,Stimuli/1C2.jpg,Stimuli/1C3.jpg,,,,,0,4,4,1,,,,,,,,621.0786116999952,None,622.078579699999,None,628.0786536000087,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]",,29.02659766000579,6.794032560006599,18.877030860006926,"[0.4148148148148148, -0.31851851851851853, 0.27870370370370373]","[0.009259259259259259, -0.16203703703703703, 0.23055555555555557]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.787735099991551, 18.870396799989976, 29.02059129999543]",0.005599860000074841,29.025838260000455,['A1'],['B1'],['C2'],['blue'],['salmon'],['yellow'],658.6942711000011,None,10.0,2.579875900002662,658.6942711000011,None,673.7107477999962,None,3.0,6.383022099995287,669.9440706000023,None,6.0,3.715034699998796,661.3444181000086,None,10.0,8.614208400002099,<function functionImportanceA at 0x000002A3477BA0D0>,<function functionImportanceC at 0x000002A347623620>,<function functionImportanceB at 0x000002A3477BA7B8>,,,7.0,3.5815494999988005,0.0,8.614208400002099,3.0,2.9479785000003176,<function functiondiffC at 0x000002A3002DF730>,<function functiondiffA at 0x000002A3477BAB70>,<function functiondiffB at 0x000002A3477BA950>,,,,,629.1887262000091,690.7270002000005,None,680.0604748000042,None,687.760368800009,None,29,001,2022_Jul_21_1016,2leo,2021.2.3,59.986563008828796,
3,10,Plan a restaurant visit with your family on the weekend ,Stimuli/10A1.jpg,Stimuli/10A2.jpg,Stimuli/10A3.jpg,Stimuli/10B1.jpg,Stimuli/10B2.jpg,Stimuli/10B3.jpg,Stimuli/10C1.jpg,Stimuli/10C2.jpg,Stimuli/10C3.jpg,,,,,0,5,5,10,,,,,,,,693.8266189999995,None,694.8267230000056,None,700.8267573000048,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]",,14.468062600004487,25.184846600008314,7.102096700007678,"[0.34074074074074073, 0.07962962962962963, 0.3962962962962963]","[-0.2564814814814815, -0.37037037037037035, 0.016666666666666666]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.0863842999970075, 14.452814999996917, 25.169554099993547]",0.01460340000630822,25.183853500013356,['A3'],['B1'],['C3'],['blue'],['salmon'],['yellow'],730.4922728999954,None,7.0,3.079931900007068,730.4922728999954,None,745.426159900002,None,2.0,6.764773699993384,738.7089014000085,None,7.0,3.93155010000919,733.7423965000053,None,10.0,5.064478400003281,<function functionImportanceA at 0x000002A3477BA378>,<function functionImportanceC at 0x000002A3002DF2F0>,<function functionImportanceB at 0x000002A3002DF598>,,,2.0,7.91460509999888,5.0,5.064478400003281,1.0,4.830199000003631,<function functiondiffC at 0x000002A3002DF620>,<function functiondiffA at 0x000002A3476230D0>,<function functiondiffB at 0x000002A3477BAF28>,,,,,704.8541142000031,760.5749477000063,None,749.4253363000025,None,754.9251615999965,None,29,001,2022_Jul_21_1016,2leo,2021.2.3,59.986563008828796,
3,18,Plan your Saturday night ,Stimuli/18A1.jpg,Stimuli/18A2.jpg,Stimuli/18A3.jpg,Stimuli/18B1.jpg,Stimuli/18B2.jpg,Stimuli/18B3.jpg,Stimuli/18C1.jpg,Stimuli/18C2.jpg,Stimuli/18C3.jpg,,,,,0,6,6,18,,,,,,,,767.1911688999971,None,768.191625300009,None,774.1917052000063,None,"[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",,15.725258020000183,8.525719720011693,25.14201462001074,"[-0.1712962962962963, 0.08981481481481482, -0.30648148148148147]","[0.2824074074074074, 0.3425925925925926, 0.14814814814814814]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.511802599998191, 15.711389499992947, 25.127719800002524]",0.013223720001406036,25.14088062000519,['A3'],['B1'],['C1'],['salmon'],['yellow'],['blue'],800.940643199996,None,4.0,6.580239100003382,800.940643199996,None,818.1736478000093,None,10.0,3.8651565999898594,807.5906222000049,None,0.0,3.9806777000048896,811.5905353999988,None,9.0,6.53162130000419,<function functionImportanceC at 0x000002A3002DF9D8>,<function functionImportanceA at 0x000002A33EDA3E18>,<function functionImportanceB at 0x000002A3002DFAE8>,,,10.0,5.364414899988333,0.0,6.53162130000419,6.0,8.831139899994014,<function functiondiffB at 0x000002A3477BA840>,<function functiondiffC at 0x000002A347623E18>,<function functiondiffA at 0x000002A3477BAD08>,,,,,775.3288960000064,821.9735251000093,None,827.3733520000096,None,830.2066474000021,None,29,001,2022_Jul_21_1016,2leo,2021.2.3,59.986563008828796,
3,37,Plan your cleaning routine ,Stimuli/37A1.jpg,Stimuli/37A2.jpg,Stimuli/37A3.jpg,Stimuli/37B1.jpg,Stimuli/37B2.jpg,Stimuli/37B3.jpg,Stimuli/37C1.jpg,Stimuli/37C2.jpg,Stimuli/37C3.jpg,,,,,0,7,7,37,,,,,,,,838.556161200002,None,839.5561720999976,None,845.5562930000015,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]",,11.186331139993854,18.286242240006686,7.620569539998542,"[-0.1527777777777778, -0.37962962962962965, 0.07685185185185185]","[0.3175925925925926, -0.1574074074074074, -0.34444444444444444]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.617489500000374, 11.183765199995833, 18.283501400001114]",0.0020719400054076687,18.285385340001085,['A2'],['B1'],['C2'],['salmon'],['blue'],['yellow'],865.4555110000074,None,9.0,3.379807300007087,865.4555110000074,None,877.5221446000069,None,8.0,6.515080500001204,884.0552462000051,None,1.0,2.647223199994187,868.9054835999996,None,1.0,8.614741499986849,<function functionImportanceA at 0x000002A3002DFC80>,<function functionImportanceB at 0x000002A3002DFA60>,<function functionImportanceC at 0x000002A3002DFD08>,,,-0.0,2.6811535000015283,3.0,8.614741499986849,0.0,5.481414299996686,<function functiondiffA at 0x000002A3002DF400>,<function functiondiffC at 0x000002A3002DFF28>,<function functiondiffB at 0x000002A3002DF1E0>,,,,,846.6868582000025,895.3882924000063,None,892.2050099000044,None,886.7052588000079,None,29,001,2022_Jul_21_1016,2leo,2021.2.3,59.986563008828796,
