Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffC_response,slider_diffC_rt,slider_diffB_response,slider_diffB_rt,slider_diffA_response,slider_diffA_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffC_started,question_diffC_stopped,question_diffB_started,question_diffB_stopped,question_diffA_started,question_diffA_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,23.086632300008205,None,1,[2.4021126000006916],[2.402115999997477],23.086632300008205,None,56.33411770001112,None,57.343780700000934,None,63.343618400002015,None,"[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]",67.32686400000239,4.161061650185729,3.527760750192101,2.612703450184199,"[0.27870370370370373, 0.32592592592592595, 0.3148148148148148]","[0.2916666666666667, 0.07314814814814814, -0.2361111111111111]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.5998205999931088, 3.5151115999906324, 4.148593699996127]",0.011940850192331709,4.993584050185746,['A2'],['B1'],['C1'],['yellow'],['blue'],['salmon'],72.77647280000383,None,10.0,1.7154941000044346,72.77647280000383,None,74.56126840000798,None,10.0,2.731341799997608,78.58189729999867,None,10.0,3.381753800000297,82.25976749999973,None,10.0,2.998389899992617,<function functionImportanceCt at 0x0000025819C01A60>,<function functionImportanceAt at 0x00000258102C4268>,<function functionImportanceBt at 0x000002580CB11E18>,88.4761381999997,None,10.0,1.98118109999632,10.0,2.3150775999965845,10.0,3.381753800000297,<function functiondiffCt at 0x0000025819BA6048>,<function functiondiffBt at 0x000002581A073C80>,<function functiondiffAt at 0x000002581A073D08>,,,,,,,,,,,,30,001,2022_Jul_21_1117,2leo,2021.2.3,60.00553250681822,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,90.25957490000292,None,91.25947109999834,None,97.25954890000867,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",103.32618119999825,1.5148983503313502,2.498524950337014,3.3488682503375458,"[0.4425925925925926, 0.37777777777777777, 0.14629629629629629]","[0.009259259259259259, -0.17314814814814813, -0.32222222222222224]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.498306199995568, 2.4816133999993326, 3.3316875000018626]",0.016079950335551985,4.997325450342032,['A2'],['B3'],['C3'],['salmon'],['blue'],['yellow'],108.775426600012,None,10.0,2.015165300006629,108.775426600012,None,116.5919842000003,None,10.0,3.5484081000031438,112.75898779999989,None,10.0,4.281357100000605,120.45872180000879,None,10.0,3.798579199996311,<function functionImportanceAt at 0x0000025819C016A8>,<function functionImportanceCt at 0x000002587F9931E0>,<function functionImportanceBt at 0x0000025819C01E18>,127.74187410000013,None,10.0,2.6148525000025984,10.0,2.2144755000044825,10.0,4.281357100000605,<function functiondiffAt at 0x000002581A073E18>,<function functiondiffBt at 0x000002581A073BF8>,<function functiondiffCt at 0x000002581A073EA0>,,,,,,,,,,,,30,001,2022_Jul_21_1117,2leo,2021.2.3,60.00553250681822,
3,35,Plan how you want to do your grocery shopping ,Stimuli/35A1.jpg,Stimuli/35A2.jpg,Stimuli/35A3.jpg,Stimuli/35B1.jpg,Stimuli/35B2.jpg,Stimuli/35B3.jpg,Stimuli/35C1.jpg,Stimuli/35C2.jpg,Stimuli/35C3.jpg,,,,,0,0,0,35,,,,,,,,145.52295700000832,None,146.50805499999842,None,152.5081050000008,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",,12.052652950005722,9.436104050007998,12.719907350008725,"[0.3425925925925926, -0.15925925925925927, -0.31296296296296294]","[-0.21296296296296297, 0.3435185185185185, 0.20555555555555555]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.424353499998688, 12.040978700009873, 12.707734399999026]",0.01095575001090765,12.718511750004836,['A3'],['B1'],['C3'],['yellow'],['blue'],['salmon'],166.97395700000925,None,8.0,5.145707499992568,166.97395700000925,None,194.87334590000683,None,10.0,6.8315546000085305,172.25973190000514,None,10.0,15.964049599991995,188.27365360000113,None,10.0,6.664776299992809,<function functionImportanceA at 0x0000025819C01D08>,<function functionImportanceB at 0x000002581A073F28>,<function functionImportanceC at 0x0000025819BA61E0>,,,10.0,15.964049599991995,0.0,6.830866600008449,-0.0,4.481040700004087,<function functiondiffC at 0x000002581A0730D0>,<function functiondiffB at 0x000002581A0736A8>,<function functiondiffA at 0x000002581A073510>,129.4587032999989,None,129.4587032999989,None,153.78314320000936,201.65669250000792,None,207.72323490001145,None,214.55635680000705,None,30,001,2022_Jul_21_1117,2leo,2021.2.3,60.00553250681822,
3,17,Plan a day in Barcelona with a friend who is new to the city,Stimuli/17A1.jpg,Stimuli/17A2.jpg,Stimuli/17A3.jpg,Stimuli/17B1.jpg,Stimuli/17B2.jpg,Stimuli/17B3.jpg,Stimuli/17C1.jpg,Stimuli/17C2.jpg,Stimuli/17C3.jpg,,,,,0,1,1,17,,,,,,,,218.5560417000088,None,219.5560933000088,None,225.5560289999994,None,"[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]",,19.74134375002177,5.491696950019104,7.475378050017753,"[0.34814814814814815, -0.20092592592592592, 0.38981481481481484, 0.38981481481481484, 0.38981481481481484, 0.38981481481481484, -0.25555555555555554, -0.2962962962962963]","[0.2712962962962963, -0.2851851851851852, -0.025, 0.004629629629629629, 0.005555555555555556, 0.006481481481481481, 0.38333333333333336, -0.075]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[5.485925400003907, 7.469252299997606, 11.252534600003855, 12.785911899991333, 12.952745100003085, 13.135793399997056, 14.73580629999924, 19.735630299997865]",0.005048150022048503,19.740633250024985,['A3'],['B1'],['C2'],['salmon'],['yellow'],['blue'],246.95527850001235,None,10.0,4.2306325000099605,246.95527850001235,None,255.4549842000124,None,10.0,3.41487569999299,251.28867230001197,None,-0.0,4.180862699999125,258.88850270000694,None,10.0,3.2316865000029793,<function functionImportanceA at 0x0000025819AC0EA0>,<function functionImportanceC at 0x000002581A0731E0>,<function functionImportanceB at 0x000002581A073730>,,,0.0,4.180862699999125,-0.0,3.2473532000003615,0.0,8.614670099996147,<function functiondiffB at 0x000002581A0732F0>,<function functiondiffC at 0x0000025819BA6EA0>,<function functiondiffA at 0x000002581A073488>,,,,,226.73438790001092,265.3549789000099,None,262.1050308999984,None,274.80466900000465,None,30,001,2022_Jul_21_1117,2leo,2021.2.3,60.00553250681822,
3,1,Plan how to study for an exam,Stimuli/1A1.jpg,Stimuli/1A2.jpg,Stimuli/1A3.jpg,Stimuli/1B1.jpg,Stimuli/1B2.jpg,Stimuli/1B3.jpg,Stimuli/1C1.jpg,Stimuli/1C2.jpg,Stimuli/1C3.jpg,,,,,0,2,2,1,,,,,,,,282.93738680001115,None,283.93763610000315,None,289.9377577999985,None,"[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]",,6.661151300009806,11.212927700020373,10.311421900012647,"[0.2851851851851852, 0.31851851851851853, 0.30833333333333335]","[-0.20092592592592592, 0.001851851851851852, 0.2101851851851852]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.6462310000060825, 10.295889700006228, 11.197634300013306]",0.014413500015507452,11.21020880001015,['A2'],['B3'],['C3'],['blue'],['salmon'],['yellow'],302.7535907999991,None,10.0,2.4455140000063693,302.7535907999991,None,313.6202496000042,None,10.0,3.914949300000444,317.5868355999992,None,10.0,6.481774300002144,305.2538973000046,None,10.0,8.380936700006714,<function functionImportanceB at 0x0000025819BA68C8>,<function functionImportanceC at 0x0000025819BA62F0>,<function functionImportanceA at 0x0000025819BA6AE8>,,,-0.0,6.481774300002144,-0.0,2.481287799993879,-0.0,2.0146356000041123,<function functiondiffC at 0x0000025811745E18>,<function functiondiffA at 0x0000025819E759D8>,<function functiondiffB at 0x00000258193A2F28>,,,,,291.0557606000075,324.03687180001,None,329.98675780001213,None,327.969951600011,None,30,001,2022_Jul_21_1117,2leo,2021.2.3,60.00553250681822,
3,31,Plan your order at a restaurant    ,Stimuli/31A1.jpg,Stimuli/31A2.jpg,Stimuli/31A3.jpg,Stimuli/31B1.jpg,Stimuli/31B2.jpg,Stimuli/31B3.jpg,Stimuli/31C1.jpg,Stimuli/31C2.jpg,Stimuli/31C3.jpg,,,,,0,3,3,31,,,,,,,,332.00299940000696,None,333.0033115000115,None,339.0030189000099,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]",,20.956894900111365,32.65719690010883,24.974033000107738,"[-0.4212962962962963, 0.36666666666666664, 0.11388888888888889]","[0.17407407407407408, 0.026851851851851852, 0.48055555555555557]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[20.944492299997364, 24.961246200007736, 32.64464230000158]",0.011788900097599253,32.65619180010981,['A3'],['B2'],['C2'],['salmon'],['yellow'],['blue'],374.73532050001086,None,10.0,9.43007220000436,374.73532050001086,None,384.26836130001175,None,-0.0,7.597802300006151,395.9349782000063,None,10.0,6.0985783000069205,391.85156320000533,None,10.0,2.6650941999978386,<function functionImportanceC at 0x0000025819BA6730>,<function functionImportanceB at 0x0000025819BA6BF8>,<function functionImportanceA at 0x0000025819BA6F28>,,,-0.0,6.0985783000069205,-0.0,5.04779550000967,3.0,10.081031099995016,<function functiondiffC at 0x0000025819BA6E18>,<function functiondiffA at 0x000002581A073AE8>,<function functiondiffB at 0x000002581A073620>,,,,,341.62206660000084,400.61809010000434,None,414.4843331000011,None,404.7347596000036,None,30,001,2022_Jul_21_1117,2leo,2021.2.3,60.00553250681822,
3,4,Plan a game night at your place,Stimuli/4A1.jpg,Stimuli/4A2.jpg,Stimuli/4A3.jpg,Stimuli/4B1.jpg,Stimuli/4B2.jpg,Stimuli/4B3.jpg,Stimuli/4C1.jpg,Stimuli/4C2.jpg,Stimuli/4C3.jpg,,,,,0,4,4,4,,,,,,,,419.0506705000007,None,420.05080799999996,None,426.05088570000953,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",,11.058602700155461,12.923742500148364,24.57381920015905,"[-0.24074074074074073, -0.36203703703703705, 0.2490740740740741]","[0.33796296296296297, -0.15648148148148147, 0.21203703703703702]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[11.042099700003746, 12.906958300009137, 24.556830700006685]",0.015907200155197643,24.572693100155448,['A3'],['B3'],['C2'],['blue'],['yellow'],['salmon'],454.5666529000009,None,3.0,4.0136002999934135,454.5666529000009,None,459.96657920000143,None,10.0,6.647709800003213,470.133908600008,None,4.0,5.981482599992887,465.28286360000493,None,10.0,3.76506919998792,<function functionImportanceC at 0x0000025819BA6C80>,<function functionImportanceB at 0x0000025819BA6A60>,<function functionImportanceA at 0x0000025819BA6598>,,,10.0,5.981482599992887,3.0,6.447567300012452,2.0,13.84778229999938,<function functiondiffA at 0x0000025819BA6488>,<function functiondiffC at 0x000002581A073D90>,<function functiondiffB at 0x0000025819BA69D8>,,,,,429.54335980000906,489.2990056999988,None,493.21565450000344,None,475.3993625000003,None,30,001,2022_Jul_21_1117,2leo,2021.2.3,60.00553250681822,
3,8,Plan the interior of your living-room ,Stimuli/8A1.jpg,Stimuli/8A2.jpg,Stimuli/8A3.jpg,Stimuli/8B1.jpg,Stimuli/8B2.jpg,Stimuli/8B3.jpg,Stimuli/8C1.jpg,Stimuli/8C2.jpg,Stimuli/8C3.jpg,,,,,0,5,5,8,,,,,,,,499.1817676000064,None,500.1821390000114,None,506.18205920000037,None,"[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",,27.273415600240696,10.090561500241165,19.390667400250095,"[-0.21203703703703702, -0.30925925925925923, -0.325]","[0.3416666666666667, 0.1648148148148148, -0.175]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.07513189999736, 19.37500159999763, 27.258231500003603]",0.014556400245055556,27.272523000239744,['A3'],['B3'],['C3'],['salmon'],['blue'],['yellow'],538.7809138000011,None,8.0,3.446767199988244,538.7809138000011,None,551.9806550000067,None,10.0,7.497954499995103,557.5138780999987,None,8.0,3.2650733000045875,544.0644558000058,None,10.0,7.664445199989132,<function functionImportanceB at 0x000002581BEDC1E0>,<function functionImportanceC at 0x000002581BEDC488>,<function functionImportanceA at 0x0000025819BA66A8>,,,2.0,3.2650733000045875,0.0,5.41439239999454,5.0,3.0648325999936787,<function functiondiffB at 0x0000025819BA6D08>,<function functiondiffA at 0x0000025819BA6D90>,<function functiondiffC at 0x000002581A073598>,,,,,511.05522370000836,569.8470297000022,None,561.2972378000122,None,566.1805147999985,None,30,001,2022_Jul_21_1117,2leo,2021.2.3,60.00553250681822,
3,25,Plan how you want to read a book in your free time ,Stimuli/25A1.jpg,Stimuli/25A2.jpg,Stimuli/25A3.jpg,Stimuli/25B1.jpg,Stimuli/25B2.jpg,Stimuli/25B3.jpg,Stimuli/25C1.jpg,Stimuli/25C2.jpg,Stimuli/25C3.jpg,,,,,0,6,6,25,,,,,,,,587.846103200005,None,588.8466398000019,None,594.846380300005,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",,40.986322100041434,18.103993600030662,25.503876600036165,"[-0.13425925925925927, 0.337037037037037, 0.07222222222222222]","[0.35833333333333334, -0.2814814814814815, -0.3861111111111111]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[18.090253400005167, 25.490068099999917, 40.9730389000033]",0.012831700034439564,40.98572580004111,['A1'],['B3'],['C1'],['blue'],['salmon'],['yellow'],637.8283639000001,None,9.0,6.463273200002732,637.8283639000001,None,653.1280502000009,None,10.0,2.7149398000037763,644.3615865000029,None,9.0,8.380541500009713,655.5612840000103,None,10.0,4.098451600002591,<function functionImportanceA at 0x000002581BEDC268>,<function functionImportanceC at 0x000002581BEDC6A8>,<function functionImportanceB at 0x000002581BEDC840>,,,-0.0,8.380541500009713,3.0,15.330719300007331,2.0,4.0479749999940395,<function functiondiffA at 0x000002581BEDC8C8>,<function functiondiffC at 0x000002581BEDCBF8>,<function functiondiffB at 0x000002581BEDCB70>,,,,,596.3833955000009,663.7278342000063,None,669.4777796000126,None,659.5778621000063,None,30,001,2022_Jul_21_1117,2leo,2021.2.3,60.00553250681822,
3,15,Plan your own Pasta for lunch,Stimuli/15A1.jpg,Stimuli/15A2.jpg,Stimuli/15A3.jpg,Stimuli/15B1.jpg,Stimuli/15B2.jpg,Stimuli/15B3.jpg,Stimuli/15C1.jpg,Stimuli/15C2.jpg,Stimuli/15C3.jpg,,,,,0,7,7,15,,,,,,,,684.3102467999997,None,685.3106258000043,None,691.3106460999988,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,8.792632550073904,13.947758050067932,18.909711050073383,"[0.29259259259259257, -0.3111111111111111, -0.13148148148148148]","[0.23796296296296296, -0.09722222222222222, -0.27037037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.782864700013306, 13.937725400013733, 18.89921360000153]",0.009288750065024942,18.908484350060462,['A1'],['B2'],['C3'],['yellow'],['blue'],['salmon'],712.6098275000113,None,9.0,6.1799828999937745,712.6098275000113,None,723.2763864000008,None,10.0,3.1814821000007214,718.9265054999996,None,2.0,3.680866700000479,725.7426848000032,None,3.0,5.181772199997795,<function functionImportanceA at 0x000002581BEDCC80>,<function functionImportanceC at 0x000002581BEDCD08>,<function functionImportanceB at 0x000002581BEDCA60>,,,0.0,3.680866700000479,2.0,5.014390200012713,10.0,6.71413659999962,<function functiondiffC at 0x0000025819BA6B70>,<function functiondiffA at 0x000002581A073840>,<function functiondiffB at 0x000002581BEDC7B8>,,,,,693.2423496999982,731.0760852000094,None,742.0592157000065,None,735.3260597000044,None,30,001,2022_Jul_21_1117,2leo,2021.2.3,60.00553250681822,
