Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffA_response,slider_diffA_rt,slider_diffC_response,slider_diffC_rt,slider_diffB_response,slider_diffB_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffB_started,question_diffB_stopped,question_diffC_started,question_diffC_stopped,question_diffA_started,question_diffA_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,21.753020100000867,None,1,[4.614181599999938],[4.614185500000531],21.753020100000867,None,75.66333640000084,None,76.67279419999977,None,82.6729604000011,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",86.65811630000098,6.469997220006917,3.7371548200062534,10.454246920005971,"[0.049074074074074076, 0.3648148148148148, 0.03611111111111111]","[0.34074074074074073, -0.011111111111111112, -0.37592592592592594]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.727397899998323, 6.460513299998638, 10.443948000000091]",0.00905842000611301,10.452803920006772,['A1'],['B1'],['C3'],['yellow'],['blue'],['salmon'],97.57205070000055,None,9.0,3.729479999999967,97.57205070000055,None,102.65714630000002,None,8.0,12.81400399999984,115.77174449999984,None,10.0,6.0480496999989555,120.28839970000081,None,8.0,2.598212099999728,<function functionImportanceAt at 0x0000017AF26DFA60>,<function functionImportanceBt at 0x0000017AF26DFD90>,<function functionImportanceCt at 0x0000017AE3101E18>,134.55476220000128,None,1.0,12.81400399999984,4.0,5.13161030000083,0.0,6.214644499999849,<function functiondiffAt at 0x0000017A83F40C80>,<function functiondiffCt at 0x0000017A83F40AE8>,<function functiondiffBt at 0x0000017A83F40D08>,,,,,,,,,,,,11,001,2022_Jul_12_1224,2leo,2021.2.3,60.01219447820375,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,139.83800350000092,None,140.8380027000003,None,146.8377797000012,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",153.00014230000124,7.112954660015021,15.779707460014833,11.113652060015738,"[-0.17037037037037037, 0.0787037037037037, -0.3509259259259259]","[0.35462962962962963, 0.3638888888888889, 0.10277777777777777]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.1031742000013764, 11.10325820000071, 15.769614900000306]",0.008895660015696194,15.778712660014207,['A2'],['B2'],['C3'],['salmon'],['blue'],['yellow'],169.2369744000007,None,9.0,3.7803943999988405,169.2369744000007,None,182.93672309999965,None,9.0,6.398378300000331,174.80375520000052,None,3.0,7.897748800000045,188.89001980000103,None,10.0,4.531804399999601,<function functionImportanceBt at 0x0000017AF26DFBF8>,<function functionImportanceAt at 0x0000017AF26DFE18>,<function functionImportanceCt at 0x0000017ADFF931E0>,201.16957170000023,None,2.0,6.398378300000331,0.0,2.381109699999797,8.0,5.34759369999847,<function functiondiffBt at 0x0000017A83F40BF8>,<function functiondiffAt at 0x0000017A83F40EA0>,<function functiondiffCt at 0x0000017A83F40D90>,,,,,,,,,,,,11,001,2022_Jul_12_1224,2leo,2021.2.3,60.01219447820375,
3,31,Plan your order at a restaurant    ,Stimuli/31A1.jpg,Stimuli/31A2.jpg,Stimuli/31A3.jpg,Stimuli/31B1.jpg,Stimuli/31B2.jpg,Stimuli/31B3.jpg,Stimuli/31C1.jpg,Stimuli/31C2.jpg,Stimuli/31C3.jpg,,,,,0,0,0,31,,,,,,,,272.1786382999999,None,273.16767849999997,None,279.1675316000001,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",,8.876654280005823,12.727072680005222,14.910626980004963,"[-0.38055555555555554, 0.425, 0.020370370370370372]","[0.125, 0.011111111111111112, 0.4111111111111111]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.870852800000648, 12.720915900001273, 14.904239000001326]",0.005359480004699435,14.909282180005903,['A1'],['B2'],['C2'],['blue'],['yellow'],['salmon'],297.20016170000054,None,9.0,3.1960971999997128,297.20016170000054,None,301.9525429000005,None,-0.0,5.397098699999333,305.933487100001,None,8.0,3.181797400000505,309.15014110000084,None,10.0,2.048127999998542,<function functionImportanceA at 0x0000017AF26DF9D8>,<function functionImportanceB at 0x0000017A83F40F28>,<function functionImportanceC at 0x0000017AF084EEA0>,,,8.0,2.0642876000001706,0.0,5.397098699999333,2.0,5.897384399999282,<function functiondiffB at 0x0000017A83F40E18>,<function functiondiffC at 0x0000017A83F40730>,<function functiondiffA at 0x0000017A83F406A8>,202.63609410000026,None,202.63609410000026,None,281.82991330000004,311.1166616999999,None,317.0332077000003,None,319.79982890000065,None,11,001,2022_Jul_12_1224,2leo,2021.2.3,60.01219447820375,
3,18,Plan your Saturday night ,Stimuli/18A1.jpg,Stimuli/18A2.jpg,Stimuli/18A3.jpg,Stimuli/18B1.jpg,Stimuli/18B2.jpg,Stimuli/18B3.jpg,Stimuli/18C1.jpg,Stimuli/18C2.jpg,Stimuli/18C3.jpg,,,,,0,1,1,18,,,,,,,,321.0330092000004,None,322.03313010000056,None,328.0329367000013,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",,19.305898120001075,4.0730608200010465,12.156732720000946,"[0.2777777777777778, -0.32592592592592595, -0.1814814814814815]","[0.24166666666666667, -0.15185185185185185, -0.3101851851851852]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.060400799999115, 12.143708299998252, 19.293577699998423]",0.011902520001967787,19.30520362000061,['A1'],['B2'],['C3'],['salmon'],['blue'],['yellow'],348.91561940000065,None,10.0,1.4967912000010983,348.91561940000065,None,350.51546510000117,None,10.0,5.397789299999204,358.4987524999997,None,10.0,1.9485253999991983,355.89861250000104,None,7.0,2.615141799999037,<function functionImportanceA at 0x0000017A83F40598>,<function functionImportanceC at 0x0000017A84071730>,<function functionImportanceB at 0x0000017A84071D08>,,,1.0,3.3474702999992587,3.0,5.397789299999204,-0.0,1.6310090999995737,<function functiondiffA at 0x0000017A83F40378>,<function functiondiffC at 0x0000017A840718C8>,<function functiondiffB at 0x0000017A83F40620>,,,,,329.13807110000016,367.9985367999998,None,363.83203500000127,None,360.4654472000002,None,11,001,2022_Jul_12_1224,2leo,2021.2.3,60.01219447820375,
3,39,Plan what kind of watch you want to buy,Stimuli/39A1.jpg,Stimuli/39A2.jpg,Stimuli/39A3.jpg,Stimuli/39B1.jpg,Stimuli/39B2.jpg,Stimuli/39B3.jpg,Stimuli/39C1.jpg,Stimuli/39C2.jpg,Stimuli/39C3.jpg,,,,,0,2,2,39,,,,,,,,369.1650045000006,None,370.1649613999998,None,376.1650922000008,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]",,17.067013039999438,7.267170339999211,23.73418024000057,"[-0.15462962962962962, 0.04537037037037037, -0.40185185185185185]","[0.375, -0.4, -0.16018518518518518]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.273873999998614, 17.05734179999854, 23.724079300000085]",0.009174139999231556,23.732785439999134,['A2'],['B1'],['C1'],['blue'],['yellow'],['salmon'],401.51420700000017,None,7.0,2.6797833000000537,401.51420700000017,None,404.26432340000065,None,3.0,5.298137099998712,409.56412210000053,None,9.0,2.1315319999994244,411.78082170000016,None,0.0,2.6650912999994034,<function functionImportanceA at 0x0000017A84071950>,<function functionImportanceB at 0x0000017A84071268>,<function functionImportanceC at 0x0000017A84071488>,,,7.0,2.731085000001258,8.0,5.298137099998712,-0.0,1.6980530000000726,<function functiondiffC at 0x0000017A840717B8>,<function functiondiffA at 0x0000017AEFA7AE18>,<function functiondiffB at 0x0000017A84071AE8>,,,,,377.3059570000005,420.1804566999999,None,414.38075539999954,None,417.43067450000126,None,11,001,2022_Jul_12_1224,2leo,2021.2.3,60.01219447820375,
3,16,Plan a delicious cake for the birthday of a friend,Stimuli/16A1.jpg,Stimuli/16A2.jpg,Stimuli/16A3.jpg,Stimuli/16B1.jpg,Stimuli/16B2.jpg,Stimuli/16B3.jpg,Stimuli/16C1.jpg,Stimuli/16C2.jpg,Stimuli/16C3.jpg,,,,,0,3,3,16,,,,,,,,421.3970186000006,None,422.3969964000007,None,428.3968960000002,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]",,18.041402999999264,6.7916323999997985,12.35876830000052,"[-0.17592592592592593, 0.03425925925925926, 0.07592592592592592]","[0.32037037037037036, 0.36018518518518516, -0.37037037037037035]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.77635299999929, 12.342944800000623, 18.02627070000017]",0.014564600000085193,18.040543600000092,['A2'],['B1'],['C3'],['blue'],['yellow'],['salmon'],448.3128701000005,None,7.0,2.613572500000373,448.3128701000005,None,455.3630056000002,None,8.0,3.2982095000006666,451.2131362,None,10.0,4.347860899999432,458.74617840000064,None,3.0,2.7150805999990553,<function functionImportanceB at 0x0000017A83F400D0>,<function functionImportanceA at 0x0000017A84071840>,<function functionImportanceC at 0x0000017A845A7510>,,,2.0,2.0978771000009147,8.0,3.2982095000006666,2.0,2.997883999998521,<function functiondiffB at 0x0000017A84071048>,<function functiondiffC at 0x0000017A83F40268>,<function functiondiffA at 0x0000017A84071E18>,,,,,429.8027968999995,461.4295321999998,None,464.41259569999966,None,466.8789615000005,None,11,001,2022_Jul_12_1224,2leo,2021.2.3,60.01219447820375,
3,25,Plan how you want to read a book in your free time ,Stimuli/25A1.jpg,Stimuli/25A2.jpg,Stimuli/25A3.jpg,Stimuli/25B1.jpg,Stimuli/25B2.jpg,Stimuli/25B3.jpg,Stimuli/25C1.jpg,Stimuli/25C2.jpg,Stimuli/25C3.jpg,,,,,0,4,4,25,,,,,,,,468.4957419000002,None,469.4958029999998,None,475.49577169999975,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,13.897780980001698,6.3304666800013365,18.03061178000098,"[-0.20462962962962963, 0.3638888888888889, 0.30925925925925923]","[-0.3435185185185185, -0.262037037037037, 0.2611111111111111]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.320477600000231, 13.888149800000974, 18.020288400000936]",0.009233580001819064,18.029310580001038,['A1'],['B1'],['C3'],['salmon'],['yellow'],['blue'],495.4616564000007,None,10.0,1.8968229000001884,495.4616564000007,None,503.86157470000035,None,8.0,1.8986316999998962,497.4616270000006,None,10.0,3.4808327999999165,501.2450196000009,None,10.0,2.9147984999999608,<function functionImportanceB at 0x0000017A83F40488>,<function functionImportanceC at 0x0000017A840710D0>,<function functionImportanceA at 0x0000017A83F40510>,,,2.0,2.964306600000782,8.0,1.8986316999998962,0.0,2.0145904000000883,<function functiondiffC at 0x0000017AF04119D8>,<function functiondiffB at 0x0000017A840719D8>,<function functiondiffA at 0x0000017AEF9FEF28>,,,,,476.9695198999998,511.42815130000054,None,505.8283037000001,None,513.4281005000012,None,11,001,2022_Jul_12_1224,2leo,2021.2.3,60.01219447820375,
3,15,Plan your own Pasta for lunch,Stimuli/15A1.jpg,Stimuli/15A2.jpg,Stimuli/15A3.jpg,Stimuli/15B1.jpg,Stimuli/15B2.jpg,Stimuli/15B3.jpg,Stimuli/15C1.jpg,Stimuli/15C2.jpg,Stimuli/15C3.jpg,,,,,0,5,5,15,,,,,,,,515.9279236000002,None,516.9280018999998,None,522.9277791000004,None,"[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]",,16.122489340003085,11.52271094000389,6.523519240003225,"[-0.40925925925925927, 0.3055555555555556, 0.43333333333333335]","[0.16111111111111112, -0.24351851851851852, -0.03425925925925926]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.506305099999736, 11.505823999999848, 16.105971999999383]",0.016113440002300194,16.121821640002963,['A1'],['B2'],['C3'],['yellow'],['blue'],['salmon'],541.4103341999999,None,10.0,2.3138842999996996,541.4103341999999,None,546.6436959000002,None,7.0,3.2983649999987392,543.7771924000008,None,10.0,2.7647153999987495,550.6103751999999,None,10.0,2.681884000001446,<function functionImportanceB at 0x0000017A845A7D08>,<function functionImportanceA at 0x0000017A83F40840>,<function functionImportanceC at 0x0000017A845A76A8>,,,7.0,3.2971622999993997,0.0,3.2983649999987392,-0.0,3.8479407999984687,<function functiondiffA at 0x0000017A84071BF8>,<function functiondiffB at 0x0000017A84071EA0>,<function functiondiffC at 0x0000017A84071B70>,,,,,524.8346515000012,555.8769351999999,None,559.8934535999997,None,552.5770205999997,None,11,001,2022_Jul_12_1224,2leo,2021.2.3,60.01219447820375,
3,7,Plan your Sunday breakfast ,Stimuli/7A1.jpg,Stimuli/7A2.jpg,Stimuli/7A3.jpg,Stimuli/7B1.jpg,Stimuli/7B2.jpg,Stimuli/7B3.jpg,Stimuli/7C1.jpg,Stimuli/7C2.jpg,Stimuli/7C3.jpg,,,,,0,6,6,7,,,,,,,,561.6100220000008,None,562.609993600001,None,568.6099243999997,None,"[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]",,5.115061720012818,10.66507292001188,12.765415320012835,"[-0.3509259259259259, 0.3101851851851852, 0.4046296296296296]","[-0.08333333333333333, 0.2638888888888889, -0.001851851851851852]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.113803399999597, 10.66371269999945, 12.76371349999863]",0.0006248200133995852,12.764301420012998,['A3'],['B1'],['C1'],['yellow'],['salmon'],['blue'],587.8590784000007,None,9.0,2.69623700000011,587.8590784000007,None,599.0591249999998,None,9.0,4.232041299999764,603.4587288000002,None,9.0,3.548177600001509,591.8589872000011,None,1.0,6.664686899999651,<function functionImportanceC at 0x0000017A845A70D0>,<function functionImportanceA at 0x0000017A845A7B70>,<function functionImportanceB at 0x0000017A845A7BF8>,,,-0.0,2.897940800001379,0.0,4.232041299999764,3.0,4.147670899999866,<function functiondiffB at 0x0000017A845A7D90>,<function functiondiffA at 0x0000017A845A79D8>,<function functiondiffC at 0x0000017A845A7A60>,,,,,574.6333807999999,605.7923346000007,None,612.5255022000001,None,609.7753626000012,None,11,001,2022_Jul_12_1224,2leo,2021.2.3,60.01219447820375,
3,5,Plan a birthday party for your younger self when you turn eight,Stimuli/5A1.jpg,Stimuli/5A2.jpg,Stimuli/5A3.jpg,Stimuli/5B1.jpg,Stimuli/5B2.jpg,Stimuli/5B3.jpg,Stimuli/5C1.jpg,Stimuli/5C2.jpg,Stimuli/5C3.jpg,,,,,0,7,7,5,,,,,,,,614.3418152000013,None,615.3420523000004,None,621.3418421999995,None,"[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",,23.165832680015228,15.116143480016035,9.949925080016328,"[-0.375, -0.19444444444444445, 0.06666666666666667]","[0.11574074074074074, -0.3148148148148148, 0.33240740740740743]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.947996999999305, 15.114379099999496, 23.164256500000192]",0.0009472800156800076,23.16502378001678,['A3'],['B2'],['C1'],['salmon'],['blue'],['yellow'],650.9242295000004,None,8.0,2.0799760000008973,650.9242295000004,None,655.7075455000013,None,3.0,12.781354600001578,667.4912951000006,None,1.0,5.064743199998702,671.623708000001,None,10.0,3.064830199999051,<function functionImportanceA at 0x0000017A840716A8>,<function functionImportanceB at 0x0000017A845A7048>,<function functionImportanceC at 0x0000017A845A7C80>,,,8.0,2.9979885000011564,-0.0,12.781354600001578,2.0,3.380653499998516,<function functiondiffC at 0x0000017A845A7F28>,<function functiondiffB at 0x0000017A845A7158>,<function functiondiffA at 0x0000017A845A7378>,,,,,627.2968553999999,678.0071456000005,None,674.1237921000011,None,681.8238486999999,None,11,001,2022_Jul_12_1224,2leo,2021.2.3,60.01219447820375,
