Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffB_response,slider_diffB_rt,slider_diffA_response,slider_diffA_rt,slider_diffC_response,slider_diffC_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffA_started,question_diffA_stopped,question_diffC_started,question_diffC_stopped,question_diffB_started,question_diffB_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,24.117891199999576,None,1,[4.535345399999642],[4.535348800000065],24.117891199999576,None,72.96033549999993,None,73.96983129999717,None,79.97006239999973,None,"[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",83.95374809999703,13.441721150007652,8.059047350008768,4.342525250009203,"[-0.30648148148148147, 0.45185185185185184, 0.0787037037037037]","[0.13425925925925927, 0.03425925925925926, 0.34074074074074073]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.3307414000009885, 8.063861499998893, 13.430529000001115]",0.010796950009535067,13.441007450008328,['A1'],['B1'],['C2'],['salmon'],['yellow'],['blue'],97.85243789999731,None,9.0,4.479985499998293,97.85243789999731,None,103.68598319999728,None,10.0,8.814188799999101,111.25236310000037,None,3.0,6.081474300000991,118.87010919999739,None,4.0,5.198489899998094,<function functionImportanceAt at 0x000001491F2E4D08>,<function functionImportanceCt at 0x000001492C431F28>,<function functionImportanceBt at 0x000001492C431E18>,131.601748699999,None,3.0,3.863992899998266,3.0,8.814188799999101,1.0,2.614873300000909,<function functiondiffBt at 0x000001492C8A1C80>,<function functiondiffAt at 0x000001492C8A1840>,<function functiondiffCt at 0x000001492C8A1D90>,,,,,,,,,,,,005,001,2022_Jun_13_1643,2leo,2021.2.3,60.00294014331605,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,133.7351869999984,None,134.73525909999807,None,140.73501620000025,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",146.81288609999683,6.2252497500121535,11.575281450011971,22.94179165000969,"[-0.19074074074074074, 0.3398148148148148, 0.06111111111111111]","[-0.37592592592592594, -0.2611111111111111, -0.3787037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.220246699998825, 11.569984099998692, 22.936240399998496]",0.004569650012854254,22.94076045001202,['A1'],['B1'],['C1'],['salmon'],['yellow'],['blue'],170.21742019999874,None,6.0,4.348066700000345,170.21742019999874,None,190.00034219999725,None,6.0,4.798527099999774,176.07063619999826,None,8.0,6.280907899999875,182.6677877999973,None,7.0,7.148227099998621,<function functionImportanceCt at 0x000001491C1500D0>,<function functionImportanceBt at 0x000001492C4318C8>,<function functionImportanceAt at 0x000001492C431AE8>,201.50397109999903,None,1.0,3.931034000001091,7.0,4.798527099999774,9.0,6.964312600000994,<function functiondiffBt at 0x000001492C8A1268>,<function functiondiffAt at 0x000001492C8A1048>,<function functiondiffCt at 0x000001492C8A10D0>,,,,,,,,,,,,005,001,2022_Jun_13_1643,2leo,2021.2.3,60.00294014331605,
3,0,Plan a barbecue,Stimuli/0A1.jpg,Stimuli/0A2.jpg,Stimuli/0A3.jpg,Stimuli/0B1.jpg,Stimuli/0B2.jpg,Stimuli/0B3.jpg,Stimuli/0C1.jpg,Stimuli/0C2.jpg,Stimuli/0C3.jpg,,,,,0,0,0,0,,,,,,,,268.17545939999764,None,269.16501239999707,None,275.1648807999991,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,10.29301465000026,9.043291649999446,16.459992849999253,"[-0.31574074074074077, -0.32407407407407407, -0.32407407407407407, -0.175]","[-0.1824074074074074, 0.14722222222222223, 0.14722222222222223, 0.32592592592592595]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[9.030037600001378, 10.280046100000618, 10.496807800001989, 16.446508600001835]",0.012459749999834457,16.458905250001408,['A2'],['B2'],['C2'],['yellow'],['blue'],['salmon'],294.61396759999843,None,10.0,3.0132176999977673,294.61396759999843,None,306.9472745999992,None,10.0,2.998493099999905,301.43064559999766,None,7.0,4.098171400000865,297.7308778999977,None,4.0,3.696912200000952,<function functionImportanceB at 0x000001492C5678C8>,<function functionImportanceC at 0x000001492C603E18>,<function functionImportanceA at 0x000001492BC44E18>,,,7.0,5.480994899997313,-0.0,3.747968799998489,3.0,2.998493099999905,<function functiondiffA at 0x000001492C8A1158>,<function functiondiffC at 0x000001492C8A1620>,<function functiondiffB at 0x000001492C8A1400>,207.56649560000005,None,207.56649560000005,None,277.7006619999993,308.91387309999845,None,312.28052469999966,None,317.7636265999972,None,005,001,2022_Jun_13_1643,2leo,2021.2.3,60.00294014331605,
3,14,Plan your own Pizza for dinner,Stimuli/14A1.jpg,Stimuli/14A2.jpg,Stimuli/14A3.jpg,Stimuli/14B1.jpg,Stimuli/14B2.jpg,Stimuli/14B3.jpg,Stimuli/14C1.jpg,Stimuli/14C2.jpg,Stimuli/14C3.jpg,,,,,0,1,1,14,,,,,,,,322.7633823999968,None,323.76345690000016,None,329.7635345999988,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]",,10.75675940000292,17.823700500000996,4.890676600003644,"[0.075, 0.40370370370370373, 0.27314814814814814]","[0.42685185185185187, 0.005555555555555556, 0.1935185185185185]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.885469799999555, 10.752054000000498, 17.818728499998542]",0.004275900002539856,17.822693100002652,['A1'],['B1'],['C1'],['blue'],['salmon'],['yellow'],349.22934779999923,None,10.0,2.013422799998807,349.22934779999923,None,351.34618259999843,None,8.0,7.264487300002656,361.02921570000035,None,9.0,2.998613800002204,358.6459632999977,None,9.0,2.4316809000010835,<function functionImportanceA at 0x000001492C8A1AE8>,<function functionImportanceB at 0x000001492C8A1F28>,<function functionImportanceC at 0x000001492C8D7A60>,,,3.0,4.31434789999912,7.0,3.0486593000023277,0.0,7.264487300002656,<function functiondiffB at 0x000001492C8A12F0>,<function functiondiffC at 0x000001492C8D7730>,<function functiondiffA at 0x000001492C8A18C8>,,,,,330.92589699999735,371.42880709999736,None,368.36235789999773,None,364.0455987999994,None,005,001,2022_Jun_13_1643,2leo,2021.2.3,60.00294014331605,
3,38,Plan how you want to go for a run,Stimuli/38A1.jpg,Stimuli/38A2.jpg,Stimuli/38A3.jpg,Stimuli/38B1.jpg,Stimuli/38B2.jpg,Stimuli/38B3.jpg,Stimuli/38C1.jpg,Stimuli/38C2.jpg,Stimuli/38C3.jpg,,,,,0,2,2,38,,,,,,,,373.9953829999977,None,374.9951043999972,None,380.99531899999783,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,6.663269049997325,11.596980449998227,15.497099549997074,"[-0.1962962962962963, -0.35648148148148145, -0.3888888888888889]","[0.29814814814814816, -0.06944444444444445, 0.10648148148148148]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.6467327999998815, 11.580193400001008, 15.480022899999312]",0.01603314999738359,15.496003549997113,['A2'],['B2'],['C2'],['yellow'],['blue'],['salmon'],398.1613013999995,None,9.0,2.43016279999938,398.1613013999995,None,400.6614198999996,None,10.0,2.733261200002744,403.4948633999993,None,9.0,2.331399300001067,405.76147889999993,None,4.0,3.5147531000002346,<function functionImportanceA at 0x000001492C8D7378>,<function functionImportanceC at 0x000001492C8D7840>,<function functionImportanceB at 0x000001492C8D7EA0>,,,2.0,2.797623599999497,0.0,2.847927900002105,8.0,2.733261200002744,<function functiondiffB at 0x000001492C8D7950>,<function functiondiffA at 0x000001492C8D7158>,<function functiondiffC at 0x000001492C8A17B8>,,,,,382.1972982999978,412.0777909999997,None,414.96121149999817,None,409.2613996999971,None,005,001,2022_Jun_13_1643,2leo,2021.2.3,60.00294014331605,
3,21,Plan your sandwich for lunch,Stimuli/21A1.jpg,Stimuli/21A2.jpg,Stimuli/21A3.jpg,Stimuli/21B1.jpg,Stimuli/21B2.jpg,Stimuli/21B3.jpg,Stimuli/21C1.jpg,Stimuli/21C2.jpg,Stimuli/21C3.jpg,,,,,0,3,3,21,,,,,,,,416.4943901999977,None,417.494460599999,None,423.49417919999905,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,4.757173000001785,14.808054000000993,8.474268000001757,"[0.07407407407407407, -0.1388888888888889, 0.2462962962962963]","[-0.33240740740740743, 0.29814814814814816, -0.2518518518518518]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.744228600000497, 8.460847500002274, 14.794859500001621]",0.012343999998847721,14.805810499998188,['A3'],['B3'],['C2'],['salmon'],['yellow'],['blue'],439.8935483999994,None,10.0,2.3292509999992035,439.8935483999994,None,447.64353629999823,None,5.0,1.6817393000019365,445.5268077999972,None,9.0,2.0981709999978193,442.2770739999978,None,8.0,3.213805700001103,<function functionImportanceB at 0x000001492C8D72F0>,<function functionImportanceC at 0x000001492C8D79D8>,<function functionImportanceA at 0x000001492C8D7D08>,,,2.0,2.2811344000001554,7.0,3.864547200002562,7.0,1.6817393000019365,<function functiondiffA at 0x000001492C8D7620>,<function functiondiffC at 0x000001492C8D7F28>,<function functiondiffB at 0x000001492C8D7488>,,,,,424.61472389999835,449.2936223999968,None,453.1933742000001,None,456.1098631999994,None,005,001,2022_Jun_13_1643,2leo,2021.2.3,60.00294014331605,
3,27,Plan what festival to visit with your friends,Stimuli/27A1.jpg,Stimuli/27A2.jpg,Stimuli/27A3.jpg,Stimuli/27B1.jpg,Stimuli/27B2.jpg,Stimuli/27B3.jpg,Stimuli/27C1.jpg,Stimuli/27C2.jpg,Stimuli/27C3.jpg,,,,,0,4,4,27,,,,,,,,457.9098610000001,None,458.90983179999967,None,464.909752399999,None,"[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]",,20.482234549999703,14.199738650000654,9.93339664999803,"[0.40370370370370373, 0.07685185185185185, 0.06111111111111111]","[0.041666666666666664, -0.35185185185185186, 0.42592592592592593]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.923947100000078, 14.190476299998409, 20.473326199997246]",0.008487150000291876,20.481682949997776,['A1'],['B2'],['C1'],['salmon'],['yellow'],['blue'],486.97558509999726,None,10.0,1.4302863000011712,486.97558509999726,None,492.12556649999897,None,10.0,2.015083499998582,488.47592099999747,None,8.0,3.6483012000026065,494.1589888999988,None,6.0,2.1651835999982723,<function functionImportanceC at 0x00000149002221E0>,<function functionImportanceA at 0x000001492C8A11E0>,<function functionImportanceB at 0x000001492C8D7400>,,,6.0,4.280400100000406,2.0,3.1643882999997004,3.0,2.015083499998582,<function functiondiffA at 0x000001492C8D7AE8>,<function functiondiffB at 0x000001492C8A1D08>,<function functiondiffC at 0x0000014900222A60>,,,,,466.01796079999986,496.3256924999987,None,503.8085175999986,None,499.50894379999954,None,005,001,2022_Jun_13_1643,2leo,2021.2.3,60.00294014331605,
3,28,Plan a one-week camping trip in Spain,Stimuli/28A1.jpg,Stimuli/28A2.jpg,Stimuli/28A3.jpg,Stimuli/28B1.jpg,Stimuli/28B2.jpg,Stimuli/28B3.jpg,Stimuli/28C1.jpg,Stimuli/28C2.jpg,Stimuli/28C3.jpg,,,,,0,5,5,28,,,,,,,,506.30866669999887,None,507.30862259999776,None,513.3083434999971,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",,26.134330250002677,15.951499550003064,31.451919350001845,"[0.06018518518518518, 0.34444444444444444]","[-0.34444444444444444, -0.07777777777777778]","[1, 1]","[0, 0]","[0, 0]","[15.949426199997106, 26.13249349999751]",0.0013279500017233659,31.450222550003673,['A2'],['B1'],['C1'],['salmon'],['yellow'],['blue'],546.357406799998,None,4.0,1.6131588999996893,546.357406799998,None,548.0409198999987,None,8.0,3.4645203000000038,554.6741715999997,None,2.0,2.2316418000009435,551.5074882999979,None,7.0,3.1483699000018532,<function functionImportanceA at 0x00000149002228C8>,<function functionImportanceB at 0x00000149002229D8>,<function functionImportanceC at 0x00000149002222F0>,,,8.0,2.1314980999995896,10.0,2.5146132000008947,7.0,3.4645203000000038,<function functiondiffC at 0x00000149002227B8>,<function functiondiffB at 0x000001492C8D7B70>,<function functiondiffA at 0x000001492C8D7510>,,,,,514.4229474999993,563.2406626999982,None,556.9073928999969,None,561.0906111999975,None,005,001,2022_Jun_13_1643,2leo,2021.2.3,60.00294014331605,
3,31,Plan your order at a restaurant    ,Stimuli/31A1.jpg,Stimuli/31A2.jpg,Stimuli/31A3.jpg,Stimuli/31B1.jpg,Stimuli/31B2.jpg,Stimuli/31B3.jpg,Stimuli/31C1.jpg,Stimuli/31C2.jpg,Stimuli/31C3.jpg,,,,,0,6,6,31,,,,,,,,565.2736536999982,None,566.273725199997,None,572.2736152999969,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,17.366335600007005,9.868098500006454,24.517124500005593,"[0.30185185185185187, -0.19814814814814816, 0.25555555555555554]","[-0.2222222222222222, 0.27685185185185185, 0.21296296296296297]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.866460899997037, 17.34989129999667, 24.50008429999798]",0.016042500006733462,24.51543510000556,['A1'],['B3'],['C2'],['yellow'],['salmon'],['blue'],599.8227665999984,None,9.0,2.546820799998386,599.8227665999984,None,607.7560400999973,None,1.0,3.3980405000002065,602.4727596999983,None,10.0,3.864237300000241,609.7559392999974,None,8.0,2.5482345999989775,<function functionImportanceC at 0x0000014900222B70>,<function functionImportanceA at 0x0000014900222C80>,<function functionImportanceB at 0x0000014900222730>,,,2.0,2.9645144999994955,8.0,3.680862099998194,3.0,3.3980405000002065,<function functiondiffA at 0x000001492C8A19D8>,<function functiondiffC at 0x0000014900222D90>,<function functiondiffB at 0x000001492C8A1950>,,,,,574.8561365999994,612.6226511999994,None,615.9724597999993,None,619.6389008999977,None,005,001,2022_Jun_13_1643,2leo,2021.2.3,60.00294014331605,
3,32,Plan how you want to relax after a workday,Stimuli/32A1.jpg,Stimuli/32A2.jpg,Stimuli/32A3.jpg,Stimuli/32B1.jpg,Stimuli/32B2.jpg,Stimuli/32B3.jpg,Stimuli/32C1.jpg,Stimuli/32C2.jpg,Stimuli/32C3.jpg,,,,,0,7,7,32,,,,,,,,622.1221746999981,None,623.1222648999974,None,629.1220786999984,None,"[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]",,17.663426650004112,13.163852050005517,7.164422950005246,"[-0.11666666666666667, 0.28703703703703703, 0.28425925925925927]","[-0.2972222222222222, 0.2537037037037037, -0.23055555555555557]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.163325100002112, 13.163007300001482, 17.662869700001465]",6.54500036034733e-05,17.662773150004796,['A2'],['B1'],['C2'],['blue'],['salmon'],['yellow'],650.271335399997,None,10.0,2.3136253000011493,650.271335399997,None,667.1217927999969,None,6.0,4.164859000000433,652.6548316999979,None,10.0,2.3646254999985103,655.8380510999996,None,8.0,10.914787999998225,<function functionImportanceC at 0x0000014900222400>,<function functionImportanceB at 0x0000014900222840>,<function functionImportanceA at 0x0000014900222620>,,,0.0,8.530739399997401,2.0,3.714282099997945,0.0,4.164859000000433,<function functiondiffC at 0x000001492C8D7E18>,<function functiondiffA at 0x000001492C431B70>,<function functiondiffB at 0x0000014900222950>,,,,,632.140925599997,673.5056452999997,None,670.1212817999985,None,677.0541211999989,None,005,001,2022_Jun_13_1643,2leo,2021.2.3,60.00294014331605,
