Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffB_response,slider_diffB_rt,slider_diffC_response,slider_diffC_rt,slider_diffA_response,slider_diffA_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffC_started,question_diffC_stopped,question_diffA_started,question_diffA_stopped,question_diffB_started,question_diffB_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,26.00726389999909,None,1,[5.809687500004657],[5.809691500006011],26.00726389999909,None,65.20470869999554,None,66.21229739999399,None,72.21216890000505,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",76.24168019999343,7.301038500023424,50.18333240001812,54.05024510002113,"[0.37407407407407406, -0.17222222222222222, 0.3314814814814815, 0.30925925925925923, -0.37037037037037035]","[-0.017592592592592594, -0.3592592592592593, -0.021296296296296296, -0.23703703703703705, 0.14537037037037037]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[7.284276000005775, 20.6004144000035, 24.466769999999087, 50.166090099999565, 54.032832900003996]",0.01634750001539942,54.04898080001294,['A1'],['B3'],['C2'],['salmon'],['blue'],['yellow'],130.7436555000022,None,9.0,5.029110100003891,130.7436555000022,None,137.41018789999362,None,10.0,13.414040400006343,150.5932327000046,None,6.0,9.346853199996985,158.65967049999745,None,3.0,3.0315667999966536,<function functionImportanceBt at 0x0000023ED4171E18>,<function functionImportanceAt at 0x0000023ED6273268>,<function functionImportanceCt at 0x0000023EE3751D90>,171.64273789999424,None,2.0,5.764106100003119,8.0,3.730986100010341,2.0,9.346853199996985,<function functiondiffBt at 0x0000023EE4596AE8>,<function functiondiffCt at 0x0000023EE4596A60>,<function functiondiffAt at 0x0000023EE4596C80>,,,,,,,,,,,,006,001,2022_Jun_14_1018,2leo,2021.2.3,59.978683572395056,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,177.40926149999723,None,178.40924470000027,None,184.40908889999264,None,"[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]",190.52080739999656,13.316065240011085,17.399205540015828,9.016610940016108,"[0.3574074074074074, 0.0824074074074074, 0.10740740740740741]","[0.025, -0.4111111111111111, 0.43148148148148147]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.005762800006778, 13.305666000000201, 17.38860290001321]",0.009884740007692017,17.3983814400126,['A2'],['B1'],['C1'],['blue'],['salmon'],['yellow'],208.3749705999944,None,10.0,3.4309610000054818,208.3749705999944,None,219.94402389999595,None,2.0,6.348049800013541,213.77627059999213,None,10.0,6.347843499999726,226.04485069999646,None,7.0,5.11542190000182,<function functionImportanceAt at 0x0000023ED10231E0>,<function functionImportanceBt at 0x0000023EE3610EA0>,<function functionImportanceCt at 0x0000023EE0A30F28>,243.4742852999916,None,3.0,9.781021399991005,7.0,5.514648900003522,0.0,6.347843499999726,<function functiondiffAt at 0x0000023EE4596D90>,<function functiondiffCt at 0x0000023EE4596E18>,<function functiondiffBt at 0x0000023EE4596730>,,,,,,,,,,,,006,001,2022_Jun_14_1018,2leo,2021.2.3,59.978683572395056,
3,26,Plan how to wash one round of your laundry ,Stimuli/26A1.jpg,Stimuli/26A2.jpg,Stimuli/26A3.jpg,Stimuli/26B1.jpg,Stimuli/26B2.jpg,Stimuli/26B3.jpg,Stimuli/26C1.jpg,Stimuli/26C2.jpg,Stimuli/26C3.jpg,,,,,0,0,0,26,,,,,,,,301.9894972000038,None,302.9725921999925,None,308.97247019999486,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,8.394728380008019,19.61153708001075,15.378067480007303,"[-0.1648148148148148, -0.37962962962962965, 0.2740740740740741]","[0.30925925925925923, 0.11481481481481481, -0.2814814814814815]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.387677499995334, 15.370486300002085, 19.604009499991662]",0.006501480005681515,19.610471280000638,['A1'],['B3'],['C1'],['blue'],['yellow'],['salmon'],330.2384306000022,None,10.0,2.4456386999954702,330.2384306000022,None,332.8053685999912,None,10.0,8.214189699996496,341.038112299997,None,10.0,7.064912300003925,348.08817609999096,None,3.0,3.681697099993471,<function functionImportanceB at 0x0000023EE37519D8>,<function functionImportanceA at 0x0000023EE4596D08>,<function functionImportanceC at 0x0000023E87816730>,,,-0.0,3.281079199994565,1.0,7.064912300003925,4.0,6.614089599999716,<function functiondiffC at 0x0000023EE4596EA0>,<function functiondiffA at 0x0000023EE4596620>,<function functiondiffB at 0x0000023EE4596510>,252.3904612000042,None,252.3904612000042,None,310.15288330000476,351.7379428999993,None,357.8545918000018,None,364.48759900000005,None,006,001,2022_Jun_14_1018,2leo,2021.2.3,59.978683572395056,
3,43,Plan your dream house,Stimuli/43A1.jpg,Stimuli/43A2.jpg,Stimuli/43A3.jpg,Stimuli/43B1.jpg,Stimuli/43B2.jpg,Stimuli/43B3.jpg,Stimuli/43C1.jpg,Stimuli/43C2.jpg,Stimuli/43C3.jpg,,,,,0,1,1,43,,,,,,,,367.2876188999944,None,368.28762799999095,None,374.2874368000048,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,23.03914170002099,25.906239800009644,14.306910700019216,"[0.13148148148148148, 0.1037037037037037, 0.44074074074074077]","[-0.3712962962962963, 0.37592592592592594, 0.01574074074074074]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[14.30178480000177, 23.03463590001047, 25.901494600009755]",0.003956100015784614,25.905156100008753,['A2'],['B2'],['C3'],['salmon'],['blue'],['yellow'],401.8366182000027,None,8.0,2.7136218000086956,401.8366182000027,None,413.9029392999946,None,2.0,1.8484496000019135,410.91976079999586,None,7.0,2.9985665999993216,404.60329099999217,None,10.0,6.264357500011101,<function functionImportanceC at 0x0000023E87816378>,<function functionImportanceA at 0x0000023EE4596F28>,<function functionImportanceB at 0x0000023E87816A60>,,,2.0,5.064173599996138,10.0,2.9985665999993216,4.0,6.014829799998552,<function functiondiffB at 0x0000023EE4596840>,<function functiondiffA at 0x0000023EE45966A8>,<function functiondiffC at 0x0000023EE45962F0>,,,,,375.4493332999991,426.8693440999923,None,420.83624119999877,None,415.7528835999983,None,006,001,2022_Jun_14_1018,2leo,2021.2.3,59.978683572395056,
3,44,Plan a party at your place,Stimuli/44A1.jpg,Stimuli/44A2.jpg,Stimuli/44A3.jpg,Stimuli/44B1.jpg,Stimuli/44B2.jpg,Stimuli/44B3.jpg,Stimuli/44C1.jpg,Stimuli/44C2.jpg,Stimuli/44C3.jpg,,,,,0,2,2,44,,,,,,,,428.51915619999636,None,429.51911839999957,None,435.51917010000034,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]",,7.343919119986822,14.244045119994553,19.260697719990276,"[0.020370370370370372, 0.2361111111111111, -0.21388888888888888]","[0.3351851851851852, 0.22314814814814815, 0.3037037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.33732050000981, 14.237137000003713, 19.253661800001282]",0.0059912199940299615,19.259496219994617,['A3'],['B3'],['C2'],['salmon'],['blue'],['yellow'],456.401769899996,None,10.0,2.4807018999999855,456.401769899996,None,462.8851566999947,None,8.0,7.148442299992894,470.034857199993,None,2.0,8.598119000002043,458.95179920000373,None,2.0,3.9147846000123536,<function functionImportanceC at 0x0000023E87816048>,<function functionImportanceB at 0x0000023E87816598>,<function functionImportanceA at 0x0000023E87816AE8>,,,6.0,5.197403199999826,-0.0,8.598119000002043,9.0,6.08122629999707,<function functiondiffB at 0x0000023E87816268>,<function functiondiffC at 0x0000023E87816840>,<function functiondiffA at 0x0000023E878168C8>,,,,,436.6626352000021,483.8512181999977,None,486.21780089999083,None,478.6512294999993,None,006,001,2022_Jun_14_1018,2leo,2021.2.3,59.978683572395056,
3,3,Plan a movie night with a friend,Stimuli/3A1.jpg,Stimuli/3A2.jpg,Stimuli/3A3.jpg,Stimuli/3B1.jpg,Stimuli/3B2.jpg,Stimuli/3B3.jpg,Stimuli/3C1.jpg,Stimuli/3C2.jpg,Stimuli/3C3.jpg,,,,,0,3,3,3,,,,,,,,491.81771149999986,None,492.81752060000144,None,498.81757270000526,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,16.456193740013987,7.673128140013432,10.59020784002496,"[0.032407407407407406, -0.31666666666666665, 0.4527777777777778]","[0.35833333333333334, 0.08981481481481482, -0.03518518518518519]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.663959800003795, 10.580880800000159, 16.447306000001845]",0.008291940015624277,16.45522894001624,['A3'],['B3'],['C2'],['salmon'],['yellow'],['blue'],519.3168184999959,None,10.0,3.130605199999991,519.3168184999959,None,528.9673848999955,None,9.0,3.8317672999983188,522.5168296000047,None,5.0,5.697759799993946,533.8168978000031,None,10.0,3.765161100003752,<function functionImportanceA at 0x0000023E878167B8>,<function functionImportanceB at 0x0000023E87816158>,<function functionImportanceC at 0x0000023E80374598>,,,8.0,7.2316990999970585,0.0,5.697759799993946,5.0,4.614216799993301,<function functiondiffA at 0x0000023E878169D8>,<function functiondiffB at 0x0000023E87816F28>,<function functiondiffC at 0x0000023E878166A8>,,,,,502.4029470999958,548.0828875000007,None,535.8331542999949,None,540.8663912999909,None,006,001,2022_Jun_14_1018,2leo,2021.2.3,59.978683572395056,
3,22,Plan a beach day with your friends,Stimuli/22A1.jpg,Stimuli/22A2.jpg,Stimuli/22A3.jpg,Stimuli/22B1.jpg,Stimuli/22B2.jpg,Stimuli/22B3.jpg,Stimuli/22C1.jpg,Stimuli/22C2.jpg,Stimuli/22C3.jpg,,,,,0,4,4,22,,,,,,,,551.0661199000024,None,552.0660668999917,None,558.0660996999941,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]",,12.107210260015563,15.924007460009307,6.408183160005137,"[-0.3537037037037037, 0.48055555555555557, 0.2796296296296296]","[-0.0824074074074074, 0.024074074074074074, 0.25925925925925924]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.402392000003601, 12.102044600003865, 15.918560700010858]",0.004762060008943081,15.9232531600137,['A1'],['B1'],['C2'],['yellow'],['salmon'],['blue'],575.6651369000028,None,10.0,2.4475060000113444,575.6651369000028,None,578.2153413000051,None,1.0,6.681039199989755,584.8819030000013,None,3.0,5.448236399999587,590.4150655999983,None,7.0,3.5818270000017947,<function functionImportanceB at 0x0000023EE4596488>,<function functionImportanceA at 0x0000023E87816950>,<function functionImportanceC at 0x0000023E803749D8>,,,0.0,3.2147163999907207,3.0,5.448236399999587,6.0,4.280941200006055,<function functiondiffA at 0x0000023E87816B70>,<function functiondiffB at 0x0000023E87816C80>,<function functiondiffC at 0x0000023EE3751A60>,,,,,559.2637630999961,601.4482854999951,None,593.9150054999918,None,598.214997300005,None,006,001,2022_Jun_14_1018,2leo,2021.2.3,59.978683572395056,
3,4,Plan a game night at your place,Stimuli/4A1.jpg,Stimuli/4A2.jpg,Stimuli/4A3.jpg,Stimuli/4B1.jpg,Stimuli/4B2.jpg,Stimuli/4B3.jpg,Stimuli/4C1.jpg,Stimuli/4C2.jpg,Stimuli/4C3.jpg,,,,,0,5,5,4,,,,,,,,604.2647765000002,None,605.264580899995,None,611.2647361999989,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,8.139663420020952,4.872998420018121,11.706897820011363,"[0.26296296296296295, 0.2388888888888889, -0.18888888888888888]","[-0.2, 0.23055555555555557, 0.29907407407407405]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.856327799992869, 8.12346339999931, 11.690006099990569]",0.015794120015925728,11.705367720016511,['A1'],['B3'],['C2'],['yellow'],['salmon'],['blue'],626.847391599993,None,10.0,3.3295919000083813,626.847391599993,None,640.6641084000003,None,2.0,3.4806014000059804,637.1378347999998,None,10.0,4.582149399997434,631.5473803999921,None,7.0,5.831369100007578,<function functionImportanceC at 0x0000023E80374378>,<function functionImportanceA at 0x0000023E87816E18>,<function functionImportanceB at 0x0000023E80374268>,,,0.0,4.031080700005987,4.0,4.582149399997434,0.0,3.747761899998295,<function functiondiffA at 0x0000023E87816488>,<function functiondiffC at 0x0000023E803742F0>,<function functiondiffB at 0x0000023E87816EA0>,,,,,614.6920232999983,648.3136274999997,None,644.4970537000045,None,651.7967960999958,None,006,001,2022_Jun_14_1018,2leo,2021.2.3,59.978683572395056,
3,15,Plan your own Pasta for lunch,Stimuli/15A1.jpg,Stimuli/15A2.jpg,Stimuli/15A3.jpg,Stimuli/15B1.jpg,Stimuli/15B2.jpg,Stimuli/15B3.jpg,Stimuli/15C1.jpg,Stimuli/15C2.jpg,Stimuli/15C3.jpg,,,,,0,6,6,15,,,,,,,,655.346601600002,None,656.3466386999935,None,662.346597900003,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",,5.155099640003755,10.188570940008503,13.772116539999843,"[0.07407407407407407, 0.2935185185185185, -0.2101851851851852]","[0.387037037037037, 0.2361111111111111, -0.35]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.138661099990713, 10.171875999993063, 13.755063999997219]",0.015912040005787276,13.770885240010102,['A2'],['B2'],['C3'],['blue'],['yellow'],['salmon'],678.5459362999973,None,7.0,2.496919999990496,678.5459362999973,None,681.0961021999974,None,6.0,6.531046499992954,690.7791034999973,None,8.0,3.6151021999976365,688.4155942999932,None,10.0,2.998191799997585,<function functionImportanceB at 0x0000023E80374C80>,<function functionImportanceC at 0x0000023E80374BF8>,<function functionImportanceA at 0x0000023E80374F28>,,,2.0,3.2309378999925684,0.0,3.6151021999976365,9.0,2.2312979999987874,<function functiondiffB at 0x0000023EE3751BF8>,<function functiondiffC at 0x0000023E80374D90>,<function functiondiffA at 0x0000023EE3751E18>,,,,,664.3219314000016,697.6790332999954,None,701.2464923999942,None,694.2791258999932,None,006,001,2022_Jun_14_1018,2leo,2021.2.3,59.978683572395056,
3,7,Plan your Sunday breakfast ,Stimuli/7A1.jpg,Stimuli/7A2.jpg,Stimuli/7A3.jpg,Stimuli/7B1.jpg,Stimuli/7B2.jpg,Stimuli/7B3.jpg,Stimuli/7C1.jpg,Stimuli/7C2.jpg,Stimuli/7C3.jpg,,,,,0,7,7,7,,,,,,,,702.9954921000026,None,703.9955004999938,None,709.9953076999955,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,8.585805020018597,15.985943520019646,10.869678420029231,"[0.03796296296296296, 0.2574074074074074, -0.15462962962962962]","[0.3472222222222222, 0.25277777777777777, -0.3175925925925926]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.574084099993343, 10.857453399992664, 15.973914300004253]",0.011154520019772463,15.984866420025355,['A2'],['B3'],['C2'],['salmon'],['yellow'],['blue'],732.4777257999958,None,9.0,1.6130673000006936,732.4777257999958,None,736.077906999999,None,10.0,6.030886599997757,741.9608234000043,None,7.0,4.6149895999988075,746.0610645999986,None,0.0,3.8982654999999795,<function functionImportanceB at 0x0000023E80374A60>,<function functionImportanceA at 0x0000023E80374048>,<function functionImportanceC at 0x0000023E80374D08>,,,10.0,3.230928999997559,-0.0,4.6149895999988075,7.0,2.7983281999913743,<function functiondiffC at 0x0000023E87816D08>,<function functiondiffB at 0x0000023E80374950>,<function functiondiffA at 0x0000023EE45960D0>,,,,,716.0391570999927,749.0943120000011,None,756.4030686000042,None,753.294250299994,None,006,001,2022_Jun_14_1018,2leo,2021.2.3,59.978683572395056,
