Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffA_response,slider_diffA_rt,slider_diffC_response,slider_diffC_rt,slider_diffB_response,slider_diffB_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffB_started,question_diffB_stopped,question_diffC_started,question_diffC_stopped,question_diffA_started,question_diffA_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,25.083314000003156,None,1,[4.886808099996415],[4.886811399992439],25.083314000003156,None,77.48331729999336,None,78.4847904999915,None,84.48477169999387,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",88.49661789998936,2.836497549971682,5.036512249964289,7.135084049965371,"[-0.33611111111111114, -0.14351851851851852, 0.06296296296296296]","[0.08333333333333333, -0.3509259259259259, 0.33425925925925926]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.8196602999960305, 5.0195728999970015, 7.117805099987891]",0.01625594995857682,7.134035149967531,['A3'],['B1'],['C2'],['yellow'],['salmon'],['blue'],96.08411739999428,None,8.0,4.463645299998461,96.08411739999428,None,100.63419799999974,None,6.0,13.080622099994798,115.27031239999633,None,7.0,12.815895699997782,127.83517619999475,None,10.0,5.48151979999966,<function functionImportanceCt at 0x0000012F1DAB1E18>,<function functionImportanceBt at 0x0000012F2D0B1D90>,<function functionImportanceAt at 0x0000012F2D0B1A60>,144.766249399996,None,3.0,5.48151979999966,3.0,5.0309341000101995,1.0,4.114400999998907,<function functiondiffAt at 0x0000012F2DE04BF8>,<function functiondiffCt at 0x0000012F2DE04950>,<function functiondiffBt at 0x0000012F2DE041E0>,,,,,,,,,,,,008,001,2022_Jun_14_1523,2leo,2021.2.3,59.377839000567086,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,147.96617929999775,None,148.96609360000002,None,154.96592170000076,None,"[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]",161.08240329999535,10.989815949913464,2.856365349900443,5.489915249912883,"[-0.35833333333333334, -0.3287037037037037, 0.33611111111111114]","[0.09907407407407408, -0.0787037037037037, -0.05277777777777778]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.850942800010671, 5.484322200005408, 10.984534400005941]",0.004630849900422618,10.988917649912764,['A3'],['B1'],['C1'],['blue'],['salmon'],['yellow'],172.53196369999205,None,9.0,4.180717900002492,172.53196369999205,None,186.7155800999899,None,4.0,8.331523699991521,195.3149517999991,None,9.0,5.015033799994853,178.70466869999655,None,7.0,8.448002000004635,<function functionImportanceAt at 0x0000012F2D0B1E18>,<function functionImportanceCt at 0x0000012F1A9431E0>,<function functionImportanceBt at 0x0000012F2D0B1BF8>,208.26458409999032,None,7.0,8.448002000004635,1.0,4.914331799998763,1.0,7.197211999999126,<function functiondiffCt at 0x0000012F2DE04598>,<function functiondiffAt at 0x0000012F2DE04A60>,<function functiondiffBt at 0x0000012F2DE04AE8>,,,,,,,,,,,,008,001,2022_Jun_14_1523,2leo,2021.2.3,59.377839000567086,
3,13,Plan a romantic date this weekend,Stimuli/13A1.jpg,Stimuli/13A2.jpg,Stimuli/13A3.jpg,Stimuli/13B1.jpg,Stimuli/13B2.jpg,Stimuli/13B3.jpg,Stimuli/13C1.jpg,Stimuli/13C2.jpg,Stimuli/13C3.jpg,,,,,0,0,0,13,,,,,,,,304.16162800000166,None,305.1453002999915,None,311.14508669999486,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,7.944736949997605,14.261769349992392,19.47827554999094,"[0.3648148148148148, -0.43703703703703706, 0.4009259259259259]","[0.1824074074074074, -0.09814814814814815, 0.046296296296296294]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.92889439999999, 14.245595000000321, 19.461963199995807]",0.015416649999679066,19.477233550001984,['A1'],['B2'],['C1'],['yellow'],['blue'],['salmon'],332.3612149999972,None,8.0,4.81285729999945,332.3612149999972,None,347.39433379999537,None,8.0,8.548115599987796,337.3278728000005,None,2.0,3.8475284000014653,341.1777681999956,None,9.0,6.214676799994777,<function functionImportanceB at 0x0000012F2DE04F28>,<function functionImportanceA at 0x0000012F2CF70EA0>,<function functionImportanceC at 0x0000012F2A393F28>,,,9.0,6.39800839999225,7.0,6.214676799994777,2.0,5.197515000007115,<function functiondiffB at 0x0000012F2DE048C8>,<function functiondiffC at 0x0000012F2DE04C80>,<function functiondiffA at 0x0000012F2DE046A8>,214.5810904999962,None,214.5810904999962,None,312.4150321999914,355.89410969999153,None,361.07723139999143,None,365.54377069999464,None,008,001,2022_Jun_14_1523,2leo,2021.2.3,59.377839000567086,
3,40,Plan to see a sports event ,Stimuli/40A1.jpg,Stimuli/40A2.jpg,Stimuli/40A3.jpg,Stimuli/40B1.jpg,Stimuli/40B2.jpg,Stimuli/40B3.jpg,Stimuli/40C1.jpg,Stimuli/40C2.jpg,Stimuli/40C3.jpg,,,,,0,1,1,40,,,,,,,,371.46029279999493,None,372.4601258999901,None,378.46013229999517,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,13.952384899996105,23.685870500004967,6.786681199999293,"[-0.22037037037037038, 0.2953703703703704, 0.11851851851851852]","[0.4203703703703704, 0.18981481481481483, 0.3851851851851852]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.782756700005848, 13.949059100006707, 23.682249599994975]",0.0029312999977264553,23.685018999996828,['A1'],['B1'],['C2'],['salmon'],['blue'],['yellow'],403.95931530000234,None,7.0,3.7301341999991564,403.95931530000234,None,424.7422898999939,None,2.0,2.6820026000059443,407.90926139999647,None,6.0,13.881383200001437,421.69229199999245,None,8.0,3.064996900007827,<function functionImportanceB at 0x0000012F2E673EA0>,<function functionImportanceA at 0x0000012F2DE04EA0>,<function functionImportanceC at 0x0000012F2E673048>,,,1.0,3.2481229999975767,3.0,3.064996900007827,8.0,10.981150199993863,<function functiondiffC at 0x0000012F2E673BF8>,<function functiondiffB at 0x0000012F2E6731E0>,<function functiondiffA at 0x0000012F2E673B70>,,,,,379.793986699995,432.0087757000001,None,427.4087690000015,None,442.97504609999305,None,008,001,2022_Jun_14_1523,2leo,2021.2.3,59.377839000567086,
3,25,Plan how you want to read a book in your free time ,Stimuli/25A1.jpg,Stimuli/25A2.jpg,Stimuli/25A3.jpg,Stimuli/25B1.jpg,Stimuli/25B2.jpg,Stimuli/25B3.jpg,Stimuli/25C1.jpg,Stimuli/25C2.jpg,Stimuli/25C3.jpg,,,,,0,2,2,25,,,,,,,,445.7415017000021,None,446.7416646999918,None,452.74165840000205,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",,15.585270850002416,6.219228850008221,19.75247195000702,"[-0.3416666666666667, -0.2351851851851852, 0.08055555555555556]","[-0.09166666666666666, 0.32685185185185184, -0.38981481481481484]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.214925099993707, 15.581233999997494, 19.747830299995258]",0.0035442500084172934,19.751263450001716,['A2'],['B2'],['C3'],['blue'],['yellow'],['salmon'],474.45739529999264,None,9.0,2.130233200005023,474.45739529999264,None,488.05719520000275,None,8.0,2.9651003000035416,482.70722569999634,None,10.0,5.065198200012674,476.65721959999064,None,10.0,5.9979580999934115,<function functionImportanceA at 0x0000012F2E673D08>,<function functionImportanceB at 0x0000012F2E6736A8>,<function functionImportanceC at 0x0000012F2E673598>,,,5.0,2.7650630999996793,2.0,5.9979580999934115,0.0,4.1147138999949675,<function functiondiffB at 0x0000012F2DE049D8>,<function functiondiffC at 0x0000012F2E673158>,<function functiondiffA at 0x0000012F2DE04620>,,,,,454.2394757000002,490.7237851999962,None,494.92358439999225,None,498.1068088999891,None,008,001,2022_Jun_14_1523,2leo,2021.2.3,59.377839000567086,
3,41,Plan how you want to have dinner tonight ,Stimuli/41A1.jpg,Stimuli/41A2.jpg,Stimuli/41A3.jpg,Stimuli/41B1.jpg,Stimuli/41B2.jpg,Stimuli/41B3.jpg,Stimuli/41C1.jpg,Stimuli/41C2.jpg,Stimuli/41C3.jpg,,,,,0,3,3,41,,,,,,,,500.40710719999333,None,501.4068021999992,None,507.40674999999464,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",,16.631874449987663,17.998357949996716,7.3657486499869265,"[0.3111111111111111, 0.30277777777777776, -0.17314814814814813]","[-0.24351851851851852, 0.23055555555555557, 0.2638888888888889]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.363570800007437, 16.630357100002584, 17.996537500002887]",0.0010239499970339239,17.997518849995686,['A2'],['B1'],['C3'],['yellow'],['salmon'],['blue'],527.239291299993,None,9.0,2.480291200001375,527.239291299993,None,545.1224206999905,None,9.0,3.815141900005983,529.7893579999945,None,6.0,9.314483299996937,539.1392300000007,None,9.0,5.7990705000120215,<function functionImportanceB at 0x0000012F2E6737B8>,<function functionImportanceA at 0x0000012F2E673C80>,<function functionImportanceC at 0x0000012F2E673A60>,,,3.0,5.280880299993441,3.0,5.7990705000120215,3.0,4.53150490000553,<function functiondiffA at 0x0000012F2E6730D0>,<function functiondiffB at 0x0000012F2E673488>,<function functiondiffC at 0x0000012F2DE04510>,,,,,508.75776549999136,554.0388097999967,None,558.6220974000025,None,548.7389884000004,None,008,001,2022_Jun_14_1523,2leo,2021.2.3,59.377839000567086,
3,24,Plan your Monday morning on a workday ,Stimuli/24A1.jpg,Stimuli/24A2.jpg,Stimuli/24A3.jpg,Stimuli/24B1.jpg,Stimuli/24B2.jpg,Stimuli/24B3.jpg,Stimuli/24C1.jpg,Stimuli/24C2.jpg,Stimuli/24C3.jpg,,,,,0,4,4,24,,,,,,,,561.4384666999977,None,562.4385955999896,None,568.4384983999917,None,"[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]",,12.605834000001778,8.322560499989777,20.289225799991982,"[0.05185185185185185, -0.2462962962962963, 0.08055555555555556]","[-0.35648148148148145, 0.29074074074074074, 0.3537037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.318248800002038, 12.601693100004923, 20.284769699996104]",0.0035568999883253127,20.288122300000396,['A3'],['B2'],['C1'],['salmon'],['yellow'],['blue'],590.3376591999986,None,8.0,2.6138197999971453,590.3376591999986,None,593.0210648999928,None,7.0,5.947692600006121,598.9877104999905,None,3.0,4.79728330000944,603.7876164999907,None,7.0,4.548209100001259,<function functionImportanceC at 0x0000012F00301158>,<function functionImportanceB at 0x0000012F00301048>,<function functionImportanceA at 0x0000012F2E673AE8>,,,1.0,2.8314093999942997,9.0,4.548209100001259,5.0,4.747373000005609,<function functiondiffB at 0x0000012F2DE04488>,<function functiondiffC at 0x0000012F2E6738C8>,<function functiondiffA at 0x0000012F226F0E18>,,,,,569.567962599991,608.3375528999895,None,613.1041246999957,None,615.8872574999987,None,008,001,2022_Jun_14_1523,2leo,2021.2.3,59.377839000567086,
3,9,Plan a picnic with friends,Stimuli/9A1.jpg,Stimuli/9A2.jpg,Stimuli/9A3.jpg,Stimuli/9B1.jpg,Stimuli/9B2.jpg,Stimuli/9B3.jpg,Stimuli/9C1.jpg,Stimuli/9C2.jpg,Stimuli/9C3.jpg,,,,,0,5,5,9,,,,,,,,618.2371637999895,None,619.2369525999966,None,625.2369997999922,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]",,13.528990849925322,4.596211649928591,15.995886849923409,"[0.3, 0.10092592592592593, -0.18796296296296297]","[-0.2, -0.40925925925925927, 0.3037037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.5830246999976225, 13.51607860000513, 15.982296000001952]",0.012513149922597222,15.994723149924539,['A1'],['B1'],['C3'],['salmon'],['yellow'],['blue'],647.1195211000013,None,10.0,2.4140316999983042,647.1195211000013,None,651.0710390000022,None,7.0,5.9645501999912085,656.8862915999925,None,5.0,7.748516499996185,664.8690862999938,None,8.0,4.39847600000212,<function functionImportanceC at 0x0000012F00301268>,<function functionImportanceB at 0x0000012F00301C80>,<function functionImportanceA at 0x0000012F00301D08>,,,1.0,17.01383509999141,7.0,4.39847600000212,1.0,10.514559700008249,<function functiondiffC at 0x0000012F00301AE8>,<function functiondiffB at 0x0000012F2E673268>,<function functiondiffA at 0x0000012F2E673D90>,,,,,630.6729478999914,671.6691228999989,None,668.2025405000022,None,682.3037205,None,008,001,2022_Jun_14_1523,2leo,2021.2.3,59.377839000567086,
3,5,Plan a birthday party for your younger self when you turn eight,Stimuli/5A1.jpg,Stimuli/5A2.jpg,Stimuli/5A3.jpg,Stimuli/5B1.jpg,Stimuli/5B2.jpg,Stimuli/5B3.jpg,Stimuli/5C1.jpg,Stimuli/5C2.jpg,Stimuli/5C3.jpg,,,,,0,6,6,5,,,,,,,,698.3515793999977,None,699.3516244999919,None,705.3516559999989,None,"[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",,18.778242949934793,24.67868764992454,13.695868049922865,"[-0.33425925925925926, -0.15092592592592594, 0.3537037037037037]","[0.16018518518518518, 0.4, -0.2898148148148148]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[13.687932600005297, 18.770863600002485, 24.670939900010126]",0.00697964993014466,24.677679849934066,['A1'],['B2'],['C1'],['blue'],['salmon'],['yellow'],736.4673006999947,None,9.0,3.2470260999980383,736.4673006999947,None,747.5836538000003,None,8.0,4.064925400001812,752.5169651999895,None,2.0,7.298537800001213,742.4172250999982,None,5.0,7.097689700007322,<function functionImportanceA at 0x0000012F003016A8>,<function functionImportanceC at 0x0000012F00301378>,<function functionImportanceB at 0x0000012F00301620>,,,2.0,7.114017100000638,2.0,7.097689700007322,8.0,4.097670000002836,<function functiondiffB at 0x0000012F2E673E18>,<function functiondiffA at 0x0000012F2AE699D8>,<function functiondiffC at 0x0000012F2E673840>,,,,,711.3341473999899,758.600137699992,None,769.6497671999969,None,763.1501139000029,None,008,001,2022_Jun_14_1523,2leo,2021.2.3,59.377839000567086,
3,8,Plan the interior of your living-room ,Stimuli/8A1.jpg,Stimuli/8A2.jpg,Stimuli/8A3.jpg,Stimuli/8B1.jpg,Stimuli/8B2.jpg,Stimuli/8B3.jpg,Stimuli/8C1.jpg,Stimuli/8C2.jpg,Stimuli/8C3.jpg,,,,,0,7,7,8,,,,,,,,774.4997851999942,None,775.4997238999931,None,781.4995437000034,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",,16.763134799941326,27.629812199942535,26.863631099942722,"[-0.44074074074074077, -0.2, -0.40555555555555556]","[0.16666666666666666, 0.34444444444444444, -0.09907407407407408]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[16.751976600004127, 26.85190359999251, 27.61833640000259]",0.010713799943914637,27.628838299948256,['A1'],['B1'],['C1'],['salmon'],['yellow'],['blue'],814.5650454999995,None,10.0,2.264333799990709,814.5650454999995,None,825.431760499996,None,9.0,7.648269600002095,818.7484494999953,None,9.0,6.563973800002714,831.2312821999949,None,8.0,4.831814999997732,<function functionImportanceB at 0x0000012F00301730>,<function functionImportanceC at 0x0000012F003011E0>,<function functionImportanceA at 0x0000012F003010D0>,,,0.0,3.3481371000088984,2.0,4.831814999997732,2.0,4.231313199998112,<function functiondiffA at 0x0000012F00301B70>,<function functiondiffC at 0x0000012F00301840>,<function functiondiffB at 0x0000012F00301598>,,,,,786.4791895999952,844.0479657999967,None,839.881292399994,None,835.9647699999914,None,008,001,2022_Jun_14_1523,2leo,2021.2.3,59.377839000567086,
