Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffA_response,slider_diffA_rt,slider_diffB_response,slider_diffB_rt,slider_diffC_response,slider_diffC_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffA_started,question_diffA_stopped,question_diffB_started,question_diffB_stopped,question_diffC_started,question_diffC_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,18.077044599995133,None,1,[4.330056299993885],[4.33007440000074],18.077044599995133,None,70.07206510000105,None,71.08153460000176,None,77.08136739999463,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",81.11426770000253,22.4639579000941,16.297649300089688,26.497452500087093,"[-0.4305555555555556, -0.21944444444444444, 0.25092592592592594]","[0.12314814814814815, 0.3175925925925926, -0.18888888888888888]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[16.282461499999044, 22.449041200001375, 26.481872300006216]",0.014521400080411695,26.496039300080156,['A1'],['B1'],['C3'],['blue'],['yellow'],['salmon'],108.06391119999171,None,8.0,2.880503200009116,108.06391119999171,None,112.31368920000386,None,7.0,12.997603299998445,124.0470168000029,None,3.0,5.248405899998033,130.85077839999576,None,6.0,7.015022500010673,<function functionImportanceAt at 0x00000181C0DB1E18>,<function functionImportanceCt at 0x00000181D03BBD08>,<function functionImportanceBt at 0x00000181D03BBB70>,148.0630405999982,None,2.0,12.997603299998445,0.0,3.764887900004396,0.0,3.647855899995193,<function functiondiffAt at 0x00000181D0355BF8>,<function functiondiffBt at 0x00000181D03552F0>,<function functiondiffCt at 0x00000181D0355950>,,,,,,,,,,,,009,001,2022_Jun_14_1636,2leo,2021.2.3,59.97623741882167,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,151.22952459999942,None,152.22956160000467,None,158.22952589999477,None,"[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",164.43789200000174,23.42088570013584,21.787270700137015,25.154768200140097,"[-0.1675925925925926, 0.33055555555555555, -0.45185185185185184]","[0.3037037037037037, -0.33240740740740743, 0.13055555555555556]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[21.77334860000701, 23.407173200001125, 25.140640300000086]",0.013215100145316683,25.153414500135113,['A2'],['B1'],['C1'],['yellow'],['blue'],['salmon'],190.04515920000267,None,8.0,2.730413299999782,190.04515920000267,None,194.72815860000264,None,4.0,6.464282000000821,211.17771259999427,None,9.0,5.131499900002382,201.02832209999906,None,6.0,10.39841670000169,<function functionImportanceAt at 0x00000181D03BBD90>,<function functionImportanceBt at 0x00000181D03BB9D8>,<function functionImportanceCt at 0x00000181BDC431E0>,225.57762500000536,None,2.0,6.464282000000821,2.0,4.281600599992089,2.0,5.747665999995661,<function functiondiffCt at 0x00000181D03559D8>,<function functiondiffBt at 0x00000181D0355598>,<function functiondiffAt at 0x00000181D0355AE8>,,,,,,,,,,,,009,001,2022_Jun_14_1636,2leo,2021.2.3,59.97623741882167,
3,21,Plan your sandwich for lunch,Stimuli/21A1.jpg,Stimuli/21A2.jpg,Stimuli/21A3.jpg,Stimuli/21B1.jpg,Stimuli/21B2.jpg,Stimuli/21B3.jpg,Stimuli/21C1.jpg,Stimuli/21C2.jpg,Stimuli/21C3.jpg,,,,,0,0,0,21,,,,,,,,271.58762469999783,None,272.57637710000563,None,278.5763236000057,None,"[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",,10.148583800008055,30.84829800001171,26.915168100007577,"[0.287962962962963, -0.30925925925925923, 0.33055555555555555]","[-0.18796296296296297, 0.06851851851851852, 0.013888888888888888]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.14789049999672, 26.914057700007106, 30.84722340000735]",0.0001934000028995797,30.847255600005155,['A2'],['B3'],['C1'],['blue'],['salmon'],['yellow'],311.07518879999407,None,4.0,2.0632731999940006,311.07518879999407,None,322.85835729999235,None,10.0,2.9648586999974214,313.2418968999991,None,7.0,6.83067850000225,320.09311439999146,None,0.0,2.715374699997483,<function functionImportanceC at 0x0000018180194B70>,<function functionImportanceB at 0x00000181D0355F28>,<function functionImportanceA at 0x00000181D03BBF28>,,,8.0,3.0142562999972142,7.0,7.013984299992444,3.0,2.9648586999974214,<function functiondiffA at 0x00000181D0355620>,<function functiondiffB at 0x00000181D0355488>,<function functiondiffC at 0x0000018180194400>,229.44424840000283,None,229.44424840000283,None,279.74206469999626,325.74166849999165,None,328.77489149999747,None,335.791281400001,None,009,001,2022_Jun_14_1636,2leo,2021.2.3,59.97623741882167,
3,42,Plan how to draw a painting ,Stimuli/42A1.jpg,Stimuli/42A2.jpg,Stimuli/42A3.jpg,Stimuli/42B1.jpg,Stimuli/42B2.jpg,Stimuli/42B3.jpg,Stimuli/42C1.jpg,Stimuli/42C2.jpg,Stimuli/42C3.jpg,,,,,0,1,1,42,,,,,,,,340.99118509999244,None,341.9914240999933,None,347.9911626999965,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,16.744883899998968,14.561493000001065,34.24506339999789,"[0.037037037037037035, -0.1935185185185185, -0.37222222222222223]","[-0.3111111111111111, 0.2953703703703704, -0.1361111111111111]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[14.54519760000403, 16.72864909999771, 34.22834819999116]",0.015616500008036382,34.24371019999671,['A2'],['B1'],['C2'],['yellow'],['salmon'],['blue'],383.973278999998,None,6.0,2.7636443999945186,383.973278999998,None,392.47334349999437,None,7.0,2.5821626000106335,389.5733975000039,None,2.0,2.731921800004784,386.806622899996,None,10.0,2.7478974999976344,<function functionImportanceB at 0x00000181D0355EA0>,<function functionImportanceC at 0x0000018180194730>,<function functionImportanceA at 0x00000181CD6849D8>,,,3.0,4.431087999997544,0.0,3.3812849999958416,6.0,2.5821626000106335,<function functiondiffA at 0x00000181801949D8>,<function functiondiffB at 0x0000018180194378>,<function functiondiffC at 0x0000018180194840>,,,,,349.2608818000008,394.92319050000515,None,399.3397954999964,None,402.73970669999835,None,009,001,2022_Jun_14_1636,2leo,2021.2.3,59.97623741882167,
3,5,Plan a birthday party for your younger self when you turn eight,Stimuli/5A1.jpg,Stimuli/5A2.jpg,Stimuli/5A3.jpg,Stimuli/5B1.jpg,Stimuli/5B2.jpg,Stimuli/5B3.jpg,Stimuli/5C1.jpg,Stimuli/5C2.jpg,Stimuli/5C3.jpg,,,,,0,2,2,5,,,,,,,,406.7562818000006,None,407.75622999999905,None,413.7562571000017,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",,22.07697390015528,25.427073000158998,13.177611600156524,"[0.3768518518518518, 0.2722222222222222, 0.14166666666666666]","[0.003703703703703704, 0.20277777777777778, 0.3277777777777778]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[13.162333500004024, 22.06216430000495, 25.41203239999595]",0.01424830015457701,25.426108300162014,['A2'],['B2'],['C2'],['salmon'],['blue'],['yellow'],445.4550986999966,None,7.0,1.8136127999896416,445.4550986999966,None,460.47159469999315,None,6.0,7.231955099996412,455.20467059999646,None,7.0,3.281670900003519,448.838422300003,None,4.0,7.231410299995332,<function functionImportanceB at 0x0000018180194488>,<function functionImportanceC at 0x0000018180194BF8>,<function functionImportanceA at 0x0000018180194510>,,,2.0,4.380992300008074,1.0,3.0980760999955237,0.0,7.231955099996412,<function functiondiffC at 0x00000181D0355378>,<function functiondiffA at 0x00000181801948C8>,<function functiondiffB at 0x0000018180194D90>,,,,,419.5783991999924,470.7882835000055,None,474.75451309999335,None,465.23799300000246,None,009,001,2022_Jun_14_1636,2leo,2021.2.3,59.97623741882167,
3,10,Plan a restaurant visit with your family on the weekend ,Stimuli/10A1.jpg,Stimuli/10A2.jpg,Stimuli/10A3.jpg,Stimuli/10B1.jpg,Stimuli/10B2.jpg,Stimuli/10B3.jpg,Stimuli/10C1.jpg,Stimuli/10C2.jpg,Stimuli/10C3.jpg,,,,,0,3,3,10,,,,,,,,477.02109939999355,None,478.02110739999625,None,484.0210141999996,None,"[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]",,22.64485880007851,29.77871880008024,24.96203010008321,"[-0.30648148148148147, 0.11574074074074074, -0.17777777777777778]","[-0.20277777777777778, -0.46111111111111114, -0.2777777777777778]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[22.638636699994095, 24.955356399994344, 29.772331899992423]",0.005642000076477416,29.77733040007297,['A3'],['B2'],['C2'],['salmon'],['blue'],['yellow'],518.3697262999922,None,6.0,1.6805681999976514,518.3697262999922,None,531.0529060999979,None,9.0,5.798187499996857,528.086493099996,None,10.0,2.7484253000002354,523.019749500003,None,9.0,7.94779710000148,<function functionImportanceB at 0x0000018180194D08>,<function functionImportanceC at 0x0000018180194C80>,<function functionImportanceA at 0x00000181D0355510>,,,4.0,6.231059199999436,7.0,5.081000900012441,1.0,5.798187499996857,<function functiondiffC at 0x0000018180194048>,<function functiondiffB at 0x00000181801946A8>,<function functiondiffA at 0x0000018180194AE8>,,,,,488.1285141999979,545.035893799999,None,540.7194643999974,None,536.6362125000014,None,009,001,2022_Jun_14_1636,2leo,2021.2.3,59.97623741882167,
3,16,Plan a delicious cake for the birthday of a friend,Stimuli/16A1.jpg,Stimuli/16A2.jpg,Stimuli/16A3.jpg,Stimuli/16B1.jpg,Stimuli/16B2.jpg,Stimuli/16B3.jpg,Stimuli/16C1.jpg,Stimuli/16C2.jpg,Stimuli/16C3.jpg,,,,,0,4,4,16,,,,,,,,550.7691039000056,None,551.7691051000002,None,557.7691518999927,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,14.648498000009567,25.3170303000079,30.465374600011273,"[0.24722222222222223, 0.3296296296296296, 0.005555555555555556]","[-0.22685185185185186, 0.04814814814814815, -0.41203703703703703]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[14.646140999990166, 25.314246499998262, 30.46250809999765]",0.0019525000097928569,30.4643805000087,['A1'],['B3'],['C1'],['salmon'],['blue'],['yellow'],590.1678897999955,None,4.0,2.263877599994885,590.1678897999955,None,595.9177886999969,None,10.0,1.998913999996148,592.5680672000017,None,6.0,3.397937500005355,598.2346080999996,None,8.0,3.515253200006555,<function functionImportanceC at 0x0000018180875840>,<function functionImportanceA at 0x00000181D03550D0>,<function functionImportanceB at 0x0000018180194950>,,,7.0,3.730811100002029,9.0,2.3815210000029765,5.0,1.998913999996148,<function functiondiffA at 0x00000181C5A02E18>,<function functiondiffB at 0x0000018180194158>,<function functiondiffC at 0x00000181808750D0>,,,,,559.2348681000003,601.4345113000018,None,605.2341414999973,None,607.6006935000041,None,009,001,2022_Jun_14_1636,2leo,2021.2.3,59.97623741882167,
3,12,Plan the ingredients to mix yourself a cocktail,Stimuli/12A1.jpg,Stimuli/12A2.jpg,Stimuli/12A3.jpg,Stimuli/12B1.jpg,Stimuli/12B2.jpg,Stimuli/12B3.jpg,Stimuli/12C1.jpg,Stimuli/12C2.jpg,Stimuli/12C3.jpg,,,,,0,5,5,12,,,,,,,,610.1840627000056,None,611.1841354999924,None,617.1842506999965,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,19.117809700008365,12.685132700004033,15.669001600006595,"[-0.1712962962962963, 0.09537037037037037, -0.3416666666666667]","[0.2759259259259259, -0.43425925925925923, -0.17037037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[12.682943400010117, 15.666393999999855, 19.115835800010245]",0.0015205000090645626,19.117247100002714,['A1'],['B1'],['C3'],['blue'],['yellow'],['salmon'],637.9167650000018,None,7.0,1.9968721000041114,637.9167650000018,None,640.000007900002,None,10.0,3.0317589000042062,643.0333306999964,None,10.0,3.2654837999871233,646.3168325000006,None,10.0,2.9152052999997977,<function functionImportanceA at 0x00000181D0355840>,<function functionImportanceC at 0x0000018180875158>,<function functionImportanceB at 0x0000018180875598>,,,1.0,3.280991899999208,7.0,2.9974469000007957,3.0,3.0317589000042062,<function functiondiffB at 0x00000181808758C8>,<function functiondiffA at 0x0000018180875268>,<function functiondiffC at 0x0000018180875950>,,,,,618.316700299998,652.2331725999975,None,649.2164581999969,None,655.5331785000017,None,009,001,2022_Jun_14_1636,2leo,2021.2.3,59.97623741882167,
3,13,Plan a romantic date this weekend,Stimuli/13A1.jpg,Stimuli/13A2.jpg,Stimuli/13A3.jpg,Stimuli/13B1.jpg,Stimuli/13B2.jpg,Stimuli/13B3.jpg,Stimuli/13C1.jpg,Stimuli/13C2.jpg,Stimuli/13C3.jpg,,,,,0,6,6,13,,,,,,,,657.566321499995,None,658.5661264999944,None,664.5661196000001,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,27.54809640000167,22.39843169999949,24.148518400004832,"[-0.3314814814814815, 0.26666666666666666, 0.3435185185185185]","[0.075, -0.20185185185185187, -0.06666666666666667]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[22.389067800002522, 24.139024100004463, 27.5389223999955]",0.00853330000245478,27.547214399994118,['A3'],['B2'],['C1'],['salmon'],['blue'],['yellow'],693.7819457000005,None,7.0,2.3300480999896536,693.7819457000005,None,703.1818716999987,None,2.0,2.5818549999967217,699.548667199997,None,8.0,3.614987699998892,696.2320603999979,None,7.0,3.347886400006246,<function functionImportanceB at 0x00000181808756A8>,<function functionImportanceC at 0x0000018180875AE8>,<function functionImportanceA at 0x0000018180875048>,,,-0.0,2.7309855000057723,2.0,3.9644798999943305,4.0,2.5818549999967217,<function functiondiffB at 0x0000018180875488>,<function functiondiffC at 0x0000018180875D08>,<function functiondiffA at 0x00000181D0355730>,,,,,665.7594102000003,713.7814765999938,None,705.7650486000057,None,709.731543899994,None,009,001,2022_Jun_14_1636,2leo,2021.2.3,59.97623741882167,
3,25,Plan how you want to read a book in your free time ,Stimuli/25A1.jpg,Stimuli/25A2.jpg,Stimuli/25A3.jpg,Stimuli/25B1.jpg,Stimuli/25B2.jpg,Stimuli/25B3.jpg,Stimuli/25C1.jpg,Stimuli/25C2.jpg,Stimuli/25C3.jpg,,,,,0,7,7,25,,,,,,,,716.0314451000013,None,717.0316717999958,None,723.0314915000054,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",,11.312848999994458,6.380133400001796,15.463235100003658,"[0.3333333333333333, -0.33055555555555555, -0.3296296296296296]","[-0.011111111111111112, 0.1527777777777778, -0.07314814814814814]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.378926500008674, 11.311998000004678, 15.461773200004245]",0.00043909999658353627,15.46219609999389,['A1'],['B2'],['C1'],['yellow'],['blue'],['salmon'],740.4304368000012,None,10.0,1.7971428000018932,740.4304368000012,None,742.2974200000026,None,10.0,2.5979193999955896,745.2162932999927,None,10.0,2.1816991000087,747.1478891000006,None,10.0,2.2484995999984676,<function functionImportanceA at 0x00000181D0355C80>,<function functionImportanceC at 0x0000018180875BF8>,<function functionImportanceB at 0x0000018180194EA0>,,,0.0,2.5984605999983614,0.0,2.3811940000014147,2.0,2.5979193999955896,<function functiondiffC at 0x0000018180875620>,<function functiondiffB at 0x0000018180194A60>,<function functiondiffA at 0x00000181801947B8>,,,,,724.4971442999959,757.4471328999934,None,755.0637695000041,None,749.4306813000003,None,009,001,2022_Jun_14_1636,2leo,2021.2.3,59.97623741882167,
